,gene,gencodeId,tissue,age,gender,TPMs
0,A2M,ENSG00000175899.14,Brain_Anterior_cingulate_cortex_BA24,20-29,male,[30.01]
1,A2M,ENSG00000175899.14,Brain_Anterior_cingulate_cortex_BA24,20-29,female,"[58.51, 35.31, 80.55]"
2,A2M,ENSG00000175899.14,Brain_Anterior_cingulate_cortex_BA24,30-39,male,"[48.63, 82.05, 26.03]"
3,A2M,ENSG00000175899.14,Brain_Anterior_cingulate_cortex_BA24,30-39,female,[70.16]
4,A2M,ENSG00000175899.14,Brain_Anterior_cingulate_cortex_BA24,40-49,male,"[29.66, 60.93, 36.77, 30.94, 22.08, 59.65, 46.39, 21.64, 28.53, 86.96, 20.24, 194.5, 66.96, 92.52, 54.3, 42.76, 75.38]"
5,A2M,ENSG00000175899.14,Brain_Anterior_cingulate_cortex_BA24,40-49,female,"[28.51, 41.79, 34.9, 37.13, 45.22, 76.14, 55.15]"
6,A2M,ENSG00000175899.14,Brain_Anterior_cingulate_cortex_BA24,50-59,male,"[32.21, 22.56, 26.91, 28.49, 35.02, 27.73, 35.51, 27.58, 41.96, 59.21, 42.72, 27.39, 46.32, 45.7, 54.03, 25.84, 20.58, 75.98, 47.88, 35.8, 52.51, 39.75, 56.06, 27.37, 20.26, 64.17, 28.82, 50.33, 49.14, 128.0, 94.64, 133.0, 29.54]"
7,A2M,ENSG00000175899.14,Brain_Anterior_cingulate_cortex_BA24,50-59,female,"[27.75, 46.52, 25.02, 61.27, 45.52, 46.98, 67.91, 66.98, 50.33]"
8,A2M,ENSG00000175899.14,Brain_Anterior_cingulate_cortex_BA24,60-69,male,"[43.83, 39.41, 18.21, 55.03, 80.05, 17.4, 48.2, 22.69, 70.66, 39.35, 65.84, 45.74, 83.03, 32.94, 91.6, 80.65, 34.19, 27.64, 18.88, 28.31, 55.62, 83.54, 55.32, 99.41, 28.11, 91.06, 105.4, 55.41, 51.99, 26.79, 66.2, 37.48, 36.13, 25.78, 50.33, 39.32, 21.04, 61.72, 28.22, 74.55, 18.82, 43.42, 46.2, 63.64, 45.39, 6.397, 11.38, 49.4, 56.36, 23.56, 48.31, 78.08, 61.6, 57.05, 73.12, 64.71, 86.74, 74.43, 63.02, 34.53, 25.68, 44.32, 47.82, 50.77]"
9,A2M,ENSG00000175899.14,Brain_Anterior_cingulate_cortex_BA24,60-69,female,"[18.96, 19.68, 28.17, 59.25, 25.15, 30.03, 62.17, 42.33, 91.25, 75.56, 25.55, 49.46, 78.17, 40.76, 38.43, 36.69, 46.34, 34.72, 46.83, 30.76, 156.3, 153.8, 84.03, 50.33, 172.5, 53.69, 29.44]"
10,A2M,ENSG00000175899.14,Brain_Anterior_cingulate_cortex_BA24,70-79,male,"[46.94, 45.34, 14.01, 30.12, 54.06, 15.51, 56.74, 29.45, 45.82, 83.67, 39.85]"
11,A2M,ENSG00000175899.14,Brain_Anterior_cingulate_cortex_BA24,70-79,female,"[40.13, 66.02]"
