,gene,gencodeId,tissue,age,gender,TPMs
0,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,20-29,male,15.02
1,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,20-29,male,35.01
2,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,20-29,male,33.78
3,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,20-29,female,23.48
4,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,20-29,female,22.16
5,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,30-39,male,17.9
6,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,30-39,male,29.72
7,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,30-39,female,12.57
8,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,30-39,female,21.64
9,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,40-49,male,43.05
10,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,40-49,male,27.5
11,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,40-49,male,28.89
12,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,40-49,male,22.6
13,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,40-49,male,16.06
14,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,40-49,male,14.48
15,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,40-49,male,12.2
16,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,40-49,male,25.24
17,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,40-49,male,16.06
18,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,40-49,male,55.71
19,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,40-49,female,41.43
20,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,40-49,female,18.68
21,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,40-49,female,16.48
22,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,40-49,female,44.83
23,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,40-49,female,41.04
24,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,50-59,male,21.36
25,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,50-59,male,16.91
26,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,50-59,male,16.47
27,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,50-59,male,29.28
28,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,50-59,male,18.73
29,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,50-59,male,16.87
30,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,50-59,male,24.72
31,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,50-59,male,21.95
32,ABL1,ENSG00000097007.17,Brain_Substantia_nigra,50-59,male,19.77
