,gene,gencodeId,tissue,age,gender,TPMs
0,AGPAT2,ENSG00000169692.12,Liver,20-29,male,"[218.2, 135.7, 213.9, 167.5, 182.8]"
1,AGPAT2,ENSG00000169692.12,Liver,20-29,female,"[182.8, 481.9, 299.6]"
2,AGPAT2,ENSG00000169692.12,Liver,30-39,male,"[277.7, 316.4, 410.3, 271.6, 282.5, 194.0, 241.2, 357.2, 341.2, 82.08, 223.5, 484.8, 194.4, 271.6, 179.9]"
3,AGPAT2,ENSG00000169692.12,Liver,30-39,female,"[669.3, 342.6, 132.3, 194.0]"
4,AGPAT2,ENSG00000169692.12,Liver,40-49,male,"[271.6, 286.0, 294.8, 176.5, 268.9, 350.3, 372.4, 117.8, 296.3, 467.1, 281.7, 194.0, 158.6, 247.3, 347.1, 273.9, 203.9, 271.6, 251.9, 185.0, 180.2, 319.3, 355.1, 207.8, 205.2, 182.8]"
5,AGPAT2,ENSG00000169692.12,Liver,40-49,female,"[339.8, 182.8, 278.0, 276.8, 283.1, 226.6, 354.7, 426.1, 148.4, 194.0, 521.8, 248.7]"
6,AGPAT2,ENSG00000169692.12,Liver,50-59,male,"[127.0, 217.2, 268.7, 298.5, 132.0, 134.7, 221.8, 160.9, 266.7, 431.9, 175.7, 199.6, 225.8, 178.8, 219.2, 270.6, 229.5, 132.6, 364.4, 230.6, 139.9, 290.9, 310.5, 304.0, 422.5, 369.9, 214.7, 518.3, 766.5, 300.9, 75.31, 229.4, 229.0, 223.7, 196.4, 302.8, 160.4, 275.1, 161.2, 253.9, 263.7, 136.3, 401.4, 345.4, 181.6, 222.8, 277.8, 333.4, 235.7, 204.6, 153.0, 318.9, 333.2, 329.7, 455.5, 397.7, 217.4, 186.8, 425.3, 271.9]"
7,AGPAT2,ENSG00000169692.12,Liver,50-59,female,"[407.6, 720.7, 168.5, 447.4, 395.1, 209.9, 318.9, 290.3, 250.9, 285.1, 253.7, 199.7, 183.7, 179.6, 371.0, 350.0, 347.9, 274.1, 213.7, 491.4, 453.7, 187.8, 145.1, 278.7]"
8,AGPAT2,ENSG00000169692.12,Liver,60-69,male,"[237.1, 296.1, 340.1, 330.4, 462.4, 467.0, 346.3, 404.8, 73.39, 411.1, 306.5, 417.1, 458.8, 367.8, 350.9, 390.9, 239.2, 264.0, 433.5, 364.7, 935.7, 890.8, 259.3, 484.4, 386.7, 235.9, 252.8, 215.9, 318.6, 725.5, 173.3, 721.0, 365.8, 377.6, 210.8, 279.1, 224.7, 202.1, 152.6, 280.2, 202.6, 162.0, 256.6, 256.6, 186.4, 628.0, 272.5, 298.6, 185.4, 160.7, 1115.0, 313.1, 270.2, 269.2, 269.2, 269.2, 269.2, 318.9, 544.4, 418.4]"
9,AGPAT2,ENSG00000169692.12,Liver,60-69,female,"[132.7, 151.7, 349.7, 204.1, 392.5, 100.9, 417.4, 256.6, 256.6, 381.6, 318.9, 315.3, 216.4, 171.7, 297.2, 313.3, 211.1, 692.9, 221.3, 434.7, 342.2, 220.3, 412.0, 628.4]"
10,AGPAT2,ENSG00000169692.12,Liver,70-79,male,"[196.8, 158.5, 302.6]"
11,AGPAT2,ENSG00000169692.12,Liver,70-79,female,"[264.3, 373.4]"
