,gene,gencodeId,tissue,age,gender,TPMs
0,AGPAT2,ENSG00000169692.12,Spleen,20-29,male,66.67
1,AGPAT2,ENSG00000169692.12,Spleen,20-29,male,65.06
2,AGPAT2,ENSG00000169692.12,Spleen,20-29,male,94.81
3,AGPAT2,ENSG00000169692.12,Spleen,20-29,male,100.8
4,AGPAT2,ENSG00000169692.12,Spleen,20-29,male,63.61
5,AGPAT2,ENSG00000169692.12,Spleen,20-29,male,81.91
6,AGPAT2,ENSG00000169692.12,Spleen,20-29,male,95.85
7,AGPAT2,ENSG00000169692.12,Spleen,20-29,male,91.68
8,AGPAT2,ENSG00000169692.12,Spleen,20-29,male,75.32
9,AGPAT2,ENSG00000169692.12,Spleen,20-29,male,83.23
10,AGPAT2,ENSG00000169692.12,Spleen,20-29,male,50.16
11,AGPAT2,ENSG00000169692.12,Spleen,20-29,male,68.76
12,AGPAT2,ENSG00000169692.12,Spleen,20-29,male,129.3
13,AGPAT2,ENSG00000169692.12,Spleen,20-29,male,39.8
14,AGPAT2,ENSG00000169692.12,Spleen,20-29,male,55.09
15,AGPAT2,ENSG00000169692.12,Spleen,20-29,male,100.8
16,AGPAT2,ENSG00000169692.12,Spleen,20-29,female,66.67
17,AGPAT2,ENSG00000169692.12,Spleen,20-29,female,50.46
18,AGPAT2,ENSG00000169692.12,Spleen,20-29,female,75.08
19,AGPAT2,ENSG00000169692.12,Spleen,20-29,female,100.8
20,AGPAT2,ENSG00000169692.12,Spleen,20-29,female,64.43
21,AGPAT2,ENSG00000169692.12,Spleen,20-29,female,58.56
22,AGPAT2,ENSG00000169692.12,Spleen,20-29,female,65.66
23,AGPAT2,ENSG00000169692.12,Spleen,20-29,female,39.12
24,AGPAT2,ENSG00000169692.12,Spleen,20-29,female,123.6
25,AGPAT2,ENSG00000169692.12,Spleen,20-29,female,65.06
26,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,67.14
27,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,64.91
28,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,60.7
29,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,35.57
30,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,72.77
31,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,69.6
32,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,65.31
33,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,50.06
34,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,31.97
35,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,65.1
36,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,64.59
37,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,81.08
38,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,41.06
39,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,85.35
40,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,37.69
41,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,59.46
42,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,82.6
43,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,94.42
44,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,90.0
45,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,81.19
46,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,58.63
47,AGPAT2,ENSG00000169692.12,Spleen,30-39,male,64.59
48,AGPAT2,ENSG00000169692.12,Spleen,30-39,female,67.49
49,AGPAT2,ENSG00000169692.12,Spleen,30-39,female,88.97
50,AGPAT2,ENSG00000169692.12,Spleen,30-39,female,65.02
51,AGPAT2,ENSG00000169692.12,Spleen,30-39,female,55.91
52,AGPAT2,ENSG00000169692.12,Spleen,30-39,female,61.66
53,AGPAT2,ENSG00000169692.12,Spleen,30-39,female,46.08
54,AGPAT2,ENSG00000169692.12,Spleen,30-39,female,51.07
55,AGPAT2,ENSG00000169692.12,Spleen,30-39,female,67.94
56,AGPAT2,ENSG00000169692.12,Spleen,30-39,female,85.29
57,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,60.78
58,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,37.96
59,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,80.5
60,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,65.74
61,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,78.6
62,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,61.03
63,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,56.89
64,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,87.59
65,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,66.15
66,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,117.1
67,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,77.02
68,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,76.2
69,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,57.38
70,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,82.02
71,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,79.64
72,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,65.64
73,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,89.78
74,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,111.2
75,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,45.41
76,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,85.09
77,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,111.2
78,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,67.59
79,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,82.92
80,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,65.44
81,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,78.26
82,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,92.43
83,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,69.24
84,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,64.23
85,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,72.63
86,AGPAT2,ENSG00000169692.12,Spleen,40-49,male,72.95
87,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,62.52
88,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,91.14
89,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,102.8
90,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,39.02
91,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,25.16
92,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,77.59
93,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,62.64
94,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,80.51
95,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,62.44
96,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,61.83
97,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,63.96
98,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,77.85
99,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,30.7
100,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,71.82
101,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,48.34
102,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,71.64
103,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,75.25
104,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,84.02
105,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,71.41
106,AGPAT2,ENSG00000169692.12,Spleen,40-49,female,94.36
107,AGPAT2,ENSG00000169692.12,Spleen,50-59,male,119.2
108,AGPAT2,ENSG00000169692.12,Spleen,50-59,male,43.3
109,AGPAT2,ENSG00000169692.12,Spleen,50-59,male,66.67
110,AGPAT2,ENSG00000169692.12,Spleen,50-59,male,54.71
111,AGPAT2,ENSG00000169692.12,Spleen,50-59,male,49.55
112,AGPAT2,ENSG00000169692.12,Spleen,50-59,male,60.68
113,AGPAT2,ENSG00000169692.12,Spleen,50-59,male,46.59
114,AGPAT2,ENSG00000169692.12,Spleen,50-59,male,97.09
115,AGPAT2,ENSG00000169692.12,Spleen,50-59,male,65.06
116,AGPAT2,ENSG00000169692.12,Spleen,50-59,male,55.94
117,AGPAT2,ENSG00000169692.12,Spleen,50-59,male,39.94
118,AGPAT2,ENSG00000169692.12,Spleen,50-59,male,92.49
119,AGPAT2,ENSG00000169692.12,Spleen,50-59,male,46.8
