,gene,gencodeId,tissue,age,gender,TPMs
0,AKT1,ENSG00000142208.15,Spleen,20-29,male,"[62.51, 78.84, 60.96, 56.05, 65.4, 75.06, 54.51, 59.79, 47.38, 49.56, 63.75, 41.97, 51.01]"
1,AKT1,ENSG00000142208.15,Spleen,20-29,female,"[60.74, 78.72, 93.06, 69.96, 56.83, 57.51, 42.51, 72.47, 53.27]"
2,AKT1,ENSG00000142208.15,Spleen,30-39,male,"[65.78, 59.19, 55.07, 45.88, 47.57, 51.59, 65.92, 57.78, 47.03, 55.29, 67.12, 100.7, 52.67, 45.88, 62.05, 46.94, 43.73, 60.7, 45.85, 81.46, 61.31, 59.57, 56.93]"
3,AKT1,ENSG00000142208.15,Spleen,30-39,female,"[53.06, 60.06, 59.17, 43.38, 46.94, 53.48, 47.55, 80.48, 58.54]"
4,AKT1,ENSG00000142208.15,Spleen,40-49,male,"[54.96, 29.19, 64.16, 79.34, 54.09, 57.97, 64.76, 66.49, 65.96, 69.33, 58.64, 76.05, 39.78, 90.92, 73.38, 70.69, 57.57, 60.18, 54.81, 53.91, 70.12, 54.15, 60.37, 69.7, 44.58, 58.38, 70.29, 63.89, 85.2]"
5,AKT1,ENSG00000142208.15,Spleen,40-49,female,"[41.89, 49.54, 68.27, 38.6, 58.58, 28.3, 53.15, 48.25, 70.11, 69.23, 48.78, 49.13, 50.15, 36.83, 67.81, 73.94, 77.74, 56.26, 65.43, 58.58, 41.98]"
6,AKT1,ENSG00000142208.15,Spleen,50-59,male,"[61.7, 43.46, 75.9, 70.35, 61.7, 71.15, 39.89, 60.9, 54.26, 69.65, 40.09, 105.7, 85.33, 66.52, 69.38, 73.92, 80.32, 51.95, 121.6, 73.78, 45.05, 59.13, 40.22, 67.63, 56.01, 88.2, 66.6, 82.94, 92.02, 47.33, 77.37, 46.94, 56.09, 73.05, 42.26, 49.5, 72.59, 71.03, 59.02, 67.14, 31.9, 62.29, 69.14, 87.74, 50.31, 94.65, 62.66, 86.48, 65.62, 86.58, 87.1, 74.0, 52.65, 49.9, 50.85, 64.31, 66.69, 76.21, 58.48, 75.02]"
7,AKT1,ENSG00000142208.15,Spleen,50-59,female,"[84.95, 74.31, 74.31, 57.64, 52.24, 54.56, 55.58, 40.67, 84.12, 62.54, 64.94, 62.03, 47.58, 90.5, 46.05, 109.0, 66.81, 46.94, 55.27, 41.27, 74.31, 74.31, 68.82, 57.89, 58.47, 26.02, 44.29, 46.41, 48.23, 46.67]"
8,AKT1,ENSG00000142208.15,Spleen,60-69,male,"[61.7, 72.91, 58.24, 61.7, 45.88, 64.74, 110.1, 74.86, 70.16, 38.53, 77.91, 75.41, 49.96, 57.52, 80.83, 40.47, 75.71, 113.6, 51.02, 45.88, 49.79, 94.17, 87.49, 97.77, 72.16, 58.56, 41.76, 65.75, 53.47, 59.66, 59.55]"
9,AKT1,ENSG00000142208.15,Spleen,60-69,female,"[73.42, 66.76, 78.8, 95.75, 52.33, 58.58, 80.57, 54.73, 68.11, 38.03, 70.27, 42.98, 101.0, 76.88, 96.72, 71.53, 52.79, 90.28, 212.6, 65.99, 58.58, 58.52]"
10,AKT1,ENSG00000142208.15,Spleen,70-79,male,"[52.1, 105.5, 105.4]"
11,AKT1,ENSG00000142208.15,Spleen,70-79,female,[60.22]
