,gene,gencodeId,tissue,age,gender,TPMs
0,APP,ENSG00000142192.20,Brain_Anterior_cingulate_cortex_BA24,20-29,male,[305.1]
1,APP,ENSG00000142192.20,Brain_Anterior_cingulate_cortex_BA24,20-29,female,"[351.3, 197.5, 751.4]"
2,APP,ENSG00000142192.20,Brain_Anterior_cingulate_cortex_BA24,30-39,male,"[266.4, 313.8, 797.1]"
3,APP,ENSG00000142192.20,Brain_Anterior_cingulate_cortex_BA24,30-39,female,[298.1]
4,APP,ENSG00000142192.20,Brain_Anterior_cingulate_cortex_BA24,40-49,male,"[331.1, 266.7, 70.15, 133.5, 255.2, 333.9, 64.6, 295.8, 46.46, 587.7, 173.8, 547.4, 364.3, 981.8, 1026.0, 752.5, 362.4]"
5,APP,ENSG00000142192.20,Brain_Anterior_cingulate_cortex_BA24,40-49,female,"[101.5, 384.4, 295.0, 160.6, 302.7, 909.3, 975.7]"
6,APP,ENSG00000142192.20,Brain_Anterior_cingulate_cortex_BA24,50-59,male,"[575.9, 156.7, 345.9, 77.94, 197.1, 782.5, 123.3, 230.0, 386.2, 340.2, 81.57, 140.6, 558.8, 482.5, 238.0, 144.7, 135.4, 889.4, 219.9, 673.4, 576.8, 507.0, 232.4, 169.0, 206.5, 445.7, 411.6, 164.3, 609.7, 907.4, 878.0, 488.8]"
7,APP,ENSG00000142192.20,Brain_Anterior_cingulate_cortex_BA24,50-59,female,"[76.71, 528.6, 420.3, 673.3, 184.3, 539.8, 459.7, 368.5, 772.8]"
8,APP,ENSG00000142192.20,Brain_Anterior_cingulate_cortex_BA24,60-69,male,"[645.0, 60.43, 385.5, 223.0, 238.4, 335.5, 300.7, 223.8, 207.1, 137.5, 254.3, 268.6, 292.9, 203.5, 412.0, 231.7, 88.73, 56.21, 428.7, 164.7, 753.7, 125.0, 118.6, 274.6, 603.5, 564.5, 253.7, 402.7, 182.4, 112.9, 582.0, 103.1, 249.4, 181.0, 552.1, 417.6, 107.5, 460.8, 140.3, 133.3, 204.6, 419.3, 208.0, 209.7, 637.7, 172.2, 318.8, 390.7, 385.4, 175.2, 361.8, 1027.0, 448.3, 412.7, 423.6, 533.9, 227.5, 745.8, 274.1, 482.4, 369.4, 348.1, 235.4, 138.4]"
9,APP,ENSG00000142192.20,Brain_Anterior_cingulate_cortex_BA24,60-69,female,"[139.7, 90.9, 127.8, 589.9, 360.8, 57.8, 275.7, 261.6, 887.0, 385.7, 634.8, 173.9, 88.72, 141.3, 395.6, 269.5, 75.73, 236.9, 63.51, 254.4, 692.9, 290.3, 954.8, 329.9, 97.86, 236.1]"
10,APP,ENSG00000142192.20,Brain_Anterior_cingulate_cortex_BA24,70-79,male,"[263.2, 73.21, 674.9, 217.7, 155.4, 66.74, 210.5, 67.5, 199.5, 272.6, 631.2]"
11,APP,ENSG00000142192.20,Brain_Anterior_cingulate_cortex_BA24,70-79,female,"[213.9, 619.6]"
