,gene,gencodeId,tissue,age,gender,TPMs
0,APTX,ENSG00000137074.18,Brain_Cortex,20-29,male,"[10.31, 10.31, 11.93, 12.84]"
1,APTX,ENSG00000137074.18,Brain_Cortex,20-29,female,"[10.16, 13.41, 11.49]"
2,APTX,ENSG00000137074.18,Brain_Cortex,30-39,male,"[10.5, 11.15, 8.797, 13.08, 16.41, 11.15, 12.58, 9.483]"
3,APTX,ENSG00000137074.18,Brain_Cortex,30-39,female,"[10.13, 13.3]"
4,APTX,ENSG00000137074.18,Brain_Cortex,40-49,male,"[11.0, 9.708, 12.62, 11.21, 11.05, 7.779, 6.957, 6.157, 5.181, 13.02, 8.332, 12.07, 11.25, 15.0, 20.55, 14.91, 12.92, 12.92, 11.04]"
5,APTX,ENSG00000137074.18,Brain_Cortex,40-49,female,"[11.0, 12.48, 11.04, 9.215, 10.19, 10.66, 3.544, 11.58, 12.72, 10.26, 14.98]"
6,APTX,ENSG00000137074.18,Brain_Cortex,50-59,male,"[15.3, 12.43, 15.3, 9.135, 11.34, 11.14, 11.45, 8.935, 12.71, 12.71, 12.93, 14.01, 10.54, 12.71, 12.71, 8.46, 9.695, 10.74, 7.53, 14.65, 10.52, 11.15, 11.41, 11.63, 9.357, 13.95, 12.17, 12.96, 11.86, 9.814, 13.36, 3.602, 4.229, 7.766, 8.53, 5.748, 11.56, 12.85, 13.43, 9.152, 13.63, 12.34, 11.88, 12.22, 11.9, 6.901, 12.43, 4.763, 10.32, 9.71, 11.15, 11.36, 8.679, 17.55, 10.75, 11.96, 12.92, 14.65, 14.09, 13.19, 12.92, 20.97, 8.971, 9.24, 11.65, 11.07]"
7,APTX,ENSG00000137074.18,Brain_Cortex,50-59,female,"[10.74, 11.03, 6.958, 15.5, 11.55, 11.67, 10.32, 9.505, 9.833, 11.78, 11.56, 11.56, 12.59, 4.603, 10.75, 12.04, 11.67, 10.9, 12.95, 10.42, 15.64, 16.95, 13.35, 9.144]"
8,APTX,ENSG00000137074.18,Brain_Cortex,60-69,male,"[14.32, 11.57, 15.3, 11.0, 11.18, 8.443, 10.67, 10.84, 6.398, 13.17, 15.3, 10.6, 10.31, 6.363, 11.75, 16.88, 10.38, 11.01, 9.042, 9.775, 14.71, 15.43, 9.806, 9.806, 20.12, 17.6, 13.57, 13.57, 10.74, 7.65, 14.65, 8.501, 13.21, 11.28, 11.75, 13.61, 6.119, 9.806, 9.806, 8.361, 9.846, 13.2, 7.458, 5.767, 9.771, 9.361, 9.901, 11.09, 9.309, 9.89, 11.56, 11.56, 7.439, 10.72, 11.98, 4.989, 7.416, 10.93, 7.399, 12.35, 10.12, 11.54, 15.99, 8.261, 12.77, 9.096, 10.37, 7.846, 10.86, 12.01, 4.102, 6.96, 11.84, 10.89, 11.47, 10.32, 12.21, 7.753, 8.584, 10.21, 7.269, 7.877, 13.99, 10.31, 13.45, 10.28, 8.25, 10.75, 14.65, 13.57, 13.57, 6.873, 11.69, 9.75, 10.02, 8.537, 11.51, 11.02, 11.04]"
9,APTX,ENSG00000137074.18,Brain_Cortex,60-69,female,"[11.0, 10.74, 8.035, 7.277, 6.623, 7.058, 11.04, 7.497, 10.59, 8.333, 9.692, 11.67, 10.32, 14.45, 11.1, 10.11, 12.47, 10.92, 11.56, 11.56, 6.706, 11.56, 11.56, 5.686, 17.3, 4.221, 11.81, 10.79, 10.75, 11.67, 7.773, 14.57, 13.06, 10.95, 10.99, 5.629, 12.06, 13.4, 11.82, 11.23, 11.42]"
10,APTX,ENSG00000137074.18,Brain_Cortex,70-79,male,"[12.43, 11.75, 11.2, 11.3, 11.75, 7.46, 10.65, 13.14, 12.46, 12.43, 4.24, 14.06]"
11,APTX,ENSG00000137074.18,Brain_Cortex,70-79,female,"[11.16, 6.564, 8.5, 7.32]"
