,gene,gencodeId,tissue,age,gender,TPMs
0,AR,ENSG00000169083.16,Spleen,20-29,male,"[0.5836, 0.8118, 1.979, 0.931, 0.4175, 1.5, 0.8286, 0.9901, 0.6241, 1.203, 0.2127, 1.332, 0.5772]"
1,AR,ENSG00000169083.16,Spleen,20-29,female,"[2.116, 1.449, 2.554, 2.232, 0.3751, 1.109, 0.4925, 1.71, 0.7969]"
2,AR,ENSG00000169083.16,Spleen,30-39,male,"[1.255, 0.5374, 0.2427, 0.802, 0.8248, 0.6641, 0.8535, 0.9713, 0.5056, 0.5305, 0.5305, 0.7408, 4.475, 0.9656, 1.585, 0.2795, 0.5305, 0.5305, 0.2191, 0.4404, 0.295, 0.2756, 0.9549]"
3,AR,ENSG00000169083.16,Spleen,30-39,female,"[1.05, 1.302, 0.7463, 0.1553, 1.09, 2.546, 0.4808, 0.8191, 1.146]"
4,AR,ENSG00000169083.16,Spleen,40-49,male,"[0.4627, 0.1155, 0.9627, 0.1805, 1.37, 0.3664, 0.1873, 0.9939, 0.8008, 1.049, 0.5645, 0.2206, 0.5492, 2.101, 0.2931, 0.1526, 0.8331, 0.4181, 0.2492, 1.53, 0.615, 0.3442, 0.5653, 0.4422, 0.9039, 0.4363, 0.653, 0.1693, 0.6597]"
5,AR,ENSG00000169083.16,Spleen,40-49,female,"[0.7884, 1.04, 1.078, 0.5495, 0.2417, 0.8109, 1.018, 1.823, 1.728, 1.362, 0.6485, 1.158, 1.631, 2.017, 1.99, 3.173, 1.079, 2.456, 1.184, 0.6095]"
6,AR,ENSG00000169083.16,Spleen,50-59,male,"[5.213, 0.286, 0.5375, 0.2634, 1.403, 0.5624, 0.2102, 0.4856, 0.4534, 0.2645, 0.5782, 2.851, 0.1823, 0.4365, 0.9947, 0.5923, 1.019, 1.916, 1.221, 0.8816, 0.2185, 0.2808, 0.5262, 0.7645, 1.349, 1.442, 0.8656, 0.9207, 0.5667, 1.205, 0.1379, 0.877, 0.3864, 0.3251, 0.3251, 1.012, 2.299, 1.988, 1.034, 1.436, 0.3251, 0.3251, 0.2547, 0.8202, 1.283, 0.7291, 0.151, 0.6875, 0.7299, 0.2568, 1.048, 2.018, 0.8441, 0.4503, 1.177, 0.416, 0.208, 1.528, 0.5721, 0.2513, 1.223]"
7,AR,ENSG00000169083.16,Spleen,50-59,female,"[0.3686, 1.431, 1.347, 0.3081, 0.8953, 0.8622, 0.6731, 1.059, 0.6654, 1.956, 1.841, 0.5048, 2.48, 1.198, 2.269, 2.908, 0.2943, 0.9803, 0.7493, 1.323, 0.7812, 0.4796, 0.1054, 0.2641, 1.252, 1.117, 0.5126]"
8,AR,ENSG00000169083.16,Spleen,60-69,male,"[1.511, 1.277, 0.2008, 0.7397, 0.9916, 0.3523, 0.6364, 0.08787, 0.7677, 1.147, 1.147, 0.5085, 1.665, 0.06376, 0.1244, 0.2061, 0.1998, 0.48, 0.8664, 0.3161, 3.25, 0.3602, 2.224, 0.9233, 0.3443, 0.2068, 0.3995, 1.679, 0.3271, 0.3922]"
9,AR,ENSG00000169083.16,Spleen,60-69,female,"[0.7217, 1.844, 2.646, 0.491, 0.3079, 1.257, 2.862, 0.8115, 1.564, 0.6159, 2.318, 1.147, 1.147, 3.088, 1.111, 1.792, 2.044, 0.9781, 1.015, 4.783, 1.033, 1.758]"
10,AR,ENSG00000169083.16,Spleen,70-79,male,"[0.3614, 0.563, 1.03]"
11,AR,ENSG00000169083.16,Spleen,70-79,female,[1.103]
