,gene,gencodeId,tissue,age,gender,TPMs
0,ATF2,ENSG00000115966.16,Brain_Cortex,20-29,male,"[14.45, 14.73, 19.13, 18.47, 15.92]"
1,ATF2,ENSG00000115966.16,Brain_Cortex,20-29,female,"[15.92, 14.73, 22.75]"
2,ATF2,ENSG00000115966.16,Brain_Cortex,30-39,male,"[16.03, 14.68, 22.92, 19.61, 21.81, 12.56, 20.96]"
3,ATF2,ENSG00000115966.16,Brain_Cortex,30-39,female,"[15.1, 17.71]"
4,ATF2,ENSG00000115966.16,Brain_Cortex,40-49,male,"[14.15, 19.69, 12.93, 14.77, 11.8, 17.01, 14.96, 13.33, 4.685, 8.361, 21.71, 21.71, 8.507, 12.52, 20.2, 13.25, 22.49, 32.8, 26.09, 18.21]"
5,ATF2,ENSG00000115966.16,Brain_Cortex,40-49,female,"[19.62, 9.619, 19.26, 14.69, 4.367, 19.95, 14.77, 11.55, 19.71]"
6,ATF2,ENSG00000115966.16,Brain_Cortex,50-59,male,"[20.89, 22.21, 13.38, 13.38, 16.21, 12.94, 14.18, 17.65, 12.23, 15.01, 15.01, 15.29, 24.14, 12.89, 18.42, 11.45, 10.73, 15.01, 15.01, 13.17, 12.74, 14.77, 12.35, 16.84, 18.72, 13.86, 21.27, 20.27, 15.01, 15.01, 21.43, 25.14, 11.14, 16.76, 15.67, 8.949, 5.945, 7.979, 17.04, 6.623, 21.67, 21.46, 12.73, 20.66, 27.11, 10.79, 11.43, 22.77, 13.67, 4.253, 13.38, 13.38, 10.73, 17.05, 6.88, 11.61, 13.42, 31.58, 15.67, 19.47, 19.18, 32.57, 11.87, 15.09, 15.63, 14.92]"
7,ATF2,ENSG00000115966.16,Brain_Cortex,50-59,female,"[15.81, 11.26, 14.41, 14.54, 15.71, 16.24, 16.92, 20.43, 20.07, 19.41, 8.413, 14.77, 11.54, 14.1, 17.1, 18.62, 19.38, 25.27, 13.0, 24.24, 13.38, 13.38]"
8,ATF2,ENSG00000115966.16,Brain_Cortex,60-69,male,"[18.77, 15.66, 20.35, 14.07, 9.853, 15.54, 11.46, 13.14, 24.01, 13.38, 8.265, 16.5, 20.84, 21.22, 15.68, 12.4, 20.54, 15.01, 14.57, 15.52, 35.89, 23.01, 18.13, 13.24, 10.73, 15.01, 7.876, 8.805, 21.08, 23.08, 17.28, 18.13, 10.91, 15.01, 14.83, 14.83, 14.02, 24.7, 9.459, 10.61, 14.29, 16.64, 15.67, 20.68, 10.16, 12.9, 12.9, 15.24, 10.13, 13.2, 16.14, 7.47, 8.198, 15.74, 12.5, 19.84, 11.06, 9.607, 14.73, 8.542, 16.55, 10.29, 15.35, 9.744, 12.11, 14.82, 6.036, 6.53, 17.58, 18.06, 18.41, 12.9, 12.9, 17.25, 10.15, 13.38, 10.73, 9.905, 7.111, 10.87, 16.29, 10.36, 18.44, 11.04, 11.04, 10.72, 15.67, 28.67, 27.89, 15.92, 22.04, 20.14, 20.14, 11.77, 13.03, 17.7, 17.63]"
9,ATF2,ENSG00000115966.16,Brain_Cortex,60-69,female,"[7.298, 15.15, 11.04, 11.04, 9.685, 10.77, 10.44, 21.38, 13.92, 15.21, 12.65, 14.55, 19.12, 21.73, 20.94, 13.74, 15.92, 15.11, 13.15, 8.917, 22.27, 14.73, 9.949, 19.64, 3.83, 20.14, 20.14, 20.29, 14.72, 8.52, 21.52, 12.13, 11.0, 14.83, 14.83, 9.084, 19.92, 18.93, 24.03, 13.38, 17.11, 23.66]"
10,ATF2,ENSG00000115966.16,Brain_Cortex,70-79,male,"[12.48, 16.58, 18.13, 18.13, 12.55, 21.71, 16.11, 21.71, 15.48, 21.34, 4.508, 13.71]"
11,ATF2,ENSG00000115966.16,Brain_Cortex,70-79,female,"[13.56, 7.048, 17.22, 12.84]"
