,gene,gencodeId,tissue,age,gender,TPMs
0,BLM,ENSG00000197299.10,Artery_Coronary,20-29,male,"[0.1131, 0.4398, 0.4061, 0.2604, 0.427, 0.2765, 0.08945, 2.166]"
1,BLM,ENSG00000197299.10,Artery_Coronary,20-29,female,"[0.1839, 0.8588, 0.173, 0.9299, 0.2048, 0.6155]"
2,BLM,ENSG00000197299.10,Artery_Coronary,30-39,male,"[0.2301, 0.5375, 0.0, 0.5859, 0.3174, 0.1566, 0.2018]"
3,BLM,ENSG00000197299.10,Artery_Coronary,30-39,female,"[1.287, 0.3862, 0.1848, 0.6708, 0.4435]"
4,BLM,ENSG00000197299.10,Artery_Coronary,40-49,male,"[1.099, 0.201, 0.8643, 0.6407, 0.1809, 0.1756, 0.4149, 0.3828, 1.106, 0.6109, 0.1779, 1.253, 0.7059, 0.581, 0.2691, 1.604, 0.5497, 0.5929]"
5,BLM,ENSG00000197299.10,Artery_Coronary,40-49,female,"[0.2354, 0.1606, 0.7645, 0.5702, 0.499, 0.3672, 0.2629, 0.6162, 0.2194, 0.2517, 0.4833, 0.5481, 0.3176, 1.001, 0.05905, 0.4344, 0.2407, 0.503, 1.162]"
6,BLM,ENSG00000197299.10,Artery_Coronary,50-59,male,"[2.691, 0.7393, 0.07372, 0.08047, 0.2892, 0.2697, 1.943, 0.1297, 0.7638, 0.7144, 0.2322, 0.1519, 0.137, 0.2426, 0.5314, 0.7182, 0.3047, 0.6804, 0.624, 0.7076, 0.9629, 1.385, 0.813, 4.828, 1.487, 1.397, 1.058, 0.4436, 0.2216, 0.6592, 0.1336, 0.1302, 0.2945, 3.885, 0.3124, 1.704, 0.3615, 0.989, 0.9581, 0.3928, 0.5657, 0.1933, 0.2246, 1.014, 0.12, 0.3717, 0.4779, 0.2101, 1.587, 0.06685, 0.6641, 0.111, 0.7945, 0.1373, 0.2, 0.07484, 0.2508, 0.5704, 0.8129, 1.374, 1.027, 0.6761, 0.4459, 0.4415, 0.5907]"
7,BLM,ENSG00000197299.10,Artery_Coronary,50-59,female,"[0.4661, 1.147, 0.2061, 0.4999, 1.028, 0.03431, 0.4825, 0.3622, 0.1026, 1.622, 0.6045, 0.4679, 0.0846, 0.1886, 1.029, 0.5619, 0.8744, 0.2462, 0.4939, 0.4587, 0.1601, 0.3659, 0.2658, 0.2904, 0.3543, 0.3978, 0.4055, 1.313, 0.6428, 0.5312]"
8,BLM,ENSG00000197299.10,Artery_Coronary,60-69,male,"[0.3438, 0.5387, 1.151, 0.3226, 0.3434, 1.092, 0.4487, 1.005, 0.9807, 0.178, 0.2492, 0.5957, 0.3852, 0.7754, 0.3597, 0.3389, 0.4867, 0.525, 0.5404, 0.9452, 0.8023, 0.4228, 0.1051, 0.6267, 0.3556, 0.3561, 0.8807, 0.4009, 0.3203, 0.7333, 0.9506, 0.2845, 1.14, 0.4823, 0.2714, 0.3581, 1.345, 0.5996, 0.467, 0.8319, 0.2767, 0.3935, 1.451]"
9,BLM,ENSG00000197299.10,Artery_Coronary,60-69,female,"[0.8242, 0.5352, 0.4407, 0.3048, 1.592, 0.2766, 0.2189, 0.1954, 1.096, 0.3306, 0.774, 0.1671, 0.5336, 0.167, 0.3671, 0.5799, 0.5049, 0.392, 0.4506, 1.066, 0.258, 0.4756, 1.062, 0.1083, 0.5096, 0.302, 0.5161, 0.4562, 0.2772, 1.16, 0.5524, 0.8148, 0.3066]"
10,BLM,ENSG00000197299.10,Artery_Coronary,70-79,male,"[0.3991, 0.1229, 0.2837, 0.09329, 0.01895]"
11,BLM,ENSG00000197299.10,Artery_Coronary,70-79,female,[0.388]
