,gene,gencodeId,tissue,age,gender,TPMs
0,BLM,ENSG00000197299.10,Kidney_Cortex,20-29,male,[0.06783]
1,BLM,ENSG00000197299.10,Kidney_Cortex,20-29,female,[]
2,BLM,ENSG00000197299.10,Kidney_Cortex,30-39,male,"[0.6149, 0.2016, 0.06335, 2.181, 0.051, 0.3142]"
3,BLM,ENSG00000197299.10,Kidney_Cortex,30-39,female,"[1.082, 0.1922]"
4,BLM,ENSG00000197299.10,Kidney_Cortex,40-49,male,"[0.1519, 0.06419, 0.113, 0.04399, 0.1178, 0.112, 0.984]"
5,BLM,ENSG00000197299.10,Kidney_Cortex,40-49,female,"[0.2498, 0.113]"
6,BLM,ENSG00000197299.10,Kidney_Cortex,50-59,male,"[0.409, 0.146, 0.08797, 0.6834, 0.06463, 0.5983, 0.08956, 0.1017, 0.2207, 0.14, 0.5154, 0.1583, 0.02975, 0.08442, 0.06559, 0.1167, 0.0798, 0.8106, 0.1779, 0.8016, 0.02848, 0.4832, 0.6]"
7,BLM,ENSG00000197299.10,Kidney_Cortex,50-59,female,"[0.09267, 0.1168, 0.0752, 0.08087, 0.2316, 0.3509]"
8,BLM,ENSG00000197299.10,Kidney_Cortex,60-69,male,"[0.3166, 0.07561, 0.4247, 0.1681, 0.08841, 0.103, 0.06624, 0.113, 1.103, 0.4232, 0.1623, 0.08053, 0.06589, 0.1364, 0.1341, 0.08917, 0.02101, 0.5901, 1.056, 0.09317, 0.12, 0.2731, 0.0478, 0.09991, 0.09682, 0.6531]"
9,BLM,ENSG00000197299.10,Kidney_Cortex,60-69,female,"[0.4798, 0.7591, 0.03746, 0.08327, 1.129, 0.3577, 0.1417, 0.1137, 0.113, 0.8185]"
10,BLM,ENSG00000197299.10,Kidney_Cortex,70-79,male,"[0.1078, 0.08136, 0.5451, 0.2104]"
11,BLM,ENSG00000197299.10,Kidney_Cortex,70-79,female,[]
