,gene,gencodeId,tissue,age,gender,TPMs
0,CACNA1A,ENSG00000141837.19,Artery_Aorta,20-29,male,"[0.8613, 0.9903, 0.7398, 0.395, 0.3608, 0.525, 0.3739, 0.6144, 0.2234, 0.4304, 0.2376, 0.4495, 0.4251, 0.8703, 0.809, 0.6592, 0.2346, 0.3865, 1.2, 0.5793, 0.8182, 1.242, 0.8494, 0.6737, 0.3088]"
1,CACNA1A,ENSG00000141837.19,Artery_Aorta,20-29,female,"[0.5578, 0.6342, 0.4146, 0.4986, 0.7796, 0.4994, 0.8037, 0.6737, 0.5096, 0.4649, 1.319, 0.525, 0.3899, 0.5012]"
2,CACNA1A,ENSG00000141837.19,Artery_Aorta,30-39,male,"[0.7266, 0.6627, 0.2955, 0.6926, 0.2467, 0.6166, 0.2454, 0.4225, 0.6636, 0.6604, 0.3827, 0.2955, 0.2148, 0.6253, 0.4357, 0.3747, 0.295, 0.4433, 0.3989, 0.4315, 0.6148, 0.8576, 0.3338, 0.5942, 0.3496, 0.4919, 0.695]"
3,CACNA1A,ENSG00000141837.19,Artery_Aorta,30-39,female,"[0.335, 0.858, 0.4544, 0.2398, 0.3945, 0.4835, 0.2454, 0.7407, 0.4862, 0.6012, 0.6148, 0.1413, 0.4835, 0.7868, 0.4803]"
4,CACNA1A,ENSG00000141837.19,Artery_Aorta,40-49,male,"[0.3439, 0.2955, 0.551, 0.6292, 0.313, 0.5153, 0.6087, 0.333, 0.377, 0.8178, 0.2984, 0.8244, 0.4948, 0.4153, 0.2955, 1.165, 0.3372, 0.4695, 0.368, 0.4581, 0.4024, 0.7437, 0.434, 0.4901, 0.3511, 0.4401, 0.6438, 0.265, 0.2863, 0.6148, 0.7291, 0.434, 0.5175, 0.3417, 0.4207, 0.6167, 1.124, 0.3049, 0.4355, 0.7332, 0.2685, 0.3297, 0.2855, 0.4471]"
5,CACNA1A,ENSG00000141837.19,Artery_Aorta,40-49,female,"[1.119, 0.6107, 0.6133, 0.6229, 0.6239, 0.2773, 0.6863, 0.6999, 0.9069, 0.5524, 0.6073, 0.2834, 0.1989, 0.3022, 0.5659, 0.6148, 0.4043, 0.5038, 0.8645, 0.4471, 0.5422, 0.653, 0.5591, 0.2272, 0.4539, 0.5386, 0.5971, 0.257, 0.5971]"
6,CACNA1A,ENSG00000141837.19,Artery_Aorta,50-59,male,"[0.2848, 0.3156, 0.6333, 0.4325, 0.08117, 0.5127, 0.5094, 0.2017, 0.4784, 0.5937, 0.7774, 0.5599, 0.6045, 0.296, 0.5667, 0.4215, 0.2021, 0.445, 0.2328, 0.5866, 0.2254, 0.7506, 0.7784, 0.3374, 0.5722, 0.5722, 1.017, 1.126, 0.3695, 0.2204, 0.5355, 0.513, 0.7597, 0.4668, 0.4358, 0.6452, 0.2294, 0.6029, 0.3596, 0.3349, 0.271, 0.4505, 0.2833, 0.1112, 0.5141, 0.4585, 0.3471, 0.2683, 0.5509, 0.5003, 0.5864, 1.022, 0.9246, 0.1302, 0.2703, 0.1154, 0.4647, 0.379, 0.4228, 0.4026, 0.2215, 0.4725, 0.5435, 0.3133, 0.2718, 0.4646, 0.5482, 0.3869, 0.6886, 0.488, 0.6272, 0.3689, 0.5016, 0.389, 0.2747, 0.2576, 0.6582, 0.4731, 0.5165, 0.3401, 0.1971, 0.3684, 0.204, 0.2873, 0.4107, 0.5603, 0.5336, 0.5103, 0.6232, 0.4235, 0.3713, 0.3257, 0.7422, 0.6737, 0.3666, 0.747, 0.4373, 0.516, 0.4325, 0.4471, 0.3208, 0.2121]"
7,CACNA1A,ENSG00000141837.19,Artery_Aorta,50-59,female,"[0.4868, 0.2794, 0.4759, 0.6472, 0.2988, 0.6724, 0.2588, 0.3844, 0.3471, 0.5526, 0.7206, 0.292, 0.131, 0.3505, 0.5722, 0.5722, 1.166, 3.008, 0.1594, 0.4953, 0.3859, 0.6603, 0.2027, 0.4589, 0.4707, 0.4645, 0.4835, 0.3213, 0.2711, 0.3142, 0.8603, 0.291, 0.8246, 0.6737, 0.2774, 0.8508, 0.4835, 0.9992, 0.1664, 0.5105, 0.4471, 0.2603, 0.2275, 0.7818, 0.3034, 0.2549, 0.2418, 0.2293, 0.2666, 0.5971, 0.5633, 0.3355, 0.5971, 0.5421, 0.7943]"
8,CACNA1A,ENSG00000141837.19,Artery_Aorta,60-69,male,"[0.3358, 0.6718, 0.4404, 0.1578, 0.4603, 0.2995, 0.4325, 0.3111, 0.2791, 0.2791, 0.4428, 0.5504, 0.149, 0.3495, 0.3233, 0.627, 0.6378, 0.4732, 0.9512, 0.2489, 0.5091, 0.6426, 0.3915, 0.2622, 0.4891, 0.7293, 0.3481, 0.2195, 0.4956, 0.3794, 0.2454, 0.5462, 0.6881, 0.4416, 0.3004, 0.3452, 0.3408, 0.9947, 0.3199, 0.1678, 0.327, 1.155, 0.1937, 0.2739, 0.2245, 0.2245, 0.2031, 0.4738, 0.4376, 0.525, 0.446, 0.7642, 0.3732, 0.403, 0.2541, 0.3432, 0.4591, 0.324, 0.4573, 0.3295, 0.4858, 0.5279, 0.9937, 0.251, 0.3306, 0.4552, 0.5729, 0.434, 0.519, 0.4745, 0.3564, 0.2501, 0.2934, 0.5104, 0.2113, 0.5445, 0.434, 0.1756, 0.3394, 0.3075, 1.15, 0.7637, 0.4927, 0.7115, 0.2714, 0.3486, 0.4486, 0.4325, 0.4908, 0.2905]"
9,CACNA1A,ENSG00000141837.19,Artery_Aorta,60-69,female,"[0.2245, 0.2245, 0.496, 0.7421, 0.7448, 0.1862, 0.5553, 0.385, 0.39, 0.3234, 0.3858, 0.3363, 0.503, 0.9969, 0.5406, 0.548, 0.1886, 0.2935, 0.2532, 0.2746, 0.6387, 0.4025, 0.4327, 0.3215, 0.2349, 0.2791, 0.2791, 0.1138, 0.2728, 0.143, 0.3922, 0.8116, 0.2454, 0.3176, 0.6385, 0.4584, 0.422, 0.3316, 0.525, 0.5555, 0.8335, 0.2255, 0.447, 0.3206, 0.3206, 0.3473, 0.4093, 0.3206, 0.3206, 0.1668, 0.2194]"
10,CACNA1A,ENSG00000141837.19,Artery_Aorta,70-79,male,"[0.5802, 0.532, 0.24, 0.34, 0.3736, 0.3471]"
11,CACNA1A,ENSG00000141837.19,Artery_Aorta,70-79,female,"[0.3471, 0.2392, 0.7358, 1.182]"
