,gene,gencodeId,tissue,age,gender,TPMs
0,CAT,ENSG00000121691.4,Heart_Left_Ventricle,20-29,male,"[20.18, 53.87, 60.49, 16.46, 21.59, 22.09, 58.36, 55.36, 47.46, 16.71, 20.13, 26.94]"
1,CAT,ENSG00000121691.4,Heart_Left_Ventricle,20-29,female,"[20.25, 43.77, 29.29, 25.46, 45.98, 28.73, 68.65, 56.34, 11.64, 50.5]"
2,CAT,ENSG00000121691.4,Heart_Left_Ventricle,30-39,male,"[59.5, 28.37, 13.97, 54.0, 22.68, 30.87, 23.72, 24.0, 8.65, 35.37, 3.014, 27.56, 15.73, 43.87, 31.09, 15.19, 4.783]"
3,CAT,ENSG00000121691.4,Heart_Left_Ventricle,30-39,female,"[52.59, 26.64, 65.12, 47.55, 23.39, 76.16, 37.04, 32.05, 72.65]"
4,CAT,ENSG00000121691.4,Heart_Left_Ventricle,40-49,male,"[10.21, 20.47, 49.39, 36.89, 41.33, 2.066, 101.9, 6.421, 15.81, 28.76, 39.11, 13.49, 25.66, 58.57, 4.46, 31.29, 54.35, 50.61, 64.25, 2.248, 23.29, 9.799, 85.82, 27.68, 27.19, 24.87, 57.29, 34.11, 19.92, 26.26, 37.27, 23.02, 36.95, 31.59, 27.22, 39.72, 29.2, 26.02, 43.44, 32.59, 10.2, 33.11, 31.46, 5.41]"
5,CAT,ENSG00000121691.4,Heart_Left_Ventricle,40-49,female,"[59.9, 83.71, 62.47, 32.82, 24.87, 6.739, 70.6, 54.62, 37.03, 24.09, 22.58, 40.42, 36.67, 95.11, 40.62, 33.83, 13.99, 32.74, 14.61, 26.66, 6.722, 36.74, 13.98]"
6,CAT,ENSG00000121691.4,Heart_Left_Ventricle,50-59,male,"[12.41, 26.23, 37.36, 33.31, 17.55, 21.22, 31.73, 7.948, 36.52, 5.517, 31.77, 33.9, 8.156, 27.91, 10.04, 9.632, 16.9, 4.081, 3.666, 12.05, 50.27, 6.057, 31.23, 12.95, 23.91, 11.35, 41.86, 41.86, 25.59, 7.008, 16.28, 70.58, 6.632, 52.28, 24.16, 38.66, 53.88, 3.921, 27.42, 10.62, 58.66, 19.9, 3.604, 40.36, 22.79, 45.71, 56.81, 41.95, 3.22, 3.824, 36.93, 2.735, 14.68, 4.931, 22.99, 36.03, 51.41, 9.753, 6.333, 29.08, 4.316, 28.47, 52.68, 38.95, 44.08, 4.996, 54.95, 32.27, 29.63, 38.65, 17.5, 41.86, 41.86, 27.87, 24.85, 34.92, 38.03, 32.4, 23.49, 38.48, 49.68, 6.171, 21.62, 7.394, 35.88, 43.49, 18.58, 39.99, 88.35, 3.63, 15.28, 39.32, 55.43, 2.793, 5.598, 42.45, 24.42, 31.18, 29.28, 15.14, 45.15, 46.13, 52.74, 22.38, 39.41, 40.12, 52.8, 55.02, 16.06]"
7,CAT,ENSG00000121691.4,Heart_Left_Ventricle,50-59,female,"[43.73, 15.25, 18.07, 15.53, 45.03, 36.27, 30.55, 80.53, 35.11, 34.91, 37.93, 45.48, 59.57, 31.73, 1.121, 2.269, 35.88, 34.76, 12.62, 42.72, 23.26, 25.16, 61.79, 39.19, 38.14, 83.6, 6.87, 59.71, 88.65, 37.82, 41.54, 30.02, 60.38, 57.21, 27.31, 50.51, 69.6, 62.29, 3.174, 8.933, 28.08, 10.48, 33.37, 47.45, 20.9, 46.62, 2.17, 38.22, 52.48]"
8,CAT,ENSG00000121691.4,Heart_Left_Ventricle,60-69,male,"[32.62, 34.04, 4.638, 8.969, 7.44, 10.83, 16.23, 22.91, 52.76, 7.335, 24.38, 31.73, 59.32, 51.96, 44.04, 2.724, 6.795, 11.03, 6.951, 8.681, 50.6, 32.45, 3.822, 6.786, 17.07, 23.55, 6.667, 13.1, 5.835, 22.76, 1.666, 1.947, 55.27, 1.64, 69.03, 4.323, 38.02, 38.02, 110.1, 21.76, 56.36, 15.58, 5.845, 53.6, 12.08, 47.65, 9.044, 29.13, 20.08, 44.15, 22.54, 38.78, 4.955, 5.874, 34.63, 41.46, 18.24, 7.542, 15.64, 6.569, 9.203, 29.55, 14.71, 8.683, 6.221, 40.41, 7.085, 23.81, 15.42, 2.93, 35.7, 5.921, 3.453, 39.75, 6.914, 15.18, 37.14, 19.53, 0.8487, 51.38, 24.58, 49.43, 5.662, 6.844, 3.808, 49.23, 33.49, 22.41, 31.04, 36.8, 30.54, 20.85, 24.87, 44.79, 24.86, 46.03, 54.19, 41.63, 18.6, 35.88, 27.71, 35.72, 26.12, 41.88, 16.21, 48.55, 17.37, 14.9]"
9,CAT,ENSG00000121691.4,Heart_Left_Ventricle,60-69,female,"[51.95, 38.02, 38.02, 17.99, 7.638, 48.22, 6.659, 18.65, 44.31, 16.35, 39.3, 20.15, 18.11, 31.73, 12.3, 16.25, 28.15, 35.88, 34.46, 24.87, 45.55, 7.292, 4.512, 4.447, 16.36, 9.19, 16.17, 5.188, 47.36, 52.52, 65.71, 1.776, 6.718, 62.95, 44.88, 6.104, 25.31, 19.75, 2.415, 5.94, 9.594, 13.33, 31.58, 33.34, 28.84, 80.3, 42.25]"
10,CAT,ENSG00000121691.4,Heart_Left_Ventricle,70-79,male,"[5.232, 3.293, 4.066, 24.74, 13.01, 22.11, 4.033, 38.16, 7.712, 36.2]"
11,CAT,ENSG00000121691.4,Heart_Left_Ventricle,70-79,female,"[37.81, 3.408, 4.152, 16.48]"
