,gene,gencodeId,tissue,age,gender,TPMs
0,CDC42,ENSG00000070831.15,Kidney_Cortex,20-29,male,[26.21]
1,CDC42,ENSG00000070831.15,Kidney_Cortex,20-29,female,[]
2,CDC42,ENSG00000070831.15,Kidney_Cortex,30-39,male,"[117.6, 110.8, 37.95, 105.1, 33.95, 52.45]"
3,CDC42,ENSG00000070831.15,Kidney_Cortex,30-39,female,"[82.7, 52.65]"
4,CDC42,ENSG00000070831.15,Kidney_Cortex,40-49,male,"[90.47, 43.59, 31.4, 41.89, 25.49, 85.12]"
5,CDC42,ENSG00000070831.15,Kidney_Cortex,40-49,female,"[55.65, 31.82]"
6,CDC42,ENSG00000070831.15,Kidney_Cortex,50-59,male,"[41.23, 40.46, 26.58, 79.59, 46.82, 91.51, 30.91, 35.19, 29.19, 75.42, 90.43, 31.56, 26.63, 33.71, 34.76, 70.81, 70.81, 53.65, 136.6, 53.01, 94.53, 76.68, 86.98, 64.39]"
7,CDC42,ENSG00000070831.15,Kidney_Cortex,50-59,female,"[65.44, 33.27, 40.42, 24.95, 70.81, 70.81, 55.23]"
8,CDC42,ENSG00000070831.15,Kidney_Cortex,60-69,male,"[52.35, 32.65, 73.15, 53.56, 59.24, 78.51, 42.82, 40.28, 136.2, 64.24, 46.59, 34.08, 49.37, 69.8, 36.52, 54.21, 22.91, 73.52, 97.18, 54.48, 51.96, 70.46, 29.23, 47.37, 22.24, 94.84]"
9,CDC42,ENSG00000070831.15,Kidney_Cortex,60-69,female,"[86.39, 98.39, 23.95, 51.01, 92.96, 150.4, 39.7, 37.72, 75.95]"
10,CDC42,ENSG00000070831.15,Kidney_Cortex,70-79,male,"[43.27, 36.51, 80.42, 97.05]"
11,CDC42,ENSG00000070831.15,Kidney_Cortex,70-79,female,[]
