,gene,gencodeId,tissue,age,gender,TPMs
0,CDK1,ENSG00000170312.15,Spleen,20-29,male,"[5.519, 10.97, 3.981, 12.76, 3.674, 3.423, 5.698, 13.52, 9.044, 15.81, 24.4, 9.931, 12.35, 4.92]"
1,CDK1,ENSG00000170312.15,Spleen,20-29,female,"[17.63, 13.52, 8.067, 6.486, 13.26, 15.28, 15.4, 16.11, 12.35, 13.26, 15.68]"
2,CDK1,ENSG00000170312.15,Spleen,30-39,male,"[11.65, 4.936, 17.88, 7.879, 23.85, 15.59, 4.874, 7.511, 25.63, 17.27, 17.0, 5.907, 8.964, 4.534, 4.096, 18.41, 17.0, 7.908, 25.62, 12.91, 4.096, 5.213, 12.75, 4.874]"
3,CDK1,ENSG00000170312.15,Spleen,30-39,female,"[11.14, 10.55, 6.252, 15.05, 8.271, 15.27, 8.079, 9.69, 5.495]"
4,CDK1,ENSG00000170312.15,Spleen,40-49,male,"[3.513, 27.84, 10.88, 3.04, 3.805, 8.472, 11.32, 9.659, 4.862, 5.483, 8.534, 2.988, 20.63, 11.56, 3.055, 3.745, 5.327, 6.942, 8.674, 5.771, 6.174, 9.983, 6.543, 24.62, 5.615, 7.059, 3.227, 17.03, 4.242]"
5,CDK1,ENSG00000170312.15,Spleen,40-49,female,"[19.89, 6.576, 5.678, 13.68, 13.73, 4.114, 12.61, 5.142, 5.338, 4.918, 5.604, 15.71, 10.99, 21.96, 22.59, 7.302, 10.3, 4.429, 5.763, 7.968]"
6,CDK1,ENSG00000170312.15,Spleen,50-59,male,"[4.528, 9.751, 3.198, 11.36, 7.063, 19.39, 7.098, 10.48, 5.891, 8.647, 5.596, 3.968, 9.01, 6.175, 11.12, 16.31, 15.65, 6.104, 7.597, 5.59, 19.02, 20.95, 3.59, 12.68, 17.0, 6.494, 17.24, 2.024, 6.34, 4.74, 7.571, 13.52, 17.0, 2.75, 23.62, 6.683, 14.17, 6.683, 4.37, 12.35, 6.519, 10.15, 7.885, 3.061, 3.618, 4.721, 9.488, 8.111, 6.526, 9.505, 3.688, 52.65, 14.27, 2.424, 6.855, 9.626, 2.265, 31.17, 3.226, 4.366, 6.269, 4.451]"
7,CDK1,ENSG00000170312.15,Spleen,50-59,female,"[5.351, 4.876, 13.91, 15.97, 7.581, 3.677, 13.52, 10.48, 17.69, 36.88, 15.69, 21.35, 8.615, 28.91, 5.87, 6.105, 2.327, 10.63, 13.26, 12.93, 7.925, 12.35, 5.446, 4.275, 6.916, 9.558, 13.26, 13.02, 7.414, 8.908]"
8,CDK1,ENSG00000170312.15,Spleen,60-69,male,"[5.529, 6.108, 10.2, 10.48, 4.874, 2.264, 6.352, 4.929, 4.651, 37.14, 15.38, 3.47, 18.99, 2.879, 3.095, 8.328, 14.51, 2.258, 4.217, 10.27, 6.388, 6.653, 4.479, 6.683, 6.683, 12.52, 10.01, 7.138, 6.881, 3.863, 7.538, 4.874]"
9,CDK1,ENSG00000170312.15,Spleen,60-69,female,"[3.436, 3.631, 4.81, 5.037, 6.662, 10.35, 4.605, 10.12, 3.7, 12.02, 5.613, 12.36, 10.48, 2.085, 4.416, 12.27, 8.708, 2.947, 5.359, 4.974, 5.936]"
10,CDK1,ENSG00000170312.15,Spleen,70-79,male,"[4.922, 5.582, 4.096, 4.096]"
11,CDK1,ENSG00000170312.15,Spleen,70-79,female,[2.181]
