,gene,gencodeId,tissue,age,gender,TPMs
0,CDK7,ENSG00000134058.11,Artery_Coronary,20-29,male,"[14.56, 22.53, 23.93, 20.85, 27.06, 14.56, 19.73, 15.55, 14.56, 18.27, 18.08]"
1,CDK7,ENSG00000134058.11,Artery_Coronary,20-29,female,"[18.27, 9.997, 18.98, 18.98, 19.16, 18.64, 18.98, 18.98]"
2,CDK7,ENSG00000134058.11,Artery_Coronary,30-39,male,"[12.14, 14.92, 20.72, 15.05, 22.65, 21.06, 22.69, 19.01, 14.8]"
3,CDK7,ENSG00000134058.11,Artery_Coronary,30-39,female,"[19.01, 20.72, 16.03, 18.6, 14.11, 19.01]"
4,CDK7,ENSG00000134058.11,Artery_Coronary,40-49,male,"[21.48, 22.22, 16.29, 17.6, 18.69, 18.69, 17.6, 19.32, 15.5, 17.33, 23.4, 25.39, 18.91, 19.03, 18.07, 14.51, 18.27, 16.52, 19.15, 19.01, 24.39, 22.95, 17.33]"
5,CDK7,ENSG00000134058.11,Artery_Coronary,40-49,female,"[19.01, 18.27, 18.9, 12.58, 18.1, 21.42, 22.41, 20.44, 20.44, 20.14, 21.26, 17.86, 18.79, 20.18, 16.29, 26.97, 19.01, 11.1, 13.11, 13.96, 22.9, 18.69, 18.69, 23.4]"
6,CDK7,ENSG00000134058.11,Artery_Coronary,50-59,male,"[19.91, 20.95, 14.56, 19.55, 14.97, 19.07, 16.31, 15.77, 19.42, 21.22, 21.09, 16.29, 17.39, 17.6, 11.73, 23.26, 12.42, 17.1, 14.74, 18.78, 19.38, 19.38, 21.67, 14.2, 19.75, 27.73, 26.78, 17.6, 11.64, 23.16, 15.04, 17.49, 22.46, 22.99, 22.05, 21.44, 19.38, 19.38, 23.4, 22.23, 23.11, 21.58, 19.21, 23.59, 16.84, 20.93, 16.81, 16.82, 14.56, 17.39, 18.92, 16.99, 15.81, 20.66, 20.66, 20.66, 15.6, 15.96, 14.56, 17.9, 17.58, 14.16, 12.87, 15.61, 14.52, 14.95, 16.14, 7.506, 21.36, 14.87, 18.25, 20.09, 16.15]"
7,CDK7,ENSG00000134058.11,Artery_Coronary,50-59,female,"[16.17, 18.49, 17.65, 18.77, 23.1, 20.66, 20.66, 20.66, 24.41, 20.34, 20.66, 20.66, 20.66, 23.64, 20.44, 20.44, 30.67, 16.01, 22.45, 20.02, 21.8, 14.49, 24.14, 24.76, 18.4, 15.72, 16.27, 16.29, 21.46, 19.66, 14.61, 18.49, 17.95, 16.51, 20.75, 23.4, 15.57, 12.37]"
8,CDK7,ENSG00000134058.11,Artery_Coronary,60-69,male,"[18.61, 29.13, 20.24, 14.56, 19.0, 19.0, 19.1, 13.31, 17.99, 20.77, 19.08, 16.32, 17.39, 21.86, 20.72, 20.11, 20.11, 26.51, 16.44, 21.59, 19.25, 14.93, 20.12, 15.68, 13.57, 15.23, 17.22, 21.03, 10.73, 15.75, 17.33, 20.16, 20.11, 20.11, 18.99, 19.69, 20.17, 17.88, 11.72, 19.57, 18.2, 17.45, 15.62, 14.56, 18.33, 17.39, 22.04, 14.56, 20.82, 19.01, 17.33]"
9,CDK7,ENSG00000134058.11,Artery_Coronary,60-69,female,"[20.54, 19.0, 19.0, 19.01, 18.49, 16.95, 17.51, 14.99, 20.72, 21.45, 22.13, 20.48, 18.19, 20.87, 18.04, 23.27, 14.64, 24.92, 21.31, 21.11, 19.62, 22.66, 20.52, 21.33, 22.59, 18.84, 19.52, 18.72, 24.23, 19.85, 15.65, 19.01, 18.49, 18.02, 18.09, 11.52, 16.22]"
10,CDK7,ENSG00000134058.11,Artery_Coronary,70-79,male,"[17.05, 27.3, 9.044, 19.36, 13.5]"
11,CDK7,ENSG00000134058.11,Artery_Coronary,70-79,female,[17.52]
