,gene,gencodeId,tissue,age,gender,TPMs
0,CDK7,ENSG00000134058.11,Heart_Left_Ventricle,20-29,male,"[10.97, 9.603, 8.97, 11.38, 5.136, 5.659, 7.598, 8.063, 7.576, 4.681, 5.232, 6.809]"
1,CDK7,ENSG00000134058.11,Heart_Left_Ventricle,20-29,female,"[14.92, 5.205, 14.06, 5.247, 9.022, 6.035, 8.929, 5.06, 1.803, 9.294]"
2,CDK7,ENSG00000134058.11,Heart_Left_Ventricle,30-39,male,"[7.846, 5.79, 3.525, 6.999, 4.529, 11.43, 7.296, 6.566, 1.804, 5.489, 1.715, 7.186, 2.644, 7.766, 6.797, 3.868, 1.185]"
3,CDK7,ENSG00000134058.11,Heart_Left_Ventricle,30-39,female,"[6.657, 9.606, 5.569, 6.124, 9.17, 6.786, 6.004, 4.735, 3.868, 9.169]"
4,CDK7,ENSG00000134058.11,Heart_Left_Ventricle,40-49,male,"[3.765, 3.558, 8.066, 8.908, 5.646, 0.8994, 6.677, 1.823, 8.715, 6.32, 7.798, 3.039, 4.729, 7.929, 2.033, 7.5, 7.191, 9.412, 13.45, 1.231, 3.754, 4.102, 24.07, 4.719, 3.502, 6.751, 12.26, 7.138, 3.362, 5.754, 3.672, 5.494, 9.48, 6.798, 7.459, 7.395, 5.87, 6.741, 6.461, 8.48, 6.07, 7.969, 6.597, 1.674]"
5,CDK7,ENSG00000134058.11,Heart_Left_Ventricle,40-49,female,"[8.006, 8.679, 13.69, 6.839, 1.932, 11.35, 8.428, 7.162, 5.222, 6.951, 5.271, 7.395, 5.559, 10.25, 5.37, 4.788, 3.405, 15.64, 9.888, 5.68, 1.985, 5.581, 11.95]"
6,CDK7,ENSG00000134058.11,Heart_Left_Ventricle,50-59,male,"[2.657, 5.753, 7.595, 9.126, 9.126, 5.009, 7.513, 8.65, 2.261, 6.663, 1.351, 6.747, 5.705, 3.161, 7.863, 3.363, 6.557, 2.431, 2.09, 1.378, 6.735, 7.262, 1.39, 7.074, 3.498, 5.725, 4.046, 4.574, 7.607, 2.169, 20.11, 8.79, 1.785, 11.27, 5.159, 6.988, 7.238, 4.885, 4.593, 2.283, 6.342, 6.616, 1.644, 7.396, 6.119, 6.457, 12.41, 6.234, 2.606, 1.544, 8.872, 2.675, 4.473, 3.332, 6.225, 8.009, 10.49, 1.92, 11.27, 2.684, 7.572, 1.479, 8.411, 6.779, 8.151, 7.907, 2.17, 8.426, 6.521, 3.346, 4.58, 2.331, 5.264, 5.004, 6.198, 6.683, 6.491, 10.2, 5.33, 5.944, 8.614, 1.623, 8.029, 6.42, 6.816, 7.873, 4.953, 6.439, 10.61, 1.514, 5.013, 9.443, 8.915, 1.046, 1.838, 5.799, 4.696, 5.466, 5.436, 5.031, 6.098, 13.42, 6.277, 6.935, 6.432, 8.193, 3.868, 7.777, 6.275, 4.557]"
7,CDK7,ENSG00000134058.11,Heart_Left_Ventricle,50-59,female,"[6.939, 4.135, 8.122, 3.875, 12.5, 10.92, 7.565, 6.273, 8.347, 8.104, 7.257, 7.158, 10.43, 0.5912, 0.6693, 15.89, 3.237, 6.236, 3.341, 13.12, 8.744, 7.891, 6.169, 7.682, 12.86, 5.397, 11.14, 11.16, 7.789, 4.563, 4.587, 6.893, 3.868, 6.865, 5.159, 9.126, 9.126, 5.36, 1.558, 2.859, 4.881, 6.239, 6.975, 13.53, 7.764, 8.264, 1.218, 6.563, 5.993]"
8,CDK7,ENSG00000134058.11,Heart_Left_Ventricle,60-69,male,"[6.484, 4.71, 1.397, 2.981, 2.889, 9.382, 3.845, 5.365, 7.795, 2.008, 4.152, 6.804, 7.884, 8.732, 1.55, 2.809, 2.816, 1.825, 11.71, 7.252, 7.499, 2.254, 2.337, 4.098, 6.356, 2.438, 3.454, 2.836, 3.445, 1.548, 0.9398, 8.477, 0.8892, 8.687, 0.8184, 12.85, 22.84, 11.27, 4.658, 8.968, 7.177, 0.8959, 12.73, 3.371, 9.729, 5.159, 3.32, 7.613, 4.938, 7.501, 5.284, 11.61, 1.869, 1.408, 8.503, 7.017, 5.617, 3.645, 5.165, 2.749, 1.911, 5.782, 8.02, 6.594, 1.862, 18.72, 2.051, 5.557, 4.465, 1.336, 8.263, 2.81, 2.145, 9.238, 3.31, 4.768, 4.834, 8.604, 0.4027, 6.445, 11.27, 7.88, 7.57, 1.743, 1.265, 3.957, 6.378, 5.16, 8.072, 6.903, 6.805, 4.795, 6.59, 6.478, 6.288, 20.41, 4.833, 4.739, 5.185, 7.395, 4.95, 8.579, 5.059, 4.664, 6.918, 5.427, 3.8]"
9,CDK7,ENSG00000134058.11,Heart_Left_Ventricle,60-69,female,"[7.431, 5.25, 4.169, 1.798, 8.752, 1.928, 6.873, 9.548, 3.956, 6.61, 12.56, 5.094, 6.322, 2.708, 3.652, 5.549, 5.268, 6.017, 20.26, 7.082, 2.014, 1.843, 1.753, 5.055, 3.081, 3.835, 2.558, 7.395, 8.845, 11.63, 2.339, 3.615, 10.64, 10.95, 1.802, 5.187, 4.299, 1.476, 1.732, 2.185, 3.741, 5.159, 4.334, 4.651, 7.086, 6.603]"
10,CDK7,ENSG00000134058.11,Heart_Left_Ventricle,70-79,male,"[3.897, 2.493, 1.577, 8.913, 4.15, 3.708, 1.282, 9.683, 6.037, 12.53]"
11,CDK7,ENSG00000134058.11,Heart_Left_Ventricle,70-79,female,"[5.398, 2.209, 1.299, 3.155]"
