,gene,gencodeId,tissue,age,gender,TPMs
0,CDK7,ENSG00000134058.11,Lung,20-29,male,"[21.61, 29.86, 18.36, 23.71, 26.7, 21.14, 27.9, 24.87, 27.63, 19.74, 24.31, 24.65, 16.89, 18.36, 24.03, 25.96, 16.47, 23.12, 26.7, 25.44, 15.73, 27.82, 21.14, 21.14]"
1,CDK7,ENSG00000134058.11,Lung,20-29,female,"[22.0, 19.81, 25.17, 23.02, 23.18, 19.81, 33.76, 11.7, 19.63, 26.94, 15.73, 23.02, 18.93, 17.81, 22.54, 18.89]"
2,CDK7,ENSG00000134058.11,Lung,30-39,male,"[24.81, 30.24, 21.66, 12.54, 22.04, 23.31, 26.7, 27.48, 23.08, 23.31, 29.81, 20.21, 20.48, 27.84, 19.93, 19.51, 21.91, 21.71, 16.93, 22.99, 10.9, 19.23, 26.36, 25.61, 30.28, 28.42, 14.05, 26.36, 22.04, 20.05, 20.21, 26.7, 27.62, 24.81, 32.85, 22.44, 19.23]"
3,CDK7,ENSG00000134058.11,Lung,30-39,female,"[26.3, 27.71, 16.93, 24.61, 24.09, 14.88, 25.77, 25.39, 16.26, 23.59, 23.6]"
4,CDK7,ENSG00000134058.11,Lung,40-49,male,"[24.81, 16.79, 16.79, 8.837, 22.04, 18.36, 32.13, 20.72, 17.16, 27.76, 22.73, 18.8, 22.64, 22.64, 25.34, 25.34, 20.72, 35.0, 12.97, 16.85, 20.04, 20.21, 22.1, 20.28, 19.29, 15.63, 17.08, 36.42, 20.04, 24.24, 10.11, 17.65, 18.52, 39.57, 22.09, 22.64, 22.64, 11.84, 29.0, 18.8, 29.13, 24.17, 22.87, 22.09, 30.11, 24.17, 10.8, 24.69, 27.35, 20.88, 21.54, 26.32, 14.57, 17.69, 29.72, 18.52, 20.28, 25.71, 18.36, 27.93, 15.63, 16.49, 22.04, 24.32, 21.42, 20.21, 27.76, 27.7, 24.81, 13.44, 18.18, 19.75, 24.11, 19.16, 24.58, 19.68, 26.13, 25.46, 16.57, 22.64, 22.64, 21.42, 23.06, 16.7]"
5,CDK7,ENSG00000134058.11,Lung,40-49,female,"[22.1, 22.88, 22.2, 22.22, 14.45, 20.63, 34.03, 16.79, 16.79, 22.88, 23.88, 23.88, 22.64, 22.64, 27.12, 21.22, 23.26, 20.04, 22.73, 18.57, 19.68, 17.59, 19.59, 13.69, 15.67, 23.25, 23.88, 23.88, 14.32, 20.51, 21.54, 27.09, 30.44, 28.22, 23.62, 29.44, 15.03, 20.96, 20.54, 20.28, 21.54, 23.85]"
6,CDK7,ENSG00000134058.11,Lung,50-59,male,"[30.21, 21.17, 12.2, 28.87, 26.63, 20.7, 11.86, 15.81, 14.25, 21.4, 21.47, 22.34, 21.92, 22.4, 20.72, 21.67, 20.39, 20.39, 16.68, 18.0, 19.06, 20.31, 20.31, 27.76, 23.72, 7.7, 18.8, 22.49, 24.47, 18.23, 16.3, 18.59, 18.91, 25.84, 10.87, 18.82, 18.82, 22.96, 17.97, 27.13, 13.58, 19.49, 19.49, 28.61, 20.79, 12.5, 16.68, 18.6, 21.24, 11.31, 20.72, 20.47, 18.87, 21.19, 14.36, 22.46, 25.56, 20.04, 21.14, 20.28, 20.28, 18.67, 32.17, 15.63, 22.96, 22.47, 20.44, 15.3, 15.77, 15.77, 15.77, 15.77, 34.26, 14.36, 22.67, 25.18, 20.04, 28.59, 28.75, 21.17, 11.86, 18.59, 23.91, 18.52, 19.1, 24.12, 23.63, 35.47, 22.9, 18.8, 14.8, 18.63, 19.66, 30.2, 22.74, 13.27, 24.17, 8.935, 16.55, 17.96, 17.96, 20.25, 15.35, 18.82, 18.82, 24.17, 17.96, 17.96, 25.93, 13.51, 18.06, 20.49, 14.31, 13.95, 19.08, 17.83, 19.23, 18.37, 33.33, 21.18, 24.27, 24.05, 18.88, 15.4, 16.99, 19.0, 18.52, 17.88, 12.52, 20.28, 20.28, 17.31, 15.72, 20.74, 18.3, 16.94, 23.84, 20.98, 25.69, 18.17, 15.63, 23.01, 15.64, 25.38, 18.09, 16.61, 16.61, 10.6, 21.42, 21.82, 19.1, 27.76, 16.68, 20.39, 20.39, 21.07, 20.79, 18.13, 15.09, 25.11, 18.95, 20.31, 20.31, 18.33, 21.18, 20.06, 19.61, 24.52, 21.0, 23.66, 29.02, 20.49, 19.78, 19.68, 13.27, 21.37, 16.61, 16.61, 22.46, 21.14, 23.83, 24.82, 21.42, 15.43, 21.14, 23.92, 19.99, 19.23]"
7,CDK7,ENSG00000134058.11,Lung,50-59,female,"[17.62, 21.26, 22.88, 19.06, 18.53, 23.37, 23.81, 26.83, 18.45, 31.72, 22.88, 24.02, 22.41, 19.91, 17.85, 21.27, 17.21, 23.57, 19.49, 19.49, 15.27, 31.84, 13.74, 11.65, 20.04, 25.94, 24.9, 19.99, 36.21, 19.17, 14.09, 23.16, 24.79, 27.65, 19.68, 22.11, 24.89, 32.88, 15.71, 11.75, 21.09, 20.01, 22.41, 15.89, 13.83, 19.43, 10.04, 10.35, 23.68, 20.11, 14.36, 14.66, 21.75, 17.21, 24.5, 15.72, 19.49, 19.49, 24.56, 28.88, 25.94, 19.91, 20.28, 20.28, 24.14, 27.41, 13.58, 21.86]"
8,CDK7,ENSG00000134058.11,Lung,60-69,male,"[21.17, 13.42, 26.16, 11.86, 9.665, 13.66, 13.78, 13.94, 13.94, 17.86, 19.48, 20.17, 18.21, 26.09, 16.68, 16.68, 19.06, 24.98, 9.106, 14.21, 15.79, 22.73, 9.603, 21.57, 19.09, 23.31, 20.15, 23.11, 18.59, 17.17, 17.17, 17.72, 18.64, 22.64, 22.64, 15.8, 15.8, 17.06, 25.34, 13.58, 19.49, 16.23, 20.79, 16.68, 16.68, 21.85, 25.34, 21.93, 23.31, 11.68, 14.36, 14.36, 25.3, 30.01, 22.46, 20.04, 22.1, 28.11, 27.59, 21.76, 21.76, 21.14, 12.1, 12.99, 10.63, 21.04, 27.03, 23.97, 21.36, 14.0, 25.89, 14.36, 14.36, 22.18, 20.04, 12.05, 13.01, 21.72, 19.54, 16.46, 27.25, 14.3, 20.35, 26.49, 21.17, 11.86, 14.93, 15.82, 18.59, 9.77, 19.1, 18.99, 19.02, 14.9, 22.64, 22.64, 18.48, 20.09, 24.74, 22.86, 13.27, 18.02, 17.82, 26.1, 21.02, 14.98, 12.84, 12.81, 21.78, 13.84, 28.67, 16.93, 17.2, 17.2, 27.53, 24.7, 20.49, 19.5, 12.91, 11.68, 16.65, 21.54, 21.54, 21.18, 14.78, 13.88, 22.19, 14.51, 21.69, 23.58, 20.26, 17.35, 20.9, 15.72, 17.2, 17.2, 17.49, 20.17, 16.06, 17.75, 20.86, 19.1, 16.68, 16.68, 22.85, 20.79, 21.18, 23.86, 23.07, 23.07, 15.73, 20.49, 21.46, 13.27, 12.14, 22.46, 14.13, 21.14, 16.64, 22.64, 22.64, 21.14, 19.99]"
9,CDK7,ENSG00000134058.11,Lung,60-69,female,"[23.29, 15.98, 23.78, 15.44, 10.32, 8.908, 22.1, 27.26, 16.02, 25.41, 25.9, 19.06, 22.83, 21.34, 19.81, 15.8, 15.8, 14.68, 18.16, 16.93, 13.96, 23.02, 26.44, 34.97, 22.41, 23.79, 22.64, 22.64, 19.91, 19.81, 26.03, 31.97, 17.21, 19.49, 15.46, 20.04, 25.94, 26.25, 9.824, 22.73, 19.99, 11.72, 20.34, 16.03, 24.29, 26.84, 16.76, 15.52, 26.12, 25.05, 25.01, 15.58, 26.31, 17.17, 17.17, 17.68, 17.0, 22.41, 15.73, 23.02, 23.07, 23.07, 13.94, 13.94, 15.99, 21.54, 21.54, 10.16, 14.36, 14.36, 17.21, 17.7, 17.7, 15.72, 20.52, 16.86, 11.24, 20.46, 19.49, 13.81, 25.94, 19.91, 21.54, 21.54, 27.73, 25.62, 19.41, 17.7, 17.7, 21.76, 21.76, 13.58]"
