,gene,gencodeId,tissue,age,gender,TPMs
0,CDKN1A,ENSG00000124762.13,Lung,20-29,male,"[115.3, 168.9, 98.42, 149.8, 277.3, 168.3, 158.3, 97.77, 137.2, 235.8, 158.3, 93.42, 72.09, 141.3, 134.5, 166.3, 234.0, 258.1, 437.4, 364.9, 103.5, 124.5, 118.4, 137.2, 187.0, 187.0, 169.2]"
1,CDKN1A,ENSG00000124762.13,Lung,20-29,female,"[115.3, 120.0, 122.6, 158.3, 95.58, 166.3, 587.1, 180.9, 67.25, 93.98, 149.8, 80.24, 59.06, 118.4, 115.3, 137.2, 134.5, 258.1, 180.9]"
2,CDKN1A,ENSG00000124762.13,Lung,30-39,male,"[135.3, 133.9, 115.3, 84.53, 102.4, 426.8, 80.36, 193.4, 133.5, 163.2, 147.2, 191.3, 139.3, 199.2, 99.83, 100.3, 1277.0, 130.3, 191.3, 208.0, 123.0, 110.7, 661.2, 265.3, 112.1, 396.2, 61.33, 260.1, 123.0, 81.75, 332.2, 208.0, 60.01, 118.4, 424.8, 266.0, 70.4]"
3,CDKN1A,ENSG00000124762.13,Lung,30-39,female,"[115.3, 91.02, 191.3, 88.36, 266.0, 349.6, 180.9, 199.2, 63.77, 424.8, 118.4, 115.3, 91.27, 180.9]"
4,CDKN1A,ENSG00000124762.13,Lung,40-49,male,"[115.3, 524.7, 1010.0, 286.6, 131.2, 252.9, 144.1, 321.3, 497.4, 247.2, 438.5, 377.6, 282.1, 77.15, 94.82, 412.9, 229.9, 308.1, 191.3, 214.9, 404.5, 275.8, 191.9, 270.8, 286.6, 398.8, 209.3, 62.7, 198.7, 201.6, 137.2, 191.3, 228.1, 236.7, 165.1, 220.9, 127.3, 197.9, 210.9, 150.3, 274.0, 119.7, 166.3, 96.08, 101.5, 357.0, 240.9, 147.9, 142.9, 301.8, 85.62, 97.26, 335.0, 137.2, 120.2, 120.2, 123.3, 183.7, 91.39, 107.1, 154.2, 124.4, 210.8, 90.58, 204.5, 593.2]"
5,CDKN1A,ENSG00000124762.13,Lung,40-49,female,"[115.3, 109.8, 126.7, 149.3, 165.1, 632.3, 191.3, 381.2, 222.1, 185.4, 109.8, 166.3, 137.6, 166.5, 120.2, 120.2, 689.3, 111.1, 137.3, 147.4, 119.3, 307.6, 149.7, 293.7, 115.3, 137.2, 77.58, 376.8, 85.59, 83.84, 564.5, 85.68, 361.8, 319.9, 126.6, 1021.0, 441.0, 150.1, 130.5]"
6,CDKN1A,ENSG00000124762.13,Lung,50-59,male,"[302.8, 192.4, 383.3, 127.5, 214.8, 237.0, 96.62, 204.2, 204.2, 248.6, 409.5, 821.6, 256.6, 157.6, 286.6, 127.8, 111.7, 118.8, 118.8, 118.8, 716.1, 132.5, 338.4, 170.3, 535.4, 147.6, 142.8, 101.7, 176.2, 418.0, 223.5, 275.6, 566.8, 264.3, 192.4, 589.2, 325.2, 114.8, 159.5, 307.2, 118.8, 118.8, 118.8, 525.4, 131.7, 230.2, 548.5, 99.38, 199.6, 223.0, 117.0, 161.4, 172.9, 182.0, 95.99, 160.3, 160.3, 147.6, 479.7, 146.8, 402.6, 95.11, 553.0, 199.2, 248.5, 166.0, 160.3, 160.3, 126.5, 325.2, 905.1, 357.1, 131.8, 535.7, 271.9, 185.7, 286.6, 236.3, 155.6, 305.1, 311.7, 143.3, 125.6, 193.0, 456.0, 396.4, 155.0, 137.2, 336.8, 208.0, 123.0, 147.3, 339.2, 214.1, 214.1, 211.1, 314.1, 115.0, 455.6, 134.7, 412.4, 165.1, 381.5, 1227.0, 669.0, 116.5, 271.3, 308.4, 189.6, 304.4, 99.26, 369.0, 309.7, 359.2, 132.4, 113.6, 317.4, 317.4, 90.75, 183.0, 204.2, 204.2, 219.7, 192.3, 113.0, 163.4, 498.7, 380.7, 208.5, 186.9, 635.1, 305.3, 123.0, 72.76, 317.4, 317.4, 355.7, 170.6, 562.6, 100.6, 208.0, 306.5, 130.2, 195.7, 194.3, 378.4, 424.8, 137.2, 78.17, 212.6, 154.8, 297.1, 140.8, 274.3, 165.2, 134.7, 147.7, 97.73, 243.3, 136.4, 74.4, 113.2, 196.1, 195.8, 118.8, 118.8, 118.8, 92.93, 251.6]"
7,CDKN1A,ENSG00000124762.13,Lung,50-59,female,"[87.55, 257.4, 83.26, 351.0, 236.8, 236.8, 165.1, 128.4, 322.3, 98.56, 246.0, 78.44, 143.1, 118.8, 118.8, 118.8, 247.7, 438.1, 95.77, 392.9, 199.2, 202.8, 658.8, 340.7, 106.8, 271.4, 85.57, 236.8, 236.8, 113.4, 389.1, 119.9, 156.7, 175.1, 109.2, 243.5, 336.8, 131.5, 104.9, 1096.0, 249.7, 466.0, 424.8, 129.0, 294.1, 214.1, 214.1, 1920.0, 137.2, 1202.0, 274.8, 588.3, 177.9, 424.4, 110.8, 263.4, 72.02, 320.8, 109.2, 113.3, 66.44, 215.1, 160.3, 160.3, 338.4, 131.4, 100.5]"
8,CDKN1A,ENSG00000124762.13,Lung,60-69,male,"[285.6, 812.6, 192.4, 347.2, 899.6, 468.2, 272.3, 588.9, 525.7, 119.1, 207.8, 139.1, 180.3, 105.9, 659.5, 153.7, 600.6, 405.7, 338.4, 140.5, 606.4, 575.9, 838.3, 147.6, 393.4, 119.8, 161.2, 183.9, 293.8, 345.3, 192.4, 240.2, 325.2, 149.8, 733.9, 253.5, 253.5, 107.7, 373.8, 367.3, 315.6, 151.3, 500.4, 114.4, 150.8, 114.0, 125.4, 286.4, 155.3, 150.9, 359.7, 964.4, 249.0, 160.3, 147.6, 169.3, 279.4, 158.3, 158.3, 191.3, 528.7, 96.83, 307.7, 115.9, 749.0, 467.1, 663.2, 138.7, 497.0, 253.5, 253.5, 837.5, 160.3, 276.9, 325.2, 322.0, 668.6, 480.2, 339.3, 799.7, 199.1, 415.3, 217.4, 166.1, 152.4, 160.1, 529.0, 352.6, 217.8, 262.6, 343.7, 215.5, 374.4, 371.1, 235.2, 191.3, 177.4, 127.7, 224.1, 134.7, 194.7, 394.8, 158.3, 158.3, 364.0, 481.1, 302.9, 415.4, 617.0, 391.4, 326.2, 55.69, 133.0, 134.5, 198.9, 147.5, 258.1, 146.5, 503.6, 259.2, 491.5, 158.9, 90.7, 234.4, 218.6, 143.6, 187.0, 134.7, 187.0, 266.0, 166.4, 934.5, 98.57, 256.5, 601.0, 162.6, 224.2]"
9,CDKN1A,ENSG00000124762.13,Lung,60-69,female,"[79.11, 491.8, 109.1, 344.0, 1044.0, 201.3, 109.8, 184.4, 803.7, 227.6, 99.74, 82.28, 179.3, 191.3, 371.5, 594.9, 314.7, 255.2, 354.2, 158.3, 158.3, 200.7, 312.3, 373.5, 59.79, 109.8, 123.9, 266.0, 388.9, 169.0, 156.4, 184.8, 87.58, 785.5, 166.7, 640.9, 937.0, 258.8, 158.2, 153.6, 109.2, 119.5, 811.6, 90.53, 198.6, 294.7, 475.8, 139.0, 248.7, 183.6, 149.8, 534.8, 381.6, 218.4, 358.3, 113.5, 134.5, 173.0, 359.0, 228.9, 216.2, 328.0, 536.4, 136.3, 217.0, 109.2, 193.9, 258.1, 160.3, 94.32, 338.4, 334.5, 1072.0, 137.0, 616.3]"
