,gene,gencodeId,tissue,age,gender,TPMs
0,CEBPA,ENSG00000245848.2,Liver,20-29,male,"[24.68, 144.8, 20.45, 42.42, 175.5]"
1,CEBPA,ENSG00000245848.2,Liver,20-29,female,"[104.6, 144.8, 34.44]"
2,CEBPA,ENSG00000245848.2,Liver,30-39,male,"[94.21, 379.7, 97.1, 74.94, 53.22, 74.94, 190.6, 322.1, 28.36, 186.3, 6.867, 316.5, 97.43, 172.0, 170.8]"
3,CEBPA,ENSG00000245848.2,Liver,30-39,female,"[77.25, 113.4, 42.87]"
4,CEBPA,ENSG00000245848.2,Liver,40-49,male,"[28.5, 178.2, 178.3, 154.0, 73.6, 26.86, 17.19, 61.15, 84.52, 178.3, 119.8, 139.6, 30.5, 111.8, 93.74, 26.21, 94.87, 10.12, 101.2, 259.3, 38.02, 62.05, 27.99, 33.22, 26.54, 23.38]"
5,CEBPA,ENSG00000245848.2,Liver,40-49,female,"[122.5, 121.6, 81.35, 51.42, 29.8, 91.6, 110.2, 54.43, 67.17, 101.2, 23.01]"
6,CEBPA,ENSG00000245848.2,Liver,50-59,male,"[61.55, 168.7, 144.8, 60.69, 143.9, 25.17, 60.86, 74.94, 16.43, 142.9, 72.74, 73.93, 44.78, 178.3, 118.8, 277.6, 105.0, 55.47, 52.32, 94.86, 55.34, 48.13, 42.07, 56.72, 28.64, 199.0, 74.94, 61.21, 86.71, 120.2, 53.68, 178.3, 46.5, 105.5, 70.41, 62.74, 11.37, 111.1, 9.84, 111.6, 10.29, 135.2, 61.97, 12.94, 67.96, 34.19, 39.63, 5.682, 174.9, 182.6, 44.82, 40.46, 123.6, 129.1, 101.2, 56.95, 87.86, 27.5, 158.8, 78.26, 76.28, 21.39]"
7,CEBPA,ENSG00000245848.2,Liver,50-59,female,"[43.2, 106.0, 31.36, 135.0, 177.3, 69.2, 72.34, 175.0, 62.83, 39.46, 28.73, 136.8, 52.23, 43.58, 60.55, 32.73, 144.8, 176.3, 123.9, 100.9, 74.0, 101.2, 82.12, 62.66, 43.69]"
8,CEBPA,ENSG00000245848.2,Liver,60-69,male,"[134.4, 106.8, 119.0, 29.68, 251.7, 131.5, 32.27, 89.25, 38.39, 84.28, 141.1, 135.5, 125.1, 180.8, 67.94, 231.1, 50.3, 46.41, 145.6, 113.9, 78.16, 22.43, 37.98, 235.4, 62.36, 63.57, 31.93, 27.11, 64.37, 141.5, 141.5, 88.18, 69.33, 98.87, 129.8, 65.99, 10.89, 135.9, 49.57, 141.8, 170.1, 78.64, 32.17, 21.47, 93.12, 283.4, 125.2, 29.93, 118.1, 71.87, 30.75, 58.92, 107.5, 47.16, 51.54, 46.4, 146.0]"
9,CEBPA,ENSG00000245848.2,Liver,60-69,female,"[57.24, 113.0, 41.65, 109.9, 43.12, 60.59, 4.123, 23.72, 68.86, 24.3, 97.91, 28.35, 146.7, 73.54, 60.68, 31.88, 55.44, 19.57, 76.97, 141.5, 141.5, 24.14, 176.7, 35.88]"
10,CEBPA,ENSG00000245848.2,Liver,70-79,male,"[92.62, 81.55, 255.3]"
11,CEBPA,ENSG00000245848.2,Liver,70-79,female,"[275.6, 72.28]"
