,gene,gencodeId,tissue,age,gender,TPMs
0,CEBPB,ENSG00000172216.5,Artery_Coronary,20-29,male,"[182.1, 83.59, 394.1, 132.4, 72.57, 197.7, 309.2, 155.1]"
1,CEBPB,ENSG00000172216.5,Artery_Coronary,20-29,female,"[98.02, 54.49, 176.3, 103.7, 138.0, 91.86, 182.1]"
2,CEBPB,ENSG00000172216.5,Artery_Coronary,30-39,male,"[210.0, 120.2, 201.9, 175.6, 48.55, 128.4, 103.8]"
3,CEBPB,ENSG00000172216.5,Artery_Coronary,30-39,female,"[322.5, 236.5, 123.0, 148.8, 101.0]"
4,CEBPB,ENSG00000172216.5,Artery_Coronary,40-49,male,"[219.6, 197.4, 85.21, 185.3, 270.0, 325.2, 206.8, 369.6, 177.5, 262.4, 242.6, 119.6, 225.8, 58.12, 228.1, 186.5, 206.7, 71.86, 108.7]"
5,CEBPB,ENSG00000172216.5,Artery_Coronary,40-49,female,"[200.1, 185.3, 184.5, 38.65, 145.3, 128.3, 80.36, 313.1, 327.4, 230.0, 195.2, 230.4, 194.0, 242.0, 243.2, 130.9, 80.91, 102.9, 156.9]"
6,CEBPB,ENSG00000172216.5,Artery_Coronary,50-59,male,"[270.8, 90.96, 166.6, 195.0, 183.3, 200.4, 200.7, 218.8, 62.62, 120.3, 128.9, 173.4, 187.2, 72.42, 485.5, 151.4, 85.74, 202.8, 256.1, 126.3, 218.7, 268.9, 170.8, 242.5, 92.09, 107.9, 266.2, 140.6, 140.6, 104.3, 217.4, 238.2, 139.1, 123.2, 74.86, 195.0, 131.0, 202.0, 134.8, 160.0, 144.3, 377.1, 141.2, 250.6, 217.9, 87.03, 140.6, 140.6, 378.4, 201.2, 91.72, 175.4, 130.1, 81.46, 88.6, 177.3, 243.8, 252.7, 312.5, 227.1, 155.0, 141.9, 38.85, 252.0, 198.4, 220.3, 148.3, 75.8]"
7,CEBPB,ENSG00000172216.5,Artery_Coronary,50-59,female,"[232.8, 198.7, 204.3, 195.5, 167.2, 88.91, 166.7, 246.2, 253.6, 199.7, 229.5, 176.2, 354.8, 189.1, 107.5, 166.0, 198.5, 184.6, 225.4, 88.52, 105.4, 158.9, 197.6, 74.22, 183.5, 201.0, 102.2, 142.0, 156.3, 210.7]"
8,CEBPB,ENSG00000172216.5,Artery_Coronary,60-69,male,"[185.1, 109.5, 342.7, 274.2, 182.1, 195.0, 257.7, 277.6, 166.8, 250.8, 357.6, 399.5, 319.9, 426.7, 115.3, 112.2, 173.6, 185.3, 172.2, 121.9, 149.7, 68.16, 256.8, 219.4, 171.4, 128.1, 118.4, 237.9, 141.7, 115.6, 118.5, 153.6, 196.3, 195.0, 129.1, 261.5, 196.7, 227.6, 435.0, 143.2, 95.39, 264.3, 204.5, 258.6, 210.8]"
9,CEBPB,ENSG00000172216.5,Artery_Coronary,60-69,female,"[166.4, 108.1, 180.4, 119.3, 120.8, 206.4, 185.3, 230.9, 216.0, 117.5, 185.8, 301.8, 383.9, 194.9, 183.8, 307.6, 218.5, 130.0, 280.1, 265.7, 235.8, 210.9, 149.4, 363.7, 190.5, 309.6, 228.3, 116.5, 161.2, 211.2, 221.2, 138.1, 182.1, 102.7]"
10,CEBPB,ENSG00000172216.5,Artery_Coronary,70-79,male,"[77.89, 222.1, 235.0, 169.7, 177.9]"
11,CEBPB,ENSG00000172216.5,Artery_Coronary,70-79,female,[152.4]
