,gene,gencodeId,tissue,age,gender,TPMs
0,CEBPB,ENSG00000172216.5,Kidney_Cortex,20-29,male,[28.69]
1,CEBPB,ENSG00000172216.5,Kidney_Cortex,20-29,female,[]
2,CEBPB,ENSG00000172216.5,Kidney_Cortex,30-39,male,"[77.55, 54.69, 11.06, 46.81, 12.37, 14.55]"
3,CEBPB,ENSG00000172216.5,Kidney_Cortex,30-39,female,"[176.2, 32.65]"
4,CEBPB,ENSG00000172216.5,Kidney_Cortex,40-49,male,"[14.06, 34.27, 18.31, 25.05, 47.45, 134.0]"
5,CEBPB,ENSG00000172216.5,Kidney_Cortex,40-49,female,"[45.61, 33.67]"
6,CEBPB,ENSG00000172216.5,Kidney_Cortex,50-59,male,"[28.96, 21.76, 13.22, 32.42, 17.37, 138.0, 9.703, 64.53, 33.68, 65.65, 107.7, 10.37, 29.58, 50.99, 22.26, 44.51, 41.78, 48.77, 46.47, 49.1, 10.1, 57.92, 125.2]"
7,CEBPB,ENSG00000172216.5,Kidney_Cortex,50-59,female,"[36.9, 19.14, 42.76, 21.7, 19.9, 66.75]"
8,CEBPB,ENSG00000172216.5,Kidney_Cortex,60-69,male,"[60.7, 7.568, 54.19, 51.97, 155.6, 58.55, 32.97, 12.11, 59.06, 42.04, 15.27, 21.33, 47.76, 29.39, 13.85, 112.0, 36.45, 68.06, 164.3, 34.28, 16.9, 47.62, 9.12, 17.62, 14.72, 60.45]"
9,CEBPB,ENSG00000172216.5,Kidney_Cortex,60-69,female,"[185.9, 75.84, 9.613, 44.6, 167.7, 177.8, 27.65, 24.67, 56.11]"
10,CEBPB,ENSG00000172216.5,Kidney_Cortex,70-79,male,"[29.24, 18.36, 39.83, 145.5]"
11,CEBPB,ENSG00000172216.5,Kidney_Cortex,70-79,female,[]
