,gene,gencodeId,tissue,age,gender,TPMs
0,CETP,ENSG00000087237.10,Kidney_Cortex,20-29,male,[1.213]
1,CETP,ENSG00000087237.10,Kidney_Cortex,20-29,female,[]
2,CETP,ENSG00000087237.10,Kidney_Cortex,30-39,male,"[5.917, 6.237, 6.283, 8.896, 2.826, 3.26]"
3,CETP,ENSG00000087237.10,Kidney_Cortex,30-39,female,"[5.95, 6.924]"
4,CETP,ENSG00000087237.10,Kidney_Cortex,40-49,male,"[2.858, 0.9963, 1.521, 4.217, 0.9131, 4.137]"
5,CETP,ENSG00000087237.10,Kidney_Cortex,40-49,female,"[5.252, 3.0]"
6,CETP,ENSG00000087237.10,Kidney_Cortex,50-59,male,"[9.123, 2.974, 2.476, 2.621, 1.734, 2.359, 1.199, 2.13, 2.768, 3.308, 3.27, 2.152, 2.192, 1.838, 4.871, 3.634, 1.951, 6.021, 1.164, 2.526, 1.684, 1.324, 1.018]"
7,CETP,ENSG00000087237.10,Kidney_Cortex,50-59,female,"[3.218, 1.605, 6.823, 2.798, 5.938, 2.153]"
8,CETP,ENSG00000087237.10,Kidney_Cortex,60-69,male,"[5.559, 3.186, 0.6471, 1.918, 3.437, 6.011, 3.398, 6.438, 3.923, 2.628, 2.536, 1.959, 1.876, 2.579, 4.611, 4.995, 0.5209, 1.486, 0.9681, 2.281, 6.046, 1.804, 0.4006, 2.318, 3.535, 3.535, 1.285]"
9,CETP,ENSG00000087237.10,Kidney_Cortex,60-69,female,"[4.285, 3.155, 3.535, 3.535, 1.34, 1.479, 4.093, 1.993, 1.197, 0.7366]"
10,CETP,ENSG00000087237.10,Kidney_Cortex,70-79,male,"[1.561, 5.228, 2.745, 1.984]"
11,CETP,ENSG00000087237.10,Kidney_Cortex,70-79,female,[]
