,gene,gencodeId,tissue,age,gender,TPMs
0,CETP,ENSG00000087237.10,Liver,20-29,male,"[2.867, 2.733, 7.343, 6.403]"
1,CETP,ENSG00000087237.10,Liver,20-29,female,"[5.484, 16.43, 4.253]"
2,CETP,ENSG00000087237.10,Liver,30-39,male,"[1.548, 3.808, 0.42, 6.952, 21.55, 0.8956, 1.549, 1.647, 18.78, 6.686, 1.467, 0.7255, 2.319, 3.902, 3.808]"
3,CETP,ENSG00000087237.10,Liver,30-39,female,"[0.3559, 6.886, 2.424]"
4,CETP,ENSG00000087237.10,Liver,40-49,male,"[0.8208, 1.183, 5.26, 27.8, 0.5989, 1.85, 75.34, 2.568, 2.151, 25.35, 0.9453, 5.341, 0.7951, 1.135, 5.087, 9.405, 7.841, 0.842, 8.547, 2.226, 5.435, 2.595, 1.762, 16.23]"
5,CETP,ENSG00000087237.10,Liver,40-49,female,"[1.741, 0.3934, 37.54, 18.09, 0.7932, 3.747, 5.936, 3.529, 5.341, 25.55, 1.185, 0.4816, 1.185]"
6,CETP,ENSG00000087237.10,Liver,50-59,male,"[26.75, 1.478, 0.2798, 1.005, 2.145, 12.95, 5.002, 4.122, 3.178, 1.592, 4.026, 5.52, 1.933, 0.7614, 2.378, 1.879, 1.475, 0.5957, 0.6797, 1.512, 5.555, 8.208, 0.605, 3.283, 16.84, 1.485, 2.036, 1.123, 1.015, 6.789, 2.083, 1.305, 6.629, 2.642, 5.108, 1.897, 12.94, 1.975, 3.723, 4.049, 2.48, 5.341, 14.61, 2.346, 2.451, 7.435, 2.095, 2.031, 1.821, 11.59, 1.825, 1.414, 2.934, 3.119, 1.1, 1.005, 1.977, 3.498, 0.5807, 17.51, 3.216, 3.833]"
7,CETP,ENSG00000087237.10,Liver,50-59,female,"[0.6097, 9.268, 3.678, 4.24, 3.116, 2.069, 1.035, 6.72, 6.911, 0.4106, 6.725, 0.6913, 7.398, 4.488, 0.8739, 0.3295, 5.341, 2.838, 2.314, 2.406, 1.185, 25.37, 1.185, 1.916]"
8,CETP,ENSG00000087237.10,Liver,60-69,male,"[0.7833, 3.808, 1.728, 2.96, 8.056, 8.124, 2.604, 1.005, 2.681, 0.5439, 2.429, 1.381, 1.06, 1.289, 0.2898, 0.93, 1.726, 0.5717, 0.6972, 1.795, 1.158, 5.188, 0.9957, 8.278, 2.349, 6.137, 6.814, 7.761, 1.007, 9.139, 6.584, 24.31, 1.127, 0.4341, 1.642, 1.777, 3.483, 1.066, 11.9, 2.757, 2.347, 0.957, 10.37, 1.62, 1.331, 1.537, 1.27, 0.9068, 5.197, 13.73, 0.8305, 2.166, 1.219, 2.348, 4.943, 1.005, 1.588, 3.808]"
9,CETP,ENSG00000087237.10,Liver,60-69,female,"[3.632, 1.154, 0.9441, 13.57, 0.9818, 3.791, 0.3336, 3.526, 1.583, 5.707, 4.783, 1.715, 5.044, 17.14, 2.284, 1.486, 0.6959, 0.5979, 0.3252, 1.681, 7.585, 1.468, 3.18]"
10,CETP,ENSG00000087237.10,Liver,70-79,male,"[4.064, 1.685, 3.438]"
11,CETP,ENSG00000087237.10,Liver,70-79,female,"[1.561, 5.898]"
