,gene,gencodeId,tissue,age,gender,TPMs
0,CISD2,ENSG00000145354.9,Spleen,20-29,male,"[16.93, 16.03, 11.76, 15.96, 12.23, 10.07, 14.48, 16.93, 14.5, 21.53, 17.61, 16.89, 16.06, 10.62, 12.11, 12.11]"
1,CISD2,ENSG00000145354.9,Spleen,20-29,female,"[20.84, 20.6, 14.26, 18.09, 14.26, 18.09, 15.7, 18.02, 12.11, 10.34, 13.63]"
2,CISD2,ENSG00000145354.9,Spleen,30-39,male,"[21.72, 13.48, 15.86, 12.02, 13.2, 15.99, 25.92, 14.27, 14.6, 15.4, 24.98, 15.01, 13.56, 11.41, 12.08, 8.627, 13.76, 15.36, 15.56, 11.43, 10.63, 15.4]"
3,CISD2,ENSG00000145354.9,Spleen,30-39,female,"[19.82, 15.4, 22.87, 15.77, 15.29, 12.9, 15.54, 12.44, 13.27, 17.34]"
4,CISD2,ENSG00000145354.9,Spleen,40-49,male,"[20.33, 20.13, 39.27, 14.25, 13.5, 14.84, 17.49, 15.4, 10.69, 17.08, 20.4, 12.34, 10.36, 13.42, 13.98, 21.26, 11.54, 17.4, 14.34, 13.42, 15.4, 18.87, 14.88, 15.23, 13.38, 16.0, 13.19, 12.89, 16.26, 16.39, 16.65, 14.05, 17.76, 20.53]"
5,CISD2,ENSG00000145354.9,Spleen,40-49,female,"[14.78, 15.4, 10.23, 9.445, 18.38, 13.42, 13.44, 14.26, 17.89, 12.61, 15.09, 16.0, 14.26, 19.09, 16.19, 21.21, 18.7, 22.82, 17.4, 14.15, 13.32, 18.05]"
6,CISD2,ENSG00000145354.9,Spleen,50-59,male,"[18.99, 12.01, 12.01, 16.93, 12.2, 16.88, 20.91, 22.94, 17.56, 16.27, 16.51, 13.41, 14.9, 14.33, 18.11, 15.69, 12.87, 11.39, 11.39, 15.4, 13.0, 14.4, 12.86, 14.76, 12.37, 24.33, 21.59, 17.1, 13.77, 12.01, 12.01, 14.07, 10.56, 18.16, 19.07, 16.59, 13.42, 14.9, 18.03, 18.03, 18.03, 16.93, 19.95, 15.51, 19.46, 18.91, 17.97, 12.11, 12.11, 13.42, 22.74, 19.32, 15.4, 17.2, 14.83, 12.85, 16.0, 15.14, 12.11, 12.11, 16.2, 18.03, 18.03, 18.03, 15.42, 16.61, 18.5, 8.09, 17.78, 16.05, 22.04, 11.39, 11.39, 18.33]"
7,CISD2,ENSG00000145354.9,Spleen,50-59,female,"[16.59, 15.4, 13.41, 21.34, 12.59, 17.82, 16.64, 13.67, 13.42, 11.73, 18.09, 18.53, 19.27, 16.0, 19.37, 17.7, 16.69, 18.03, 18.03, 18.03, 12.99, 20.92, 18.09, 20.41, 12.11, 12.11, 15.2, 17.95, 18.42, 12.39, 13.07, 9.586, 16.75, 13.55, 12.82, 14.28]"
8,CISD2,ENSG00000145354.9,Spleen,60-69,male,"[13.62, 12.5, 23.41, 20.38, 13.41, 14.9, 26.38, 22.23, 15.3, 15.3, 16.4, 10.71, 8.329, 20.69, 16.18, 15.15, 16.59, 8.613, 21.64, 10.73, 17.87, 13.42, 12.29, 14.9, 21.08, 9.232, 17.4, 15.27, 12.18, 27.53, 13.42, 15.3, 15.3, 17.6, 20.46]"
9,CISD2,ENSG00000145354.9,Spleen,60-69,female,"[17.04, 16.59, 15.17, 12.42, 13.41, 16.07, 17.24, 15.45, 13.45, 15.46, 13.42, 23.3, 13.39, 15.73, 10.32, 16.92, 17.13, 14.59, 17.4, 13.53, 17.38, 15.32, 14.92]"
10,CISD2,ENSG00000145354.9,Spleen,70-79,male,"[16.66, 12.66, 8.93]"
11,CISD2,ENSG00000145354.9,Spleen,70-79,female,[15.28]
