,gene,gencodeId,tissue,age,gender,TPMs
0,CLOCK,ENSG00000134852.14,Artery_Coronary,20-29,male,"[11.84, 9.361, 11.84, 10.13, 9.942, 13.66, 9.023, 8.246, 14.21, 14.21, 8.018]"
1,CLOCK,ENSG00000134852.14,Artery_Coronary,20-29,female,"[8.967, 7.033, 14.21, 14.21, 10.13, 11.11, 11.11, 7.998]"
2,CLOCK,ENSG00000134852.14,Artery_Coronary,30-39,male,"[11.84, 7.708, 11.84, 10.94, 10.94, 10.94, 10.94, 12.25, 11.09, 10.12, 10.12]"
3,CLOCK,ENSG00000134852.14,Artery_Coronary,30-39,female,"[7.095, 8.822, 11.11, 10.3, 11.11, 12.25, 10.12, 10.12]"
4,CLOCK,ENSG00000134852.14,Artery_Coronary,40-49,male,"[7.926, 8.551, 13.84, 10.31, 6.918, 13.28, 11.3, 11.71, 8.717, 13.28, 11.43, 7.385, 10.07, 10.01, 9.864, 11.76, 8.05, 7.127, 8.797, 10.07, 5.744, 8.728, 6.524]"
5,CLOCK,ENSG00000134852.14,Artery_Coronary,40-49,female,"[8.998, 9.557, 6.854, 10.16, 10.44, 8.955, 10.01, 13.84, 13.85, 10.8, 8.808, 12.84, 13.23, 8.693, 11.17, 8.717, 7.344, 8.06, 14.06]"
6,CLOCK,ENSG00000134852.14,Artery_Coronary,50-59,male,"[8.685, 10.58, 11.19, 11.19, 8.348, 10.56, 13.36, 7.685, 9.193, 9.422, 9.884, 10.13, 9.024, 4.491, 8.159, 10.56, 10.86, 14.03, 6.811, 10.22, 11.41, 15.59, 9.38, 9.004, 8.938, 10.67, 6.392, 10.47, 10.34, 13.28, 8.566, 14.11, 11.88, 16.54, 12.9, 13.51, 8.034, 8.717, 13.28, 12.38, 8.989, 16.2, 11.26, 8.893, 13.88, 10.19, 10.19, 10.07, 9.569, 8.706, 12.61, 10.01, 8.872, 6.905, 11.68, 11.14, 9.033, 11.19, 11.19, 10.92, 8.27, 9.488, 7.794, 11.52, 7.217, 10.07, 4.627, 10.88, 9.575, 11.87, 4.924, 7.868]"
7,CLOCK,ENSG00000134852.14,Artery_Coronary,50-59,female,"[11.28, 7.839, 10.52, 8.7, 7.942, 10.19, 10.19, 10.47, 11.05, 8.18, 10.56, 17.72, 8.729, 15.01, 10.01, 10.93, 13.29, 13.49, 8.642, 9.082, 14.83, 10.13, 18.6, 12.11, 7.209, 12.52, 12.03, 9.355, 11.26, 7.903, 8.803, 8.01, 8.717, 11.06, 8.784, 6.176]"
8,CLOCK,ENSG00000134852.14,Artery_Coronary,60-69,male,"[8.122, 9.715, 6.287, 7.7, 9.447, 10.56, 10.56, 8.102, 9.733, 10.65, 7.522, 8.632, 7.614, 10.66, 10.56, 10.56, 8.972, 13.84, 15.7, 7.361, 11.95, 15.39, 7.809, 10.46, 10.35, 10.35, 8.702, 8.694, 13.58, 13.21, 10.39, 10.47, 12.89, 13.16, 11.44, 11.36, 11.75, 10.91, 8.714, 9.888, 6.318, 5.253, 8.354, 11.26, 6.568, 8.36, 10.83, 12.25, 12.57]"
9,CLOCK,ENSG00000134852.14,Artery_Coronary,60-69,female,"[13.55, 8.627, 13.87, 10.76, 9.822, 11.67, 6.414, 12.13, 11.13, 9.826, 12.98, 9.298, 10.47, 10.81, 9.954, 10.56, 10.56, 10.48, 13.84, 8.776, 10.35, 10.35, 11.4, 12.71, 9.589, 10.11, 15.06, 10.72, 15.28, 8.805, 12.25, 5.553, 11.26, 8.453, 7.353, 6.97, 8.952]"
10,CLOCK,ENSG00000134852.14,Artery_Coronary,70-79,male,"[12.09, 8.39, 6.199, 8.684, 9.232]"
11,CLOCK,ENSG00000134852.14,Artery_Coronary,70-79,female,[13.25]
