,gene,gencodeId,tissue,age,gender,TPMs
0,CLU,ENSG00000120885.21,Kidney_Medulla,20-29,male,"[146.1, 133.3]"
1,CLU,ENSG00000120885.21,Kidney_Medulla,20-29,female,[]
2,CLU,ENSG00000120885.21,Kidney_Medulla,30-39,male,[]
3,CLU,ENSG00000120885.21,Kidney_Medulla,30-39,female,[]
4,CLU,ENSG00000120885.21,Kidney_Medulla,40-49,male,[]
5,CLU,ENSG00000120885.21,Kidney_Medulla,40-49,female,[]
6,CLU,ENSG00000120885.21,Kidney_Medulla,50-59,male,[287.9]
7,CLU,ENSG00000120885.21,Kidney_Medulla,50-59,female,[90.49]
8,CLU,ENSG00000120885.21,Kidney_Medulla,60-69,male,[]
9,CLU,ENSG00000120885.21,Kidney_Medulla,60-69,female,[]
10,CLU,ENSG00000120885.21,Kidney_Medulla,70-79,male,[]
11,CLU,ENSG00000120885.21,Kidney_Medulla,70-79,female,[]
