,gene,gencodeId,tissue,age,gender,TPMs
0,COQ7,ENSG00000167186.10,Brain_Hypothalamus,20-29,male,"[11.88, 8.798, 12.38, 8.087]"
1,COQ7,ENSG00000167186.10,Brain_Hypothalamus,20-29,female,[11.88]
2,COQ7,ENSG00000167186.10,Brain_Hypothalamus,30-39,male,"[11.88, 16.06, 10.74]"
3,COQ7,ENSG00000167186.10,Brain_Hypothalamus,30-39,female,"[11.88, 7.34, 10.01]"
4,COQ7,ENSG00000167186.10,Brain_Hypothalamus,40-49,male,"[10.77, 11.66, 1.659, 8.429, 25.31, 14.63, 15.07, 10.97, 13.83, 8.864, 7.882]"
5,COQ7,ENSG00000167186.10,Brain_Hypothalamus,40-49,female,"[9.613, 10.59, 7.873, 6.228, 8.696]"
6,COQ7,ENSG00000167186.10,Brain_Hypothalamus,50-59,male,"[12.92, 6.499, 10.47, 10.47, 1.648, 4.202, 12.49, 8.578, 8.442, 7.377, 9.302, 11.02, 12.66, 6.295, 13.13, 9.629, 6.029, 5.113, 5.858, 7.489, 4.801, 4.774, 9.687, 7.504, 9.12, 13.82, 4.302, 4.069, 1.546, 7.318, 6.312, 5.932, 5.329, 13.73, 2.749, 5.642, 14.74, 8.794, 6.473, 1.76, 17.38, 10.47, 10.47, 9.338, 4.214, 9.884, 19.0, 10.02]"
7,COQ7,ENSG00000167186.10,Brain_Hypothalamus,50-59,female,"[9.321, 2.476, 6.7, 6.478, 8.235, 6.334, 5.619, 14.25, 9.71, 7.918, 7.838, 3.583, 6.362, 11.02, 7.25, 13.82]"
8,COQ7,ENSG00000167186.10,Brain_Hypothalamus,60-69,male,"[11.26, 5.974, 2.732, 9.387, 5.856, 5.514, 9.115, 8.27, 4.387, 9.098, 3.151, 9.16, 14.62, 5.357, 5.118, 7.329, 3.686, 2.237, 3.167, 10.03, 6.256, 4.345, 1.311, 3.858, 8.882, 11.48, 8.783, 4.565, 9.276, 5.137, 7.595, 3.175, 8.847, 13.82, 8.369, 4.794, 4.587, 10.15, 10.04, 4.541, 11.41, 13.4, 5.253, 3.355, 6.084, 11.18, 4.092, 7.947, 7.225, 10.0, 8.973, 2.292, 4.767, 14.1, 8.525, 2.593, 12.62, 7.251, 5.914, 7.662, 6.56, 4.639, 6.626, 11.56, 12.42, 6.516, 9.788, 3.589, 9.238, 1.856, 18.82, 13.65, 4.307, 7.647, 8.253, 3.579, 4.403]"
9,COQ7,ENSG00000167186.10,Brain_Hypothalamus,60-69,female,"[2.688, 10.17, 6.096, 3.422, 2.402, 7.294, 7.221, 3.145, 13.38, 17.35, 3.483, 4.686, 2.482, 4.337, 5.431, 6.807, 4.96, 5.198, 5.339, 6.855, 9.888, 4.904, 11.21, 9.221, 14.88, 6.603, 13.82, 8.36, 4.409]"
10,COQ7,ENSG00000167186.10,Brain_Hypothalamus,70-79,male,"[4.733, 11.02, 5.908, 8.776, 5.735, 4.918, 8.276, 6.797, 12.74]"
11,COQ7,ENSG00000167186.10,Brain_Hypothalamus,70-79,female,"[6.982, 7.333, 2.967, 11.02]"
