,gene,gencodeId,tissue,age,gender,TPMs
0,COQ7,ENSG00000167186.10,Lung,20-29,male,"[9.263, 10.16, 10.59, 14.25, 6.549, 8.418, 7.92, 12.22, 9.52, 10.16, 10.16, 7.554, 11.58, 9.046, 7.589, 10.59, 8.881, 6.053, 10.07, 8.783, 10.51, 8.015, 12.61, 10.69, 5.467, 10.9]"
1,COQ7,ENSG00000167186.10,Lung,20-29,female,"[9.627, 10.59, 15.72, 9.791, 8.221, 6.698, 14.83, 10.22, 10.22, 13.32, 10.69, 12.22, 13.6, 7.554, 9.571]"
2,COQ7,ENSG00000167186.10,Lung,30-39,male,"[10.21, 11.65, 10.28, 11.22, 7.515, 7.582, 11.13, 11.93, 10.42, 12.06, 10.83, 10.21, 7.417, 13.8, 8.186, 11.55, 8.687, 12.82, 11.55, 11.82, 8.282, 10.28, 8.875, 10.65, 9.866, 11.93, 6.012, 11.49, 4.481, 12.56, 10.17, 10.17, 11.65, 11.93, 9.726, 9.298, 12.21, 10.17, 10.17, 11.13, 7.623, 9.951, 9.359, 14.88]"
3,COQ7,ENSG00000167186.10,Lung,30-39,female,"[9.971, 12.26, 11.82, 11.22, 8.057, 6.282, 10.17, 10.17, 10.83, 10.65, 11.49, 9.622, 13.8, 10.42, 9.726]"
4,COQ7,ENSG00000167186.10,Lung,40-49,male,"[11.36, 11.81, 11.65, 9.638, 11.16, 4.598, 10.87, 13.17, 6.039, 6.197, 8.628, 6.648, 6.578, 9.887, 5.821, 5.366, 12.33, 12.33, 11.47, 11.67, 9.431, 7.498, 5.855, 5.304, 9.158, 10.25, 10.03, 12.22, 5.871, 7.687, 19.99, 7.693, 5.552, 10.95, 15.76, 9.234, 8.537, 7.836, 11.14, 10.03, 9.326, 12.27, 10.87, 10.17, 11.21, 9.084, 6.955, 11.65, 7.725, 9.739, 16.15, 10.47, 13.3, 9.108, 10.88, 10.17, 11.67, 11.14, 11.81, 9.661, 7.868, 10.37, 12.94, 13.9, 10.11, 10.93, 8.59, 9.108, 9.499, 6.443, 10.45, 13.92, 7.705, 10.45]"
5,COQ7,ENSG00000167186.10,Lung,40-49,female,"[11.67, 7.719, 10.13, 5.411, 11.16, 11.86, 8.141, 9.431, 8.745, 10.03, 15.33, 12.12, 10.17, 11.42, 6.525, 11.04, 10.25, 11.42, 9.845, 10.23, 6.194, 6.675, 6.536, 11.48, 12.22, 15.47, 8.461, 9.73, 12.01, 11.9, 11.36, 8.375, 6.376, 10.5, 9.773, 16.05, 6.422, 9.378]"
6,COQ7,ENSG00000167186.10,Lung,50-59,male,"[5.963, 5.792, 13.0, 11.81, 6.43, 9.139, 11.16, 10.16, 5.79, 5.614, 5.792, 5.065, 10.41, 7.979, 9.986, 10.66, 9.31, 5.907, 11.2, 5.812, 7.394, 6.217, 11.93, 11.69, 5.158, 4.672, 14.46, 7.35, 5.93, 6.856, 13.08, 4.607, 10.42, 7.678, 9.21, 20.59, 5.699, 7.955, 10.09, 6.452, 11.73, 12.24, 15.96, 9.665, 12.33, 12.33, 11.67, 10.31, 7.635, 9.431, 8.89, 13.7, 8.038, 7.243, 8.274, 13.56, 7.208, 10.03, 10.03, 11.37, 14.96, 9.149, 11.8, 11.8, 10.79, 5.568, 2.406, 5.361, 9.008, 7.917, 13.16, 11.82, 9.284, 9.284, 4.859, 6.567, 5.47, 7.233, 12.51, 12.43, 9.284, 9.284, 3.916, 10.16, 10.65, 5.173, 10.16, 7.401, 11.93, 13.78, 6.802, 11.43, 8.645, 13.73, 10.03, 10.03, 6.177, 8.271, 9.479, 8.574, 6.693, 6.212, 9.921, 11.49, 6.488, 12.09, 8.668, 14.36, 9.594, 10.89, 11.43, 8.291, 8.184, 10.89, 11.93, 11.39, 11.39, 11.39, 4.967, 9.577, 11.8, 11.8, 5.118, 8.031, 9.33, 11.44, 11.44, 12.54, 16.75, 6.531, 7.005, 8.387, 12.74, 10.97, 8.836, 6.898, 15.25, 6.768, 7.848, 11.67, 15.81, 5.404, 9.18, 8.51, 11.81, 13.54, 9.728, 14.79, 7.234, 9.495, 10.69, 15.18, 14.6, 10.19, 15.92, 7.592, 7.458, 10.39, 7.802, 9.172, 16.53, 6.224, 10.08, 10.75, 8.859, 10.79, 10.45, 8.594, 8.899, 7.4, 10.45, 9.112, 8.897]"
7,COQ7,ENSG00000167186.10,Lung,50-59,female,"[8.966, 6.808, 12.24, 11.67, 5.876, 5.212, 10.77, 7.909, 9.516, 11.16, 9.512, 5.924, 9.431, 10.19, 9.368, 11.82, 10.72, 4.653, 8.556, 10.03, 10.03, 12.09, 6.186, 12.68, 8.205, 11.42, 5.781, 10.58, 12.67, 9.855, 13.42, 8.846, 10.12, 11.42, 10.65, 9.149, 8.38, 10.22, 11.44, 11.44, 11.39, 11.39, 11.39, 7.815, 11.49, 3.133, 15.16, 7.543, 9.218, 10.22, 10.69, 11.8, 11.8, 5.123, 6.369, 9.105, 10.36, 10.42, 10.72, 4.71, 8.62, 6.065, 9.854, 8.933, 8.552, 20.24, 11.05, 8.841, 11.39, 11.39, 11.39, 12.74, 10.92]"
8,COQ7,ENSG00000167186.10,Lung,60-69,male,"[12.58, 10.21, 11.36, 5.792, 5.741, 10.28, 2.856, 4.742, 11.22, 10.16, 6.267, 6.267, 5.64, 5.792, 10.87, 10.59, 10.59, 11.13, 16.48, 10.61, 7.332, 9.382, 7.073, 6.322, 7.74, 12.66, 7.679, 6.335, 6.145, 3.829, 11.93, 9.025, 12.76, 8.548, 7.461, 4.411, 5.923, 8.07, 4.071, 6.57, 10.83, 9.64, 4.431, 5.3, 11.0, 10.21, 9.253, 12.24, 5.445, 12.05, 13.8, 9.863, 11.67, 11.68, 11.55, 9.681, 5.211, 6.811, 8.87, 8.821, 15.48, 7.438, 3.896, 7.819, 11.45, 10.25, 6.912, 6.267, 6.267, 7.273, 11.55, 9.43, 5.209, 9.149, 5.559, 12.38, 11.8, 10.79, 9.448, 4.418, 3.698, 7.51, 11.35, 7.71, 6.466, 6.466, 11.54, 8.728, 10.28, 7.149, 6.151, 10.74, 10.16, 17.06, 15.64, 11.91, 3.435, 5.797, 10.16, 15.14, 9.406, 11.14, 11.93, 11.43, 7.554, 9.231, 10.02, 10.34, 4.876, 7.563, 5.611, 7.45, 10.87, 14.21, 12.09, 6.466, 6.466, 7.011, 10.89, 7.2, 11.43, 11.34, 10.89, 11.93, 10.59, 10.59, 5.575, 9.726, 11.8, 12.74, 15.02, 9.108, 8.167, 11.13, 11.67, 11.06, 10.57, 11.14, 14.0, 10.19, 9.867, 10.86, 9.356, 9.108, 6.106, 10.99, 6.454, 10.79, 6.97, 13.67, 9.523]"
9,COQ7,ENSG00000167186.10,Lung,60-69,female,"[10.55, 5.785, 12.64, 4.842, 6.696, 4.659, 13.15, 8.773, 5.416, 12.24, 11.67, 10.35, 16.43, 6.776, 10.59, 10.59, 10.73, 7.583, 11.7, 3.657, 4.091, 13.57, 9.534, 7.448, 10.19, 15.21, 8.972, 11.22, 9.775, 11.87, 11.7, 13.4, 8.489, 12.09, 7.551, 10.83, 4.043, 10.54, 7.913, 10.25, 7.697, 5.987, 9.149, 14.67, 5.185, 3.159, 14.4, 12.32, 9.213, 9.873, 11.32, 11.4, 6.071, 9.555, 10.32, 9.991, 11.8, 13.8, 12.53, 9.311, 12.31, 4.506, 11.36, 5.302, 9.377, 8.435, 6.205, 6.25, 7.46, 9.726, 14.17, 8.299, 12.17, 7.554, 6.784, 7.659, 8.444, 12.74, 5.214]"
10,COQ7,ENSG00000167186.10,Lung,70-79,male,"[5.878, 3.345, 10.27, 4.709, 5.761, 8.025, 13.03, 5.047, 5.438, 8.479, 12.65, 9.432, 6.2, 9.413, 8.719, 7.998, 8.504, 10.6]"
11,COQ7,ENSG00000167186.10,Lung,70-79,female,"[11.7, 10.72, 11.7, 8.169, 11.75, 10.72]"
