,gene,gencodeId,tissue,age,gender,TPMs
0,CREB1,ENSG00000118260.14,Brain_Anterior_cingulate_cortex_BA24,20-29,male,[3.407]
1,CREB1,ENSG00000118260.14,Brain_Anterior_cingulate_cortex_BA24,20-29,female,"[6.085, 2.956, 9.069]"
2,CREB1,ENSG00000118260.14,Brain_Anterior_cingulate_cortex_BA24,30-39,male,"[4.555, 5.34, 5.734]"
3,CREB1,ENSG00000118260.14,Brain_Anterior_cingulate_cortex_BA24,30-39,female,[8.283]
4,CREB1,ENSG00000118260.14,Brain_Anterior_cingulate_cortex_BA24,40-49,male,"[3.811, 3.255, 1.405, 4.009, 3.826, 5.498, 1.954, 4.864, 3.67, 0.9827, 6.01, 3.052, 9.945, 5.082, 12.05, 8.94, 7.754, 5.332]"
5,CREB1,ENSG00000118260.14,Brain_Anterior_cingulate_cortex_BA24,40-49,female,"[4.864, 5.289, 4.844, 2.641, 4.089, 6.703, 7.155]"
6,CREB1,ENSG00000118260.14,Brain_Anterior_cingulate_cortex_BA24,50-59,male,"[5.214, 2.565, 3.577, 2.143, 3.518, 6.442, 2.874, 3.947, 4.671, 4.336, 3.061, 3.09, 5.417, 6.134, 4.973, 3.168, 2.822, 5.935, 2.788, 6.043, 5.988, 5.619, 3.503, 3.003, 2.798, 5.988, 4.864, 4.404, 3.196, 5.54, 5.729, 9.604, 6.179]"
7,CREB1,ENSG00000118260.14,Brain_Anterior_cingulate_cortex_BA24,50-59,female,"[4.864, 2.189, 4.911, 4.508, 8.145, 3.901, 5.199, 5.439, 3.701, 5.739]"
8,CREB1,ENSG00000118260.14,Brain_Anterior_cingulate_cortex_BA24,60-69,male,"[5.333, 2.712, 4.582, 4.192, 3.492, 4.223, 3.986, 3.613, 4.135, 3.238, 5.883, 4.707, 3.851, 3.381, 5.122, 4.795, 2.769, 2.587, 5.896, 3.871, 8.242, 5.988, 3.306, 2.647, 4.485, 7.085, 4.648, 4.649, 3.831, 4.036, 2.935, 5.988, 2.272, 2.272, 3.504, 3.043, 4.905, 4.443, 3.898, 5.039, 4.224, 2.756, 2.887, 5.225, 3.711, 4.373, 6.902, 2.896, 3.897, 5.02, 4.276, 2.628, 4.654, 9.146, 7.329, 6.048, 5.59, 8.449, 2.412, 5.617, 4.647, 6.102, 4.639, 6.204, 5.157, 4.163]"
9,CREB1,ENSG00000118260.14,Brain_Anterior_cingulate_cortex_BA24,60-69,female,"[2.985, 2.962, 3.192, 4.723, 3.636, 1.835, 3.629, 4.391, 8.047, 5.668, 5.543, 3.966, 3.352, 3.087, 4.938, 5.083, 2.272, 2.272, 3.068, 1.902, 4.422, 9.008, 5.891, 9.184, 9.485, 2.617, 4.49]"
10,CREB1,ENSG00000118260.14,Brain_Anterior_cingulate_cortex_BA24,70-79,male,"[3.565, 2.43, 4.859, 3.428, 3.772, 2.227, 4.578, 2.361, 3.679, 4.559, 5.361]"
11,CREB1,ENSG00000118260.14,Brain_Anterior_cingulate_cortex_BA24,70-79,female,"[3.591, 8.254]"
