,gene,gencodeId,tissue,age,gender,TPMs
0,CREBBP,ENSG00000005339.14,Spleen,20-29,male,"[27.52, 31.97, 26.28, 26.83, 41.52, 26.28, 26.04, 37.32, 25.88, 28.59, 31.03, 31.07, 26.38, 19.98, 37.71]"
1,CREBBP,ENSG00000005339.14,Spleen,20-29,female,"[30.42, 41.52, 45.68, 31.08, 26.74, 22.85, 15.46, 29.83, 26.04, 34.91]"
2,CREBBP,ENSG00000005339.14,Spleen,30-39,male,"[34.72, 26.97, 37.81, 22.6, 21.11, 17.14, 27.35, 30.32, 25.62, 26.58, 29.46, 36.0, 33.17, 25.44, 25.72, 29.24, 27.19, 21.19, 28.4, 30.83, 23.99, 25.44, 19.82, 26.58, 25.59]"
3,CREBBP,ENSG00000005339.14,Spleen,30-39,female,"[27.51, 25.59, 31.46, 21.02, 25.62, 19.15, 24.1, 25.66, 23.28, 23.99]"
4,CREBBP,ENSG00000005339.14,Spleen,40-49,male,"[20.63, 15.68, 33.85, 27.93, 33.22, 23.85, 23.57, 33.1, 26.58, 33.1, 27.42, 30.08, 30.08, 26.04, 31.1, 33.32, 21.76, 41.9, 31.38, 30.45, 29.72, 25.9, 23.68, 26.15, 36.69, 36.15, 28.29, 31.43, 26.58, 28.14, 31.24, 33.1, 32.97, 32.16]"
5,CREBBP,ENSG00000005339.14,Spleen,40-49,female,"[27.25, 29.03, 24.93, 19.54, 12.65, 30.31, 33.2, 29.72, 22.2, 35.1, 20.0, 24.86, 21.83, 15.91, 31.14, 35.87, 25.68, 26.04, 30.08, 30.08, 22.94, 23.21]"
6,CREBBP,ENSG00000005339.14,Spleen,50-59,male,"[25.56, 23.29, 27.61, 35.13, 35.73, 20.02, 32.58, 25.31, 42.48, 21.1, 33.93, 33.1, 33.1, 29.44, 28.45, 31.86, 29.43, 23.64, 33.1, 33.1, 39.51, 42.41, 22.97, 34.98, 20.29, 30.39, 29.75, 43.2, 32.32, 29.6, 33.29, 25.44, 38.92, 16.55, 25.79, 30.17, 17.89, 22.42, 35.54, 27.73, 27.73, 24.27, 23.99, 27.6, 25.44, 13.74, 21.77, 32.31, 43.84, 23.5, 53.84, 32.14, 27.73, 27.73, 29.23, 35.74, 33.7, 31.94, 24.79, 26.75, 36.92, 25.59, 33.1, 33.1, 31.3, 30.38, 28.99]"
7,CREBBP,ENSG00000005339.14,Spleen,50-59,female,"[33.31, 28.54, 33.66, 25.59, 30.16, 18.8, 23.82, 29.88, 27.9, 29.38, 49.46, 33.31, 39.24, 22.75, 38.36, 24.92, 43.21, 30.3, 21.75, 23.41, 29.64, 35.4, 28.2, 37.52, 9.928, 22.95, 23.94, 27.32, 23.99]"
8,CREBBP,ENSG00000005339.14,Spleen,60-69,male,"[32.03, 30.51, 26.65, 25.62, 32.72, 42.2, 26.28, 17.72, 32.04, 41.78, 17.88, 25.22, 41.52, 18.58, 26.28, 26.98, 33.84, 26.34, 18.86, 18.69, 27.06, 42.13, 32.51, 31.7, 32.09, 16.41, 26.19, 29.72, 25.94, 27.76, 28.01]"
9,CREBBP,ENSG00000005339.14,Spleen,60-69,female,"[36.9, 33.31, 39.8, 47.43, 25.01, 29.56, 37.49, 33.33, 41.52, 38.26, 21.4, 44.27, 20.18, 40.69, 29.72, 30.35, 33.31, 38.13, 25.62, 25.63, 36.95, 40.01, 28.53, 26.3]"
10,CREBBP,ENSG00000005339.14,Spleen,70-79,male,"[17.51, 36.77, 30.1]"
11,CREBBP,ENSG00000005339.14,Spleen,70-79,female,[35.14]
