,gene,gencodeId,tissue,age,gender,TPMs
0,CTGF,ENSG00000118523.5,Liver,20-29,male,"[41.76, 19.19, 36.54, 330.8, 86.03]"
1,CTGF,ENSG00000118523.5,Liver,20-29,female,"[64.52, 11.54, 36.54]"
2,CTGF,ENSG00000118523.5,Liver,30-39,male,"[65.31, 20.54, 200.6, 19.88, 44.75, 54.81, 29.66, 9.746, 5.923, 10.72, 34.61, 23.82, 28.22, 15.78]"
3,CTGF,ENSG00000118523.5,Liver,30-39,female,"[103.2, 38.18, 31.3]"
4,CTGF,ENSG00000118523.5,Liver,40-49,male,"[138.2, 33.51, 78.65, 15.95, 15.35, 65.65, 121.7, 43.74, 153.3, 8.298, 74.27, 15.34, 24.02, 12.34, 38.8, 32.5, 52.33, 10.49, 12.77, 119.5, 13.08, 27.56, 238.6, 6.737]"
5,CTGF,ENSG00000118523.5,Liver,40-49,female,"[29.44, 17.65, 32.69, 4.44, 42.9, 15.33, 19.89, 40.68, 117.8, 34.42, 27.39]"
6,CTGF,ENSG00000118523.5,Liver,50-59,male,"[26.72, 44.69, 237.2, 39.96, 96.93, 161.5, 11.42, 23.05, 94.31, 12.85, 116.9, 41.54, 55.54, 19.02, 18.19, 62.06, 23.27, 141.9, 161.3, 89.46, 26.68, 22.11, 9.733, 2.411, 9.617, 96.14, 66.33, 12.83, 86.97, 50.25, 70.92, 102.0, 296.9, 100.7, 4.593, 57.46, 45.97, 170.2, 172.8, 183.9, 49.02, 8.214, 265.8, 91.55, 14.19, 35.09, 14.45, 96.55, 7.088, 29.61, 11.3, 23.12, 86.42, 63.12, 53.06, 23.42, 16.88, 22.19, 10.18, 38.2]"
7,CTGF,ENSG00000118523.5,Liver,50-59,female,"[43.29, 15.66, 59.92, 7.858, 94.0, 10.79, 7.575, 188.5, 23.52, 23.94, 25.6, 47.27, 25.96, 21.11, 97.13, 32.37, 17.29, 51.83, 18.18, 27.35, 9.48, 76.47, 22.61]"
8,CTGF,ENSG00000118523.5,Liver,60-69,male,"[46.64, 38.32, 30.25, 8.278, 51.85, 97.66, 16.63, 70.87, 9.387, 29.58, 71.08, 14.78, 77.61, 37.11, 38.27, 7.716, 91.58, 65.23, 35.29, 120.5, 89.88, 20.87, 11.12, 87.22, 187.3, 53.82, 7.447, 38.53, 53.1, 165.7, 8.951, 7.703, 34.77, 47.72, 175.1, 10.42, 36.61, 107.7, 76.43, 18.69, 62.52, 356.0, 33.16, 148.6, 15.03, 13.19, 11.99, 21.91, 13.43, 3.281, 64.6, 40.09, 261.7, 7.071, 6.81, 74.07]"
9,CTGF,ENSG00000118523.5,Liver,60-69,female,"[107.0, 75.34, 97.35, 79.49, 25.29, 50.27, 22.44, 47.51, 40.34, 12.91, 52.83, 23.95, 239.9, 75.72, 27.64, 9.426, 46.07, 93.77, 4.159, 68.17, 48.25, 51.91, 219.4]"
10,CTGF,ENSG00000118523.5,Liver,70-79,male,"[153.1, 36.54, 17.14]"
11,CTGF,ENSG00000118523.5,Liver,70-79,female,"[63.26, 26.01, 36.54]"
