,gene,gencodeId,tissue,age,gender,TPMs
0,CTGF,ENSG00000118523.5,Spleen,20-29,male,"[127.3, 870.4, 572.2, 593.6, 447.8, 1135.0, 633.8, 908.0, 702.8, 403.8, 829.4, 579.0, 224.8, 649.9, 633.8, 572.2]"
1,CTGF,ENSG00000118523.5,Spleen,20-29,female,"[472.8, 1685.0, 1135.0, 763.7, 410.6, 892.2, 119.9, 1078.0, 570.5]"
2,CTGF,ENSG00000118523.5,Spleen,30-39,male,"[482.5, 523.8, 679.9, 142.1, 849.1, 284.6, 528.2, 874.9, 646.4, 167.7, 358.7, 4049.0, 281.4, 1871.0, 464.2, 360.7, 377.8, 1093.0, 990.4, 314.3, 200.3]"
3,CTGF,ENSG00000118523.5,Spleen,30-39,female,"[551.8, 1245.0, 1212.0, 307.6, 559.0, 396.6, 352.0, 238.5, 516.1]"
4,CTGF,ENSG00000118523.5,Spleen,40-49,male,"[305.5, 280.5, 153.0, 133.0, 475.8, 328.2, 232.9, 783.3, 555.1, 623.2, 572.2, 2186.0, 691.0, 722.6, 500.9, 1050.0, 1389.0, 430.8, 428.2, 260.7, 595.7, 235.7, 436.7, 180.0, 756.0, 521.5, 500.1, 572.2, 357.2, 128.5]"
5,CTGF,ENSG00000118523.5,Spleen,40-49,female,"[444.2, 644.1, 376.2, 115.2, 43.83, 949.2, 1780.0, 188.1, 732.9, 203.5, 101.7, 481.5, 197.1, 1741.0, 476.1, 165.7, 719.6, 978.6, 593.9, 479.4]"
6,CTGF,ENSG00000118523.5,Spleen,50-59,male,"[577.1, 1001.0, 418.4, 88.32, 894.4, 173.1, 786.5, 468.4, 752.5, 608.4, 2106.0, 384.7, 384.7, 375.0, 332.4, 1863.0, 249.1, 281.6, 3617.0, 826.0, 833.4, 335.8, 305.7, 568.3, 334.3, 2636.0, 1018.0, 956.5, 1427.0, 910.7, 1135.0, 633.8, 270.2, 905.6, 759.3, 114.4, 137.4, 764.7, 610.7, 1476.0, 236.4, 47.3, 678.4, 1799.0, 430.5, 893.1, 737.8, 1140.0, 909.9, 610.8, 633.8, 483.2, 50.64, 377.2, 469.4, 572.9, 108.6, 800.7, 326.1, 376.6, 587.0]"
7,CTGF,ENSG00000118523.5,Spleen,50-59,female,"[114.7, 667.2, 227.5, 435.0, 406.6, 654.5, 1135.0, 86.76, 1487.0, 1573.0, 1097.0, 1416.0, 187.0, 229.0, 336.7, 181.2, 411.7, 373.6, 1110.0, 707.9, 1321.0, 384.7, 384.7, 1750.0, 71.68, 334.4, 104.0, 560.6, 429.2]"
8,CTGF,ENSG00000118523.5,Spleen,60-69,male,"[1449.0, 306.6, 666.9, 243.2, 984.3, 1461.0, 321.8, 202.4, 465.8, 259.2, 160.4, 1139.0, 744.8, 150.9, 1188.0, 595.4, 745.4, 132.8, 542.9, 2219.0, 889.2, 3849.0, 331.9, 177.6, 321.1, 543.7, 570.9, 204.4, 577.8]"
9,CTGF,ENSG00000118523.5,Spleen,60-69,female,"[567.5, 161.9, 647.9, 663.7, 1698.0, 887.5, 861.4, 1045.0, 1076.0, 159.9, 500.2, 449.7, 1342.0, 1057.0, 630.6, 775.8, 811.9, 971.5, 1593.0, 818.1, 645.1]"
10,CTGF,ENSG00000118523.5,Spleen,70-79,male,"[274.5, 2635.0, 254.5]"
11,CTGF,ENSG00000118523.5,Spleen,70-79,female,[368.7]
