,gene,gencodeId,tissue,age,gender,TPMs
0,DDIT3,ENSG00000175197.11,Brain_Amygdala,20-29,male,"[33.69, 62.63, 93.03]"
1,DDIT3,ENSG00000175197.11,Brain_Amygdala,20-29,female,"[17.56, 43.26]"
2,DDIT3,ENSG00000175197.11,Brain_Amygdala,30-39,male,"[67.81, 25.74]"
3,DDIT3,ENSG00000175197.11,Brain_Amygdala,30-39,female,"[46.31, 31.64]"
4,DDIT3,ENSG00000175197.11,Brain_Amygdala,40-49,male,"[33.91, 48.11, 37.33, 52.27, 36.88, 34.06, 39.11, 37.36, 28.41]"
5,DDIT3,ENSG00000175197.11,Brain_Amygdala,40-49,female,"[31.46, 21.0, 34.05, 30.43, 39.11]"
6,DDIT3,ENSG00000175197.11,Brain_Amygdala,50-59,male,"[30.03, 35.43, 123.8, 15.78, 24.93, 68.62, 34.81, 35.75, 11.89, 16.65, 19.36, 79.82, 33.01, 25.19, 11.73, 30.88, 30.61, 31.34, 28.47, 19.27, 18.18, 22.36, 49.74, 16.65, 18.59, 107.9, 24.66, 51.96, 32.23, 40.66, 27.39, 29.0, 37.3, 39.11, 76.92]"
7,DDIT3,ENSG00000175197.11,Brain_Amygdala,50-59,female,"[25.54, 39.13, 82.3, 23.95, 32.67, 24.97, 41.09, 37.42, 18.47, 34.53, 39.11, 38.8]"
8,DDIT3,ENSG00000175197.11,Brain_Amygdala,60-69,male,"[33.08, 14.07, 12.66, 13.16, 19.76, 37.99, 11.94, 23.23, 43.16, 59.74, 44.66, 16.65, 25.47, 22.05, 21.1, 20.22, 16.85, 41.13, 21.1, 24.73, 43.03, 43.84, 29.62, 47.84, 46.99, 88.06, 24.51, 33.38, 23.24, 287.1, 54.54, 31.0, 16.65, 126.2, 27.08, 20.28, 30.67, 18.66, 27.84, 45.99, 52.83, 17.02, 10.02, 12.88, 59.27, 26.19, 25.06, 40.98, 44.61, 22.0, 21.78, 46.33, 18.8, 20.3]"
9,DDIT3,ENSG00000175197.11,Brain_Amygdala,60-69,female,"[49.09, 31.69, 39.53, 57.44, 28.38, 35.74, 31.19, 30.83, 23.13, 17.66, 42.88, 14.78, 29.49, 94.23, 11.51, 18.46, 22.18, 11.9, 31.84, 52.96, 40.29, 549.1, 23.25]"
10,DDIT3,ENSG00000175197.11,Brain_Amygdala,70-79,male,"[38.97, 116.4, 14.85, 21.1, 21.1, 78.22, 6.217, 21.75, 59.69]"
11,DDIT3,ENSG00000175197.11,Brain_Amygdala,70-79,female,"[21.86, 9.716]"
