,gene,gencodeId,tissue,age,gender,TPMs
0,EEF2,ENSG00000167658.15,Liver,20-29,male,"[1307.0, 611.8, 1557.0, 579.6]"
1,EEF2,ENSG00000167658.15,Liver,20-29,female,"[244.1, 488.1, 1004.0]"
2,EEF2,ENSG00000167658.15,Liver,30-39,male,"[709.8, 366.3, 370.4, 497.4, 163.1, 632.2, 353.3, 300.4, 256.1, 454.8, 678.2, 321.5, 706.3, 525.5]"
3,EEF2,ENSG00000167658.15,Liver,30-39,female,"[892.8, 563.6, 437.5, 454.8]"
4,EEF2,ENSG00000167658.15,Liver,40-49,male,"[613.8, 479.7, 503.1, 862.9, 582.8, 310.7, 875.3, 219.0, 415.2, 602.1, 206.0, 237.8, 474.7, 199.1, 482.0, 323.3, 597.1, 327.7, 508.3, 770.5, 622.6, 513.6, 419.1, 553.8]"
5,EEF2,ENSG00000167658.15,Liver,40-49,female,"[514.7, 467.4, 443.0, 366.4, 435.0, 537.4, 211.9, 776.4, 487.3, 775.2, 585.2]"
6,EEF2,ENSG00000167658.15,Liver,50-59,male,"[412.8, 239.9, 399.8, 486.9, 286.1, 626.7, 444.0, 588.8, 371.8, 680.0, 347.9, 549.1, 323.7, 171.2, 209.0, 202.3, 724.0, 496.2, 418.7, 512.8, 552.9, 544.8, 238.4, 358.9, 682.4, 284.0, 304.1, 798.9, 631.3, 368.3, 175.9, 516.3, 362.1, 357.2, 356.2, 546.2, 350.5, 337.2, 250.7, 382.9, 377.7, 388.5, 1361.0, 726.7, 485.1, 606.4, 546.9, 347.5, 534.8, 545.9, 243.4, 381.0, 1061.0, 269.9, 223.7, 1272.0, 404.8, 442.0, 482.2, 504.9]"
7,EEF2,ENSG00000167658.15,Liver,50-59,female,"[309.7, 681.4, 963.6, 835.4, 405.5, 731.8, 421.6, 564.2, 466.2, 299.1, 642.7, 484.3, 416.0, 406.5, 744.7, 832.0, 1019.0, 374.2, 353.4, 1056.0, 509.0, 382.9, 364.5, 679.0]"
8,EEF2,ENSG00000167658.15,Liver,60-69,male,"[413.5, 350.9, 347.7, 659.6, 356.7, 435.9, 864.1, 318.9, 74.01, 496.7, 398.6, 368.8, 360.5, 357.7, 317.3, 940.2, 352.1, 423.2, 347.6, 307.1, 357.4, 272.8, 365.0, 331.2, 717.9, 294.0, 770.2, 263.6, 502.8, 624.3, 650.8, 618.0, 439.6, 241.5, 298.0, 525.6, 330.4, 437.6, 200.4, 281.4, 433.3, 538.8, 508.1, 410.8, 382.9, 469.9, 162.6, 364.4, 594.6, 410.4, 454.8, 933.7, 768.8, 380.2, 839.3, 417.1, 715.2, 277.2]"
9,EEF2,ENSG00000167658.15,Liver,60-69,female,"[164.5, 290.8, 223.9, 334.7, 523.2, 424.3, 334.1, 794.4, 237.0, 735.8, 357.1, 885.3, 375.2, 181.8, 843.2, 511.5, 788.9, 464.4, 485.4, 454.8, 689.2, 382.9, 517.1]"
10,EEF2,ENSG00000167658.15,Liver,70-79,male,"[433.2, 477.4, 621.2]"
11,EEF2,ENSG00000167658.15,Liver,70-79,female,"[329.9, 681.5]"
