,gene,gencodeId,tissue,age,gender,TPMs
0,EGF,ENSG00000138798.11,Brain_Frontal_Cortex_BA9,20-29,male,"[0.3334, 0.4922, 1.147, 0.3334, 0.9194, 0.2128]"
1,EGF,ENSG00000138798.11,Brain_Frontal_Cortex_BA9,20-29,female,[0.4922]
2,EGF,ENSG00000138798.11,Brain_Frontal_Cortex_BA9,30-39,male,"[0.3987, 0.9684]"
3,EGF,ENSG00000138798.11,Brain_Frontal_Cortex_BA9,30-39,female,"[1.368, 1.516]"
4,EGF,ENSG00000138798.11,Brain_Frontal_Cortex_BA9,40-49,male,"[0.5989, 0.7944, 1.081, 0.3978, 1.452, 1.124, 0.64, 1.205, 1.291, 0.662, 0.3272]"
5,EGF,ENSG00000138798.11,Brain_Frontal_Cortex_BA9,40-49,female,"[0.6908, 0.5758, 0.2196, 0.6783, 0.9397, 1.559]"
6,EGF,ENSG00000138798.11,Brain_Frontal_Cortex_BA9,50-59,male,"[0.5367, 0.5018, 0.6087, 0.6666, 0.2973, 0.4922, 0.5475, 0.2276, 1.252, 0.5962, 0.6665, 0.6746, 0.9477, 0.525, 0.5235, 0.6109, 0.5825, 0.36, 0.7559, 1.169, 0.3388, 0.6842, 1.072, 0.6318, 0.6782, 0.2447, 1.065, 0.2622, 0.5303, 1.113, 1.034, 0.4902, 0.3158, 0.9623, 0.6299, 0.8123, 0.3767, 0.3583, 0.5732, 0.9865, 0.7715, 1.414, 0.9652, 2.082, 0.405, 1.37, 0.3225]"
7,EGF,ENSG00000138798.11,Brain_Frontal_Cortex_BA9,50-59,female,"[0.8663, 0.06813, 0.8476, 0.8956, 0.653, 0.7438, 0.9256, 0.2476, 1.495, 0.6308, 0.8808, 0.4922, 0.76, 1.453, 1.716, 0.3996, 0.187]"
8,EGF,ENSG00000138798.11,Brain_Frontal_Cortex_BA9,60-69,male,"[1.278, 0.8172, 0.3441, 0.3763, 0.2145, 0.3334, 0.3005, 0.4425, 0.4399, 0.2749, 2.666, 0.2176, 0.9528, 1.134, 0.4346, 0.5319, 0.7195, 1.451, 0.9607, 0.1322, 0.6903, 1.4, 1.14, 0.3115, 0.09407, 0.119, 0.4982, 0.6541, 0.8728, 0.9779, 0.1849, 1.235, 0.8397, 0.3179, 0.4852, 0.4784, 1.073, 0.3525, 0.2723, 0.707, 0.6358, 1.001, 0.3334, 0.8583, 2.477, 0.1642, 0.9985, 0.963, 0.5987, 0.2432, 0.457, 0.6947, 0.07525, 0.7123, 2.28, 0.4934, 0.3311, 0.8842, 0.5195, 0.2061, 0.218, 0.271, 0.4691, 0.698, 0.7226, 0.4028, 0.8275, 0.4951, 0.5951, 0.8651, 1.211, 0.7502, 0.05272, 0.8147, 1.016, 0.3133, 0.9137, 0.6408, 1.064, 0.1631]"
9,EGF,ENSG00000138798.11,Brain_Frontal_Cortex_BA9,60-69,female,"[0.4912, 0.3503, 0.6847, 0.5711, 0.7077, 0.6, 0.7061, 0.3193, 0.6623, 0.9622, 0.635, 0.3052, 0.4919, 0.8266, 1.136, 0.5605, 0.3242, 0.7109, 0.1989, 0.8265, 1.203, 0.07081, 0.317, 1.369, 0.6661, 0.4714, 4.917, 0.2802, 0.6999]"
10,EGF,ENSG00000138798.11,Brain_Frontal_Cortex_BA9,70-79,male,"[0.6806, 0.2583, 1.008, 0.5591, 1.033, 0.3088, 0.9619, 1.357, 1.343, 0.07561]"
11,EGF,ENSG00000138798.11,Brain_Frontal_Cortex_BA9,70-79,female,"[0.6482, 0.07745]"
