,gene,gencodeId,tissue,age,gender,TPMs
0,EIF5A2,ENSG00000163577.7,Lung,20-29,male,"[1.428, 2.015, 4.282, 2.301, 2.364, 1.294, 1.886, 1.782, 1.782, 3.807, 1.786, 2.699, 3.313, 1.851, 1.451, 4.771, 1.943, 3.391, 2.325, 1.958, 1.37, 1.886, 1.507]"
1,EIF5A2,ENSG00000163577.7,Lung,20-29,female,"[1.294, 2.384, 2.121, 3.224, 3.107, 2.243, 4.858, 1.858, 1.629, 3.423, 1.858, 2.151, 3.388, 2.182]"
2,EIF5A2,ENSG00000163577.7,Lung,30-39,male,"[1.912, 1.624, 2.815, 1.307, 2.815, 4.71, 2.308, 2.394, 2.109, 3.0, 3.397, 1.445, 2.123, 2.815, 2.109, 2.467, 1.403, 2.49, 2.147, 2.664, 2.394, 1.711, 3.416, 2.104, 2.247, 3.683, 1.666, 2.664, 1.746, 3.739, 2.308, 1.77, 5.731, 3.095, 2.496, 1.259, 2.308, 2.676, 2.965]"
3,EIF5A2,ENSG00000163577.7,Lung,30-39,female,"[2.489, 2.184, 1.798, 2.467, 1.915, 2.394, 1.694, 1.92, 4.815, 3.276]"
4,EIF5A2,ENSG00000163577.7,Lung,40-49,male,"[5.078, 3.373, 3.126, 2.769, 1.361, 3.131, 2.308, 1.891, 2.952, 2.9, 2.037, 2.42, 4.979, 2.62, 2.731, 3.113, 3.443, 1.688, 2.959, 1.963, 1.886, 2.514, 2.299, 2.724, 2.664, 4.488, 2.777, 4.083, 2.139, 3.805, 2.586, 1.613, 2.9, 1.568, 3.041, 1.255, 2.199, 2.664, 2.658, 2.658, 2.769, 2.506, 3.131, 1.751, 2.972, 2.582, 2.308, 6.426, 2.588, 2.475, 2.652, 1.839, 5.047, 2.466, 2.05, 3.924, 1.986, 1.549, 2.308, 2.059, 2.841, 2.297, 2.507, 1.676, 1.352, 1.886, 2.55, 2.58, 3.863, 3.883]"
5,EIF5A2,ENSG00000163577.7,Lung,40-49,female,"[1.66, 5.187, 2.943, 2.532, 3.556, 2.263, 1.83, 2.786, 2.537, 2.295, 1.382, 2.407, 3.316, 3.113, 3.713, 2.952, 3.382, 2.474, 3.483, 2.172, 2.799, 1.817, 2.748, 2.717, 2.658, 2.658, 2.108, 2.547, 2.718, 2.943, 3.352, 1.828, 3.514, 4.471, 1.869, 2.05]"
6,EIF5A2,ENSG00000163577.7,Lung,50-59,male,"[4.116, 3.285, 3.187, 2.201, 3.912, 2.195, 3.244, 3.42, 3.138, 3.418, 2.319, 4.394, 3.557, 1.657, 3.582, 2.769, 2.029, 2.308, 2.861, 2.455, 3.363, 1.223, 3.875, 2.024, 3.442, 3.442, 2.952, 4.414, 2.185, 2.602, 4.779, 4.296, 2.394, 2.394, 2.396, 3.795, 2.987, 3.228, 2.109, 3.325, 2.321, 2.321, 2.962, 2.188, 1.387, 2.327, 3.054, 2.112, 2.359, 2.159, 2.515, 1.399, 1.294, 6.155, 3.058, 3.182, 2.109, 2.644, 2.876, 2.876, 3.011, 3.002, 2.953, 3.102, 1.782, 2.15, 1.614, 3.744, 2.485, 2.382, 1.897, 2.394, 2.394, 3.766, 1.782, 4.247, 3.525, 3.003, 2.519, 3.035, 3.464, 2.987, 2.418, 3.938, 3.938, 2.119, 2.29, 3.342, 3.91, 2.633, 2.903, 2.168, 1.463, 3.442, 3.442, 3.342, 2.178, 3.938, 3.938, 4.031, 1.794, 2.969, 2.969, 1.829, 3.119, 2.332, 3.321, 1.89, 2.769, 3.356, 2.751, 1.728, 3.331, 2.321, 2.321, 1.907, 2.103, 2.271, 3.829, 2.308, 1.626, 2.392, 2.542, 2.542, 2.435, 5.886, 2.561, 2.391, 4.075, 1.843, 2.687, 2.245, 3.183, 4.499, 2.09, 2.113, 2.05, 3.693, 1.826, 3.525, 3.031, 1.497, 2.861, 3.447, 2.087, 2.729, 2.308, 4.324, 2.065, 3.624, 2.605, 1.662, 2.144, 1.267, 6.54, 4.862, 1.273, 1.563, 2.1, 3.006, 2.647, 2.819, 2.542, 2.542, 1.472, 2.437, 1.105, 3.947]"
7,EIF5A2,ENSG00000163577.7,Lung,50-59,female,"[1.223, 2.09, 3.264, 2.669, 2.943, 3.412, 1.294, 1.855, 2.22, 3.613, 3.669, 5.874, 3.117, 1.543, 2.087, 1.642, 2.455, 4.539, 2.392, 1.675, 1.823, 2.394, 2.394, 4.42, 3.645, 2.275, 3.116, 5.436, 3.253, 2.842, 1.533, 4.227, 2.952, 2.863, 0.9023, 2.704, 2.392, 5.557, 4.492, 3.047, 1.905, 4.414, 0.6831, 5.453, 2.896, 1.72, 4.072, 2.044, 3.058, 2.994, 2.969, 2.969, 2.753, 3.918, 1.615, 2.876, 2.876, 2.268, 2.126, 2.943, 2.343, 2.373, 2.112, 3.809, 2.764, 2.95, 1.944, 2.05, 3.431, 2.125]"
8,EIF5A2,ENSG00000163577.7,Lung,60-69,male,"[3.271, 4.98, 1.974, 2.28, 1.287, 2.815, 2.815, 6.548, 2.654, 2.815, 2.815, 3.579, 3.449, 1.816, 2.371, 2.371, 4.782, 2.741, 3.425, 1.709, 3.131, 2.689, 2.861, 5.761, 3.195, 3.614, 1.223, 4.684, 2.61, 1.968, 2.145, 4.414, 3.162, 0.9168, 2.008, 3.735, 3.08, 2.987, 3.319, 4.226, 2.306, 2.375, 4.789, 4.184, 4.184, 2.511, 2.709, 5.526, 3.164, 3.113, 1.757, 6.286, 5.088, 3.658, 1.534, 2.815, 2.815, 1.93, 3.058, 3.74, 4.118, 2.467, 2.52, 1.179, 3.799, 2.179, 3.336, 2.047, 3.676, 2.16, 3.734, 1.808, 2.484, 4.49, 5.01, 4.498, 3.063, 2.114, 3.968, 3.679, 2.502, 3.061, 4.357, 3.541, 2.395, 2.723, 2.987, 3.695, 3.212, 6.675, 3.342, 4.536, 1.844, 2.175, 2.175, 4.325, 2.512, 3.174, 2.892, 3.342, 1.421, 5.406, 3.481, 3.801, 1.679, 3.636, 3.29, 4.036, 3.974, 2.736, 4.491, 2.618, 3.131, 1.984, 2.999, 1.538, 2.115, 5.591, 2.392, 2.392, 4.27, 3.777, 2.09, 2.65, 3.565, 2.311, 2.175, 2.175, 2.861, 2.087, 5.993, 3.637, 2.231, 2.593, 2.593, 2.74, 1.752, 2.252, 2.388, 4.166, 5.224, 4.085]"
9,EIF5A2,ENSG00000163577.7,Lung,60-69,female,"[1.432, 2.866, 2.041, 1.932, 2.593, 2.593, 1.223, 2.09, 1.976, 2.5, 2.64, 4.184, 4.184, 2.093, 4.344, 3.841, 2.096, 2.874, 1.821, 1.439, 1.705, 2.212, 2.405, 3.172, 3.573, 2.378, 2.964, 2.087, 2.154, 2.392, 2.392, 0.9701, 2.467, 4.497, 3.292, 3.113, 2.207, 3.979, 2.285, 2.48, 2.434, 2.392, 2.392, 1.858, 3.364, 2.825, 7.026, 4.414, 2.822, 2.544, 5.058, 3.289, 2.749, 2.839, 6.202, 1.858, 3.058, 3.368, 2.221, 2.371, 2.371, 3.746, 3.3, 3.494, 2.176, 2.752, 1.257, 3.21, 2.548, 1.983, 1.967, 2.098, 2.534, 3.273, 1.606, 4.14]"
10,EIF5A2,ENSG00000163577.7,Lung,70-79,male,"[2.455, 2.41, 1.331, 2.9, 5.765, 3.222, 2.112, 2.783, 4.973, 3.139, 3.525, 3.429, 2.164, 2.873, 2.9, 2.497, 4.323, 4.113, 1.061, 1.732, 3.525]"
11,EIF5A2,ENSG00000163577.7,Lung,70-79,female,"[4.615, 2.455, 3.451, 4.137, 2.112]"
