,gene,gencodeId,tissue,age,gender,TPMs
0,ERCC1,ENSG00000012061.15,Artery_Aorta,20-29,male,"[36.75, 166.5, 39.33, 46.59, 49.51, 43.62, 37.88, 51.28, 50.73, 42.37, 35.69, 39.64, 52.61, 35.69, 46.06, 58.04, 76.2, 48.76, 46.9, 52.06, 50.35, 41.78, 37.6, 37.85, 48.42, 39.32]"
1,ERCC1,ENSG00000012061.15,Artery_Aorta,20-29,female,"[38.6, 37.6, 30.4, 42.63, 42.83, 53.04, 51.14, 23.25, 41.78, 50.57, 47.33, 39.85, 39.32, 43.29, 54.47]"
2,ERCC1,ENSG00000012061.15,Artery_Aorta,30-39,male,"[51.85, 41.46, 45.39, 33.06, 49.03, 33.48, 34.86, 41.18, 46.89, 46.49, 41.69, 46.15, 33.15, 37.63, 46.14, 39.14, 34.86, 37.13, 54.42, 50.61, 49.18, 34.38, 89.35, 38.64, 34.01, 45.88]"
3,ERCC1,ENSG00000012061.15,Artery_Aorta,30-39,female,"[32.69, 38.64, 41.58, 36.06, 33.3, 38.26, 73.5, 38.83, 59.17, 45.5, 35.21, 41.69, 37.39, 36.59, 42.73]"
4,ERCC1,ENSG00000012061.15,Artery_Aorta,40-49,male,"[44.1, 58.03, 39.23, 58.63, 65.05, 111.3, 39.54, 37.33, 56.41, 43.91, 42.8, 38.48, 34.86, 53.4, 55.16, 50.31, 100.2, 32.85, 35.62, 41.21, 30.33, 41.14, 56.28, 38.54, 34.86, 46.86, 40.18, 57.83, 179.5, 45.76, 47.57, 50.7, 38.47, 46.18, 43.2, 36.12, 32.99, 37.51, 38.52, 38.54, 44.16, 37.54, 39.19, 39.5, 39.32, 42.8, 47.93]"
5,ERCC1,ENSG00000012061.15,Artery_Aorta,40-49,female,"[38.59, 38.59, 41.57, 37.07, 44.46, 50.01, 49.41, 43.79, 37.51, 33.68, 47.57, 41.7, 49.96, 49.41, 45.97, 40.39, 44.28, 57.36, 52.85, 41.64, 50.01, 44.97, 44.93, 36.84, 35.07, 39.32, 50.5, 47.93, 47.63, 50.01, 38.59, 38.59, 29.53]"
6,ERCC1,ENSG00000012061.15,Artery_Aorta,50-59,male,"[54.29, 40.01, 38.17, 64.1, 129.2, 33.21, 38.5, 38.27, 38.27, 55.66, 44.13, 67.27, 49.67, 66.62, 41.45, 51.46, 77.33, 49.71, 41.32, 46.03, 47.01, 41.85, 42.53, 42.53, 47.71, 57.93, 40.66, 61.04, 42.8, 35.86, 48.51, 30.23, 44.62, 78.07, 41.87, 44.38, 56.54, 47.47, 41.89, 34.7, 45.12, 34.2, 41.38, 46.24, 39.61, 41.25, 39.48, 37.44, 52.68, 96.56, 37.36, 38.57, 43.15, 67.59, 61.72, 38.37, 41.54, 51.65, 55.33, 42.01, 47.98, 49.22, 42.82, 42.82, 53.18, 35.22, 39.36, 38.27, 38.27, 59.09, 38.54, 35.68, 49.93, 39.17, 40.35, 48.52, 52.84, 73.01, 62.53, 44.17, 32.95, 42.39, 40.19, 69.89, 47.57, 66.51, 50.48, 47.12, 56.73, 47.78, 37.95, 41.78, 37.51, 40.6, 63.67, 38.9, 37.6, 38.54, 45.32, 55.04, 50.39, 54.94, 37.81, 42.8, 58.01, 44.38, 47.93, 58.83, 49.27]"
7,ERCC1,ENSG00000012061.15,Artery_Aorta,50-59,female,"[51.07, 41.89, 49.46, 46.67, 37.65, 47.71, 50.44, 37.6, 47.81, 42.53, 42.53, 56.92, 29.21, 50.01, 45.26, 63.67, 49.41, 40.42, 31.36, 37.51, 47.57, 46.21, 46.67, 38.76, 47.29, 49.41, 44.58, 46.22, 59.93, 48.0, 45.71, 42.34, 54.98, 36.96, 44.37, 46.36, 49.62, 45.01, 41.78, 47.2, 50.01, 36.49, 34.97, 42.82, 42.82, 44.91, 42.04, 32.75, 45.67, 55.37, 45.05, 73.85, 41.5, 45.87, 47.93, 50.01, 50.11, 59.09, 38.79, 55.9, 45.25, 33.01]"
8,ERCC1,ENSG00000012061.15,Artery_Aorta,60-69,male,"[66.89, 47.23, 67.09, 50.96, 41.49, 95.26, 50.84, 60.65, 52.42, 40.29, 70.9, 41.4, 60.56, 45.42, 67.17, 38.8, 55.87, 129.5, 98.35, 42.03, 47.27, 63.79, 48.33, 47.37, 43.67, 53.53, 47.44, 50.04, 48.97, 55.6, 47.71, 47.83, 54.97, 45.55, 40.86, 53.5, 43.41, 65.83, 58.13, 39.07, 60.82, 44.38, 43.81, 46.91, 52.97, 57.13, 47.82, 40.89, 41.89, 61.89, 73.29, 57.58, 47.69, 48.58, 42.27, 51.55, 41.69, 47.1, 36.94, 56.27, 44.55, 43.33, 41.08, 51.36, 43.88, 35.69, 49.57, 59.09, 43.72, 37.08, 48.16, 35.69, 77.11, 43.94, 52.0, 52.34, 47.92, 47.92, 47.92, 47.92, 56.49, 63.67, 72.92, 58.28, 62.56, 38.64, 54.61, 49.14, 38.4, 58.0, 50.87, 44.38, 61.09]"
9,ERCC1,ENSG00000012061.15,Artery_Aorta,60-69,female,"[67.89, 51.48, 51.86, 47.22, 56.65, 41.89, 62.7, 46.67, 38.64, 47.71, 45.57, 51.94, 57.52, 31.39, 60.47, 53.45, 50.01, 36.47, 63.67, 51.22, 48.03, 56.37, 49.6, 43.61, 46.67, 45.8, 42.48, 42.52, 41.9, 34.71, 52.32, 34.35, 56.76, 41.63, 45.07, 42.93, 41.73, 75.62, 41.69, 50.01, 58.26, 51.73, 58.3, 50.99, 49.73, 56.87, 41.31, 50.01, 59.09, 44.0, 40.08]"
