,gene,gencodeId,tissue,age,gender,TPMs
0,ERCC1,ENSG00000012061.15,Kidney_Cortex,20-29,male,[11.24]
1,ERCC1,ENSG00000012061.15,Kidney_Cortex,20-29,female,[]
2,ERCC1,ENSG00000012061.15,Kidney_Cortex,30-39,male,"[25.79, 34.31, 9.794, 22.21, 10.6, 32.64]"
3,ERCC1,ENSG00000012061.15,Kidney_Cortex,30-39,female,"[28.87, 18.3]"
4,ERCC1,ENSG00000012061.15,Kidney_Cortex,40-49,male,"[25.08, 12.93, 9.064, 16.16, 7.655, 30.7]"
5,ERCC1,ENSG00000012061.15,Kidney_Cortex,40-49,female,"[13.56, 8.529]"
6,ERCC1,ENSG00000012061.15,Kidney_Cortex,50-59,male,"[28.75, 19.26, 8.898, 26.0, 17.86, 38.45, 10.19, 9.731, 11.2, 16.61, 21.17, 12.4, 6.738, 20.91, 8.127, 23.66, 10.87, 42.68, 17.97, 44.16, 20.85, 19.55, 23.56]"
7,ERCC1,ENSG00000012061.15,Kidney_Cortex,50-59,female,"[11.71, 8.66, 11.46, 8.936, 13.86, 29.54]"
8,ERCC1,ENSG00000012061.15,Kidney_Cortex,60-69,male,"[11.91, 10.68, 31.24, 64.73, 22.65, 14.96, 10.45, 14.6, 28.7, 17.65, 14.11, 9.22, 13.2, 13.6, 11.49, 12.16, 6.89, 19.47, 34.8, 167.1, 14.94, 10.61, 6.634, 12.05, 10.56, 43.7]"
9,ERCC1,ENSG00000012061.15,Kidney_Cortex,60-69,female,"[40.38, 26.45, 9.649, 16.51, 20.25, 27.43, 13.15, 11.15, 22.05]"
10,ERCC1,ENSG00000012061.15,Kidney_Cortex,70-79,male,"[13.0, 15.72, 25.65, 24.47]"
11,ERCC1,ENSG00000012061.15,Kidney_Cortex,70-79,female,[]
