,gene,gencodeId,tissue,age,gender,TPMs
0,ERCC2,ENSG00000104884.14,Artery_Coronary,20-29,male,"[8.393, 10.27, 10.27, 11.42, 10.27, 10.27, 6.42, 8.393, 11.32, 6.199, 5.683, 6.441]"
1,ERCC2,ENSG00000104884.14,Artery_Coronary,20-29,female,"[4.663, 5.318, 8.862, 6.489, 7.576, 11.42]"
2,ERCC2,ENSG00000104884.14,Artery_Coronary,30-39,male,"[5.208, 12.37, 6.411, 9.64, 7.107, 6.879, 10.02]"
3,ERCC2,ENSG00000104884.14,Artery_Coronary,30-39,female,"[8.112, 7.587, 7.274, 8.698, 10.16]"
4,ERCC2,ENSG00000104884.14,Artery_Coronary,40-49,male,"[9.396, 9.775, 9.174, 9.742, 5.647, 8.566, 7.803, 17.64, 11.75, 8.218, 11.46, 9.394, 10.22, 6.584, 9.316, 6.341, 7.772, 9.339]"
5,ERCC2,ENSG00000104884.14,Artery_Coronary,40-49,female,"[7.646, 8.73, 8.584, 9.982, 7.023, 8.192, 10.65, 8.417, 8.753, 9.81, 6.939, 9.415, 13.67, 6.741, 13.35, 6.116, 11.45, 8.547, 13.54]"
6,ERCC2,ENSG00000104884.14,Artery_Coronary,50-59,male,"[9.125, 10.33, 8.393, 6.956, 10.85, 7.287, 7.38, 13.03, 11.33, 10.69, 12.28, 9.248, 10.63, 10.63, 6.193, 8.522, 6.04, 10.85, 10.84, 8.482, 8.938, 8.767, 8.815, 9.657, 7.509, 10.13, 8.262, 15.87, 4.955, 6.395, 6.823, 7.81, 7.673, 9.17, 7.709, 5.157, 9.01, 10.73, 10.4, 8.573, 7.362, 7.797, 7.984, 9.345, 10.49, 10.11, 8.393, 10.05, 10.86, 10.84, 7.054, 9.956, 11.98, 7.989, 7.759, 6.366, 8.115, 7.836, 5.484, 7.058, 7.823, 7.267, 9.172, 5.219, 10.77, 8.06, 8.476, 8.442, 9.582]"
7,ERCC2,ENSG00000104884.14,Artery_Coronary,50-59,female,"[10.8, 6.645, 8.913, 10.8, 8.396, 8.156, 7.365, 12.31, 10.54, 13.04, 8.435, 5.406, 9.189, 8.335, 8.044, 8.639, 6.201, 10.46, 10.48, 7.871, 6.189, 15.32, 13.56, 10.19, 8.203, 10.63, 10.63, 6.47, 8.662, 13.29, 6.598, 5.8]"
8,ERCC2,ENSG00000104884.14,Artery_Coronary,60-69,male,"[8.349, 15.55, 11.94, 11.0, 8.717, 6.221, 7.157, 9.855, 6.423, 8.502, 6.561, 6.267, 8.498, 8.589, 10.84, 5.679, 9.337, 10.32, 10.32, 12.09, 6.978, 6.123, 6.707, 4.305, 4.435, 11.1, 10.23, 4.914, 9.624, 8.74, 12.57, 8.131, 6.456, 6.714, 8.875, 7.521, 4.172, 8.791, 9.785, 11.42, 9.12, 6.786, 10.84, 9.564, 7.492]"
9,ERCC2,ENSG00000104884.14,Artery_Coronary,60-69,female,"[10.8, 7.568, 11.03, 11.03, 11.69, 7.878, 11.03, 11.03, 9.404, 10.8, 7.269, 9.539, 7.835, 7.623, 4.493, 10.07, 7.811, 6.859, 11.74, 10.21, 5.576, 6.981, 10.32, 10.32, 9.585, 8.264, 9.54, 8.291, 10.3, 9.027, 16.38, 11.42, 9.329, 12.44, 6.783, 7.9, 6.568, 7.742]"
10,ERCC2,ENSG00000104884.14,Artery_Coronary,70-79,male,"[10.85, 10.85, 6.197, 5.94, 6.843, 8.351]"
11,ERCC2,ENSG00000104884.14,Artery_Coronary,70-79,female,[10.93]
