,gene,gencodeId,tissue,age,gender,TPMs
0,ERCC6,ENSG00000225830.12,Adipose_Visceral_Omentum,20-29,male,"[1.016, 1.231, 1.71, 1.71, 1.067, 1.005, 3.205, 2.422, 3.408, 2.694, 3.408, 2.926, 2.779, 1.466, 2.74, 0.9829, 2.352, 4.235, 2.83, 2.858, 1.312, 1.524, 1.534, 2.047, 1.167, 1.648, 4.333, 1.067, 1.752, 3.205, 2.146, 2.562, 6.599, 2.562, 0.9049, 1.749, 1.248]"
1,ERCC6,ENSG00000225830.12,Adipose_Visceral_Omentum,20-29,female,"[1.682, 1.987, 1.71, 1.71, 2.221, 1.318, 2.352, 3.687, 5.322, 2.926, 1.962, 1.585, 2.352, 1.297, 2.33, 1.986, 6.619]"
2,ERCC6,ENSG00000225830.12,Adipose_Visceral_Omentum,30-39,male,"[1.043, 1.862, 1.878, 3.947, 2.977, 7.735, 1.141, 3.365, 0.8711, 1.677, 3.258, 2.29, 2.495, 2.173, 6.266, 3.881, 5.358, 1.662, 1.221, 4.412, 2.565, 1.302, 1.964, 3.758, 3.676, 1.382, 1.398, 2.85, 1.298, 1.677, 1.743, 4.412, 3.871]"
3,ERCC6,ENSG00000225830.12,Adipose_Visceral_Omentum,30-39,female,"[4.528, 0.9345, 6.87, 1.665, 2.065, 0.9403, 2.362, 1.491, 2.962, 1.905, 2.671, 2.495, 2.137, 1.172]"
4,ERCC6,ENSG00000225830.12,Adipose_Visceral_Omentum,40-49,male,"[2.773, 1.946, 1.2, 3.537, 5.267, 3.537, 4.432, 1.171, 2.027, 5.353, 2.381, 4.875, 3.892, 5.4, 5.544, 1.772, 2.104, 4.98, 8.754, 1.68, 5.634, 7.188, 1.888, 3.294, 7.864, 2.177, 2.132, 2.879, 1.896, 1.896, 7.694, 2.156, 3.23, 6.717, 1.61, 4.763, 6.686, 2.263, 1.857, 4.396, 2.562, 1.02, 1.835, 5.451, 1.284, 5.986, 3.17, 2.562, 1.94, 5.493, 3.215, 5.986, 1.407, 6.876]"
5,ERCC6,ENSG00000225830.12,Adipose_Visceral_Omentum,40-49,female,"[1.472, 2.163, 1.697, 3.431, 3.23, 7.55, 1.159, 7.245, 6.841, 2.991, 1.184, 2.509, 2.756, 1.896, 1.896, 5.14, 1.379, 3.313, 6.237, 2.729, 2.986, 4.91, 3.769, 6.7, 1.936, 3.472, 5.678, 8.525, 2.108, 3.048, 1.483, 2.28, 6.449, 4.639, 1.303, 4.113, 3.911, 3.537, 1.781, 2.729]"
6,ERCC6,ENSG00000225830.12,Adipose_Visceral_Omentum,50-59,male,"[1.362, 1.362, 5.411, 3.269, 4.931, 3.597, 5.369, 6.042, 5.359, 8.63, 4.67, 3.288, 10.1, 1.358, 3.382, 3.534, 6.597, 1.061, 3.61, 5.063, 10.62, 3.176, 12.14, 4.817, 3.777, 4.979, 5.849, 4.338, 3.398, 4.917, 8.57, 6.039, 3.205, 4.739, 5.107, 1.698, 2.999, 4.025, 3.934, 5.056, 3.023, 3.751, 2.976, 6.543, 1.564, 3.729, 3.544, 1.677, 3.734, 2.376, 3.408, 2.407, 1.571, 6.326, 7.337, 3.323, 2.096, 3.299, 3.862, 5.688, 8.762, 3.091, 3.408, 9.339, 2.19, 2.19, 2.894, 1.511, 3.88, 2.495, 3.497, 5.44, 1.762, 4.064, 9.53, 4.064, 1.988, 5.041, 4.255, 3.88, 3.547, 2.378, 12.27, 3.821, 5.149, 8.639, 2.612, 2.286, 3.637, 3.209, 1.362, 1.362, 5.186, 2.935, 2.352, 4.018, 3.151, 5.094, 2.332, 4.727, 7.506, 7.283, 2.491, 4.765, 3.91, 2.201, 8.593, 3.573, 7.577, 6.833, 1.343, 3.23, 4.693, 7.626, 3.274, 4.765, 2.294, 3.205, 3.887, 4.472, 2.774, 5.477, 3.582, 3.762, 1.771, 4.954, 8.56, 2.598, 0.9716, 3.777, 5.871, 4.289, 2.45, 1.677, 5.995, 1.965, 2.666, 4.694, 1.423, 1.179, 4.703, 2.181, 1.338, 2.241]"
7,ERCC6,ENSG00000225830.12,Adipose_Visceral_Omentum,50-59,female,"[5.173, 1.647, 4.849, 3.825, 2.331, 4.46, 0.8625, 3.801, 1.288, 3.23, 6.137, 2.713, 1.019, 4.194, 6.706, 8.373, 1.061, 2.352, 5.524, 6.206, 4.286, 6.001, 1.843, 4.241, 2.096, 5.787, 6.056, 2.074, 2.253, 1.874, 1.607, 2.212, 6.595, 3.752, 2.58, 3.422, 3.399, 2.634, 1.355, 2.349, 2.352, 3.035, 2.495, 4.16, 2.69, 5.077, 1.14, 2.455, 5.436, 5.237, 2.19, 2.19, 5.54, 1.277, 1.808, 2.748, 3.424]"
8,ERCC6,ENSG00000225830.12,Adipose_Visceral_Omentum,60-69,male,"[1.497, 8.906, 9.247, 3.008, 3.8, 6.24, 5.43, 2.581, 2.274, 2.274, 1.376, 4.092, 5.662, 2.297, 6.796, 5.522, 1.067, 6.566, 1.061, 10.54, 5.842, 5.827, 3.537, 3.537, 3.491, 1.189, 1.847, 2.418, 2.418, 3.537, 3.537, 9.592, 6.571, 3.46, 5.63, 6.789, 6.27, 4.604, 1.484, 2.515, 5.931, 4.863, 6.977, 6.004, 7.03, 3.319, 2.096, 2.926, 8.577, 1.374, 5.782, 4.325, 4.458, 1.849, 8.341, 3.145, 3.88, 8.409, 8.794, 3.611, 4.064, 5.437, 4.41, 4.369, 4.064, 5.153, 7.522, 5.935, 8.995, 1.591, 3.447, 4.355, 3.88, 3.326, 6.45, 4.755, 5.163, 6.021, 6.554, 1.152, 5.655, 5.85, 3.761, 5.87, 5.058, 6.357, 2.352, 2.874, 3.802, 5.499, 3.167, 5.59, 7.0, 4.696, 4.412, 3.014, 4.765, 7.438, 5.246, 7.182, 5.642, 2.541, 4.597, 4.808, 2.549, 2.069, 4.55, 3.956, 0.5382, 3.889, 4.89, 1.067, 4.765, 2.05, 2.136, 6.486, 3.721, 5.986, 3.267, 6.951, 2.418, 2.418, 5.861, 8.811, 5.959, 5.986, 4.412, 7.918]"
9,ERCC6,ENSG00000225830.12,Adipose_Visceral_Omentum,60-69,female,"[3.836, 1.344, 3.084, 2.141, 4.663, 8.087, 1.791, 1.877, 5.018, 1.11, 1.463, 2.274, 2.274, 9.333, 2.625, 3.498, 7.17, 2.529, 3.446, 6.468, 4.982, 4.109, 2.449, 1.061, 2.352, 6.028, 10.96, 2.096, 5.557, 2.729, 7.496, 4.787, 6.868, 2.882, 5.53, 4.163, 2.934, 4.566, 2.926, 7.88, 2.352, 4.056, 5.426, 3.663, 8.378, 9.278, 2.958, 6.165, 2.323, 1.271, 1.787, 3.537, 3.537, 1.62, 2.729]"
10,ERCC6,ENSG00000225830.12,Adipose_Visceral_Omentum,70-79,male,"[3.298, 2.324, 2.956, 3.777, 7.338, 7.939, 10.88, 4.116, 4.576, 7.516, 6.087, 1.669, 5.943, 3.673, 3.744, 3.777]"
11,ERCC6,ENSG00000225830.12,Adipose_Visceral_Omentum,70-79,female,"[1.639, 4.867, 7.349, 2.04]"
