,gene,gencodeId,tissue,age,gender,TPMs
0,FAS,ENSG00000026103.21,Artery_Coronary,20-29,male,"[23.65, 17.53, 27.49, 21.52, 29.42, 27.49, 14.17, 26.92, 27.22]"
1,FAS,ENSG00000026103.21,Artery_Coronary,20-29,female,"[26.76, 7.716, 34.89, 14.17, 29.99, 18.03, 23.94]"
2,FAS,ENSG00000026103.21,Artery_Coronary,30-39,male,"[34.0, 21.96, 24.91, 23.37, 22.86, 22.41, 38.68, 30.56]"
3,FAS,ENSG00000026103.21,Artery_Coronary,30-39,female,"[17.51, 17.79, 27.5, 21.21, 24.91]"
4,FAS,ENSG00000026103.21,Artery_Coronary,40-49,male,"[25.46, 23.75, 28.59, 37.42, 23.91, 17.07, 25.26, 25.74, 15.49, 21.01, 21.01, 17.36, 27.87, 21.13, 21.01, 21.01, 28.14, 18.94, 23.25, 32.99, 37.15]"
5,FAS,ENSG00000026103.21,Artery_Coronary,40-49,female,"[22.15, 31.94, 25.76, 25.46, 19.73, 37.1, 21.13, 26.83, 24.79, 41.3, 20.29, 25.76, 25.51, 20.25, 21.56, 27.46, 9.727, 18.05, 21.01, 21.01, 34.82, 26.75, 19.65]"
6,FAS,ENSG00000026103.21,Artery_Coronary,50-59,male,"[27.7, 24.6, 26.79, 30.7, 23.72, 19.4, 27.66, 38.71, 25.46, 34.12, 34.12, 34.45, 24.42, 36.04, 50.9, 34.52, 24.91, 33.47, 21.59, 13.14, 22.05, 22.05, 21.66, 38.38, 29.05, 28.64, 20.91, 27.94, 22.96, 35.44, 23.33, 32.71, 19.75, 32.72, 33.83, 29.27, 21.76, 28.75, 34.37, 36.61, 28.58, 36.12, 28.63, 24.6, 34.12, 34.12, 19.01, 33.69, 18.23, 17.09, 20.7, 32.18, 21.01, 22.05, 22.05, 8.976, 29.36, 23.88, 14.17, 20.59, 15.68, 26.24, 19.08, 15.83, 15.64, 15.38, 21.01, 16.09, 24.42, 5.131, 25.37, 16.44, 23.02, 17.86, 28.62]"
7,FAS,ENSG00000026103.21,Artery_Coronary,50-59,female,"[14.56, 20.17, 19.57, 22.51, 25.76, 25.46, 25.65, 26.57, 9.375, 31.9, 42.37, 29.51, 33.35, 29.7, 25.76, 41.14, 14.17, 26.26, 36.6, 28.03, 24.75, 31.25, 27.66, 38.32, 19.09, 24.91, 22.71, 24.66, 16.68, 25.1, 21.01, 53.78, 21.59, 14.53]"
8,FAS,ENSG00000026103.21,Artery_Coronary,60-69,male,"[24.6, 35.89, 29.04, 46.26, 30.76, 22.76, 27.66, 21.8, 24.19, 24.19, 24.42, 15.08, 23.52, 27.93, 21.59, 25.9, 60.01, 35.52, 18.16, 35.51, 49.98, 29.14, 25.73, 29.65, 18.26, 15.22, 27.49, 65.92, 35.35, 35.8, 28.96, 40.66, 41.9, 24.49, 22.28, 18.91, 16.76, 18.42, 15.04, 24.6, 21.54, 23.06, 21.47, 17.66, 18.47, 27.49, 21.13, 22.0, 24.42]"
9,FAS,ENSG00000026103.21,Artery_Coronary,60-69,female,"[27.63, 24.31, 27.51, 32.98, 30.06, 32.01, 23.16, 24.19, 24.19, 26.35, 33.29, 49.31, 48.31, 21.13, 30.24, 12.2, 28.45, 29.17, 35.63, 24.3, 20.8, 47.51, 32.36, 29.16, 25.98, 21.09, 19.84, 27.19, 27.66, 16.74, 26.91, 20.18, 9.42, 21.59, 21.7]"
10,FAS,ENSG00000026103.21,Artery_Coronary,70-79,male,"[47.12, 22.84, 16.65, 22.06, 12.37]"
11,FAS,ENSG00000026103.21,Artery_Coronary,70-79,female,[36.02]
