,gene,gencodeId,tissue,age,gender,TPMs
0,FOS,ENSG00000170345.9,Brain_Anterior_cingulate_cortex_BA24,20-29,male,[104.1]
1,FOS,ENSG00000170345.9,Brain_Anterior_cingulate_cortex_BA24,20-29,female,"[22.15, 21.79, 28.37]"
2,FOS,ENSG00000170345.9,Brain_Anterior_cingulate_cortex_BA24,30-39,male,"[36.33, 43.34, 46.63]"
3,FOS,ENSG00000170345.9,Brain_Anterior_cingulate_cortex_BA24,30-39,female,[31.42]
4,FOS,ENSG00000170345.9,Brain_Anterior_cingulate_cortex_BA24,40-49,male,"[8.001, 25.89, 107.5, 16.12, 11.4, 67.43, 11.4, 5.674, 60.05, 17.79, 23.37, 21.01, 174.7, 22.12, 47.25, 47.16, 12.17, 23.13]"
5,FOS,ENSG00000170345.9,Brain_Anterior_cingulate_cortex_BA24,40-49,female,"[5.2, 23.59, 7.026, 8.881, 25.97, 22.16, 22.52]"
6,FOS,ENSG00000170345.9,Brain_Anterior_cingulate_cortex_BA24,50-59,male,"[24.32, 65.86, 23.48, 1.421, 33.88, 47.65, 476.6, 137.4, 32.88, 61.29, 70.84, 60.02, 131.8, 76.13, 14.81, 186.7, 11.01, 29.24, 39.27, 30.12, 16.02, 69.15, 26.9, 162.0, 232.3, 34.22, 8.653, 17.62, 613.2, 27.25, 68.03, 12.02]"
7,FOS,ENSG00000170345.9,Brain_Anterior_cingulate_cortex_BA24,50-59,female,"[9.023, 36.53, 14.32, 100.2, 38.37, 29.43, 39.35, 11.39, 15.32]"
8,FOS,ENSG00000170345.9,Brain_Anterior_cingulate_cortex_BA24,60-69,male,"[12.07, 10.68, 36.14, 59.16, 24.64, 7.966, 10.87, 21.15, 30.34, 298.0, 78.99, 168.8, 136.6, 368.5, 48.69, 24.94, 57.4, 2.704, 23.01, 6.681, 23.65, 26.72, 52.22, 45.1, 43.01, 31.79, 73.18, 119.4, 89.87, 30.02, 308.6, 33.34, 18.69, 38.36, 141.3, 16.78, 31.31, 17.74, 116.4, 8.066, 9.249, 28.0, 16.08, 23.04, 33.45, 221.9, 5.924, 38.64, 47.1, 112.4, 68.97, 32.6, 16.71, 186.4, 16.95, 10.3, 84.14, 36.46, 48.36, 13.25, 32.29, 35.24, 27.54, 10.02]"
9,FOS,ENSG00000170345.9,Brain_Anterior_cingulate_cortex_BA24,60-69,female,"[102.4, 212.2, 17.1, 23.72, 70.47, 7.865, 88.29, 14.36, 23.96, 202.1, 19.7, 31.98, 11.3, 151.5, 52.42, 31.16, 15.06, 65.27, 23.82, 22.88, 30.45, 42.38, 36.83, 235.2, 21.3, 14.75]"
10,FOS,ENSG00000170345.9,Brain_Anterior_cingulate_cortex_BA24,70-79,male,"[52.18, 22.71, 239.0, 33.51, 13.32, 10.17, 31.33, 11.4, 11.4, 42.66, 17.03, 69.12]"
11,FOS,ENSG00000170345.9,Brain_Anterior_cingulate_cortex_BA24,70-79,female,"[37.74, 16.87]"
