,gene,gencodeId,tissue,age,gender,TPMs
0,FOS,ENSG00000170345.9,Kidney_Cortex,20-29,male,[17.13]
1,FOS,ENSG00000170345.9,Kidney_Cortex,20-29,female,[]
2,FOS,ENSG00000170345.9,Kidney_Cortex,30-39,male,"[60.7, 293.8, 212.5, 129.4, 44.98, 67.62, 302.5]"
3,FOS,ENSG00000170345.9,Kidney_Cortex,30-39,female,"[293.8, 47.0]"
4,FOS,ENSG00000170345.9,Kidney_Cortex,40-49,male,"[212.3, 41.54, 38.66, 37.13, 25.81, 218.3]"
5,FOS,ENSG00000170345.9,Kidney_Cortex,40-49,female,"[57.16, 37.13, 122.9]"
6,FOS,ENSG00000170345.9,Kidney_Cortex,50-59,male,"[116.1, 285.0, 111.4, 160.7, 188.7, 1626.0, 112.3, 90.26, 50.84, 307.5, 293.8, 44.09, 9.238, 22.44, 65.03, 486.6, 103.7, 229.3, 44.31, 141.6, 125.2, 37.77, 265.2]"
7,FOS,ENSG00000170345.9,Kidney_Cortex,50-59,female,"[26.13, 293.8, 89.84, 16.57, 38.84, 25.17, 193.5]"
8,FOS,ENSG00000170345.9,Kidney_Cortex,60-69,male,"[177.0, 49.91, 35.03, 17.94, 139.6, 19.23, 9.479, 18.89, 200.8, 20.66, 401.3, 302.3, 44.11, 51.14, 46.02, 693.0, 20.99, 94.61, 171.5, 81.88, 277.3, 37.13, 42.49, 13.34, 51.43, 120.3, 234.6]"
9,FOS,ENSG00000170345.9,Kidney_Cortex,60-69,female,"[80.03, 260.3, 203.0, 40.81, 137.5, 438.2, 37.13, 58.83, 56.09]"
10,FOS,ENSG00000170345.9,Kidney_Cortex,70-79,male,"[52.16, 159.1, 314.1, 231.1]"
11,FOS,ENSG00000170345.9,Kidney_Cortex,70-79,female,[]
