,gene,gencodeId,tissue,age,gender,TPMs
0,FOXM1,ENSG00000111206.12,Heart_Atrial_Appendage,20-29,male,"[0.09946, 0.1753, 0.04184, 0.7856, 0.8592, 0.6876, 0.5812, 0.2315, 1.252, 0.4883]"
1,FOXM1,ENSG00000111206.12,Heart_Atrial_Appendage,20-29,female,"[0.2042, 0.3223, 0.3881, 0.4516, 0.2607]"
2,FOXM1,ENSG00000111206.12,Heart_Atrial_Appendage,30-39,male,"[0.35, 0.3815, 0.4747, 0.3437, 0.2937, 1.386, 1.161, 0.9608, 0.3411, 0.7245, 0.484, 0.5985]"
3,FOXM1,ENSG00000111206.12,Heart_Atrial_Appendage,30-39,female,"[0.9881, 0.3815, 0.1333, 0.3813, 0.414, 0.7469, 0.3322]"
4,FOXM1,ENSG00000111206.12,Heart_Atrial_Appendage,40-49,male,"[0.2723, 0.8869, 0.3278, 0.312, 0.5832, 0.2537, 1.023, 0.3835, 0.1448, 0.678, 0.2537, 1.868, 1.031, 3.832, 0.6988, 0.3195, 0.2598, 0.8276, 0.1493, 0.2199, 3.44, 0.2725, 3.364, 0.4538, 0.6617, 0.5729, 0.2994, 0.3423, 0.2714, 1.04, 0.4076, 0.2829, 1.118, 0.5765, 0.1511, 0.5394, 0.3486, 0.5271, 1.244]"
5,FOXM1,ENSG00000111206.12,Heart_Atrial_Appendage,40-49,female,"[0.5177, 0.4035, 0.4495, 0.6106, 0.9387, 0.6538, 0.1831, 0.2559, 0.5537, 0.4377, 0.3302, 0.1783, 1.05, 0.295, 0.3149, 0.3738, 0.2629, 1.005, 0.3153, 0.3176, 1.702, 0.3268, 0.4976, 0.3603]"
6,FOXM1,ENSG00000111206.12,Heart_Atrial_Appendage,50-59,male,"[0.1841, 0.4515, 0.2339, 0.2287, 0.5498, 0.09328, 0.3815, 0.6659, 0.1063, 0.3665, 0.9153, 0.1232, 0.8048, 0.8504, 0.2537, 1.216, 0.4786, 0.3602, 0.8046, 0.4545, 0.5499, 0.2947, 0.6929, 0.4417, 0.5702, 0.9757, 1.41, 0.2175, 0.6322, 0.3755, 0.2537, 0.2964, 1.593, 1.047, 0.9476, 0.7235, 0.522, 0.8331, 0.2595, 0.6471, 2.147, 0.8713, 0.2013, 0.177, 0.5999, 0.2995, 0.7251, 0.5344, 0.4506, 0.8787, 0.761, 0.5974, 1.265, 0.2156, 0.4187, 0.2577, 1.297, 0.2147, 1.193, 0.5788, 0.2487, 0.919, 0.3917, 0.4308, 0.6783, 1.193, 0.3911, 0.4024, 0.62, 0.4271, 0.7491, 0.4873, 0.3798, 0.6361, 0.3031, 0.4964, 0.3363, 0.623, 0.4023, 0.73, 0.2021, 0.6429, 0.2288, 0.8479, 0.7637, 0.7292, 1.02, 0.8612, 0.2587, 0.7289, 2.432, 0.6484, 0.3688, 0.4219, 0.3123, 0.1894, 0.4864, 0.3516, 0.2286, 0.354, 0.2678, 0.2056, 0.4708, 0.3462, 0.1238, 0.1238, 0.5163, 0.3944, 0.5225, 0.2244, 1.158]"
7,FOXM1,ENSG00000111206.12,Heart_Atrial_Appendage,50-59,female,"[0.6563, 0.3368, 0.4319, 0.01387, 0.5283, 0.3815, 0.6931, 0.5924, 0.3308, 0.1238, 0.1238, 0.3492, 0.4622, 0.6831, 0.4686, 0.1056, 2.333, 0.4728, 0.2609, 0.8679, 0.3213, 0.2387, 0.8882, 0.4002, 0.1552, 0.7601, 0.1776, 0.1074, 0.4241, 0.1964, 0.1581, 1.62, 0.9237, 0.5984, 1.09, 0.5479, 0.3747, 0.07841, 0.1636, 1.052, 0.6137, 0.5391, 1.276, 0.3528, 1.262, 0.6534, 0.2127, 0.7179]"
8,FOXM1,ENSG00000111206.12,Heart_Atrial_Appendage,60-69,male,"[1.083, 0.5204, 0.2819, 0.6369, 3.023, 0.2887, 0.5532, 0.7435, 0.6697, 0.6099, 2.688, 0.4659, 5.606, 0.4678, 1.864, 0.93, 6.638, 0.7, 0.5684, 0.1042, 0.7174, 0.4493, 0.4203, 0.3216, 0.2741, 1.667, 0.433, 0.8325, 0.9384, 0.3732, 0.4505, 0.5883, 0.2278, 0.6654, 0.1497, 0.247, 0.3758, 1.236, 0.5159, 0.7467, 0.6105, 0.7924, 0.138, 0.1989, 0.7311, 0.3114, 0.2597, 0.2852, 1.275, 0.8009, 0.698, 0.8836, 0.6525, 0.6644, 0.8618, 0.8618, 7.096, 0.4568, 1.885, 0.477, 0.1367, 0.3869, 0.8047, 0.3121, 0.4203, 0.7324, 1.935, 0.4818, 0.5003, 0.4468, 0.2774, 0.1673, 0.5568, 1.001, 0.4029, 0.1882, 0.8389, 0.2367, 2.992, 2.601, 0.7066, 1.193, 0.6108, 0.4108, 0.8261, 0.5623, 0.7418, 0.8122, 1.026, 0.6262, 0.848, 0.6283, 1.193, 0.5382, 0.6202, 0.2688, 0.3254, 0.3266, 0.3032, 1.271, 0.7734, 0.2401, 0.6569, 2.814, 0.5803, 1.006, 0.7128, 0.3597, 0.8657, 1.038, 2.158, 0.3161, 0.9236, 1.059, 0.5455, 0.4997, 5.223, 0.7731, 0.2421]"
9,FOXM1,ENSG00000111206.12,Heart_Atrial_Appendage,60-69,female,"[0.5306, 0.5392, 1.039, 0.5798, 2.262, 1.151, 0.2384, 0.759, 0.1804, 0.283, 0.1187, 0.1303, 0.866, 0.6902, 0.3508, 0.8719, 0.1968, 0.4626, 0.6722, 0.499, 1.028, 0.3727, 0.2621, 0.3779, 0.4922, 0.1354, 0.4609, 0.7151, 0.698, 0.397, 0.6067, 0.7694, 0.799, 0.7595, 0.9409, 0.8808, 0.6141, 0.6262, 0.8618, 0.8618, 0.2583, 0.9058, 0.7805, 0.2805, 0.3811, 0.1432, 0.5144, 0.66, 1.107, 0.2262]"
