,gene,gencodeId,tissue,age,gender,TPMs
0,FOXO1,ENSG00000150907.7,Brain_Anterior_cingulate_cortex_BA24,20-29,male,[4.596]
1,FOXO1,ENSG00000150907.7,Brain_Anterior_cingulate_cortex_BA24,20-29,female,"[5.355, 1.918, 2.01]"
2,FOXO1,ENSG00000150907.7,Brain_Anterior_cingulate_cortex_BA24,30-39,male,"[6.53, 9.408, 3.787]"
3,FOXO1,ENSG00000150907.7,Brain_Anterior_cingulate_cortex_BA24,30-39,female,[11.34]
4,FOXO1,ENSG00000150907.7,Brain_Anterior_cingulate_cortex_BA24,40-49,male,"[3.435, 3.426, 3.432, 9.154, 5.245, 5.41, 3.73, 6.186, 2.066, 3.527, 3.623, 13.44, 8.141, 4.672, 3.878, 5.329, 4.585]"
5,FOXO1,ENSG00000150907.7,Brain_Anterior_cingulate_cortex_BA24,40-49,female,"[7.996, 4.998, 4.335, 4.737, 6.419, 3.003, 2.684]"
6,FOXO1,ENSG00000150907.7,Brain_Anterior_cingulate_cortex_BA24,50-59,male,"[2.061, 5.454, 1.713, 2.376, 4.219, 4.122, 6.207, 4.706, 3.708, 4.597, 5.082, 6.275, 2.242, 4.617, 6.693, 5.445, 3.875, 2.039, 2.913, 3.295, 5.968, 2.594, 4.406, 4.687, 2.546, 4.368, 2.174, 3.927, 5.109, 1.308, 4.444, 2.075]"
7,FOXO1,ENSG00000150907.7,Brain_Anterior_cingulate_cortex_BA24,50-59,female,"[2.488, 1.728, 2.796, 7.353, 5.117, 3.366, 5.55, 5.0, 1.794]"
8,FOXO1,ENSG00000150907.7,Brain_Anterior_cingulate_cortex_BA24,60-69,male,"[3.356, 4.388, 3.715, 3.767, 3.428, 6.74, 3.666, 5.571, 8.123, 5.228, 7.31, 6.318, 3.785, 5.735, 9.094, 6.101, 8.039, 3.822, 4.278, 3.492, 6.311, 4.973, 3.223, 5.284, 4.033, 6.741, 2.621, 6.889, 2.345, 4.962, 4.278, 4.064, 3.284, 3.154, 4.432, 12.1, 6.152, 8.052, 4.669, 6.487, 2.311, 4.648, 2.957, 9.072, 4.036, 5.128, 3.054, 4.627, 4.631, 4.232, 2.278, 4.179, 2.055, 2.75, 4.642, 5.549, 6.321, 1.724, 8.895, 6.564, 3.255, 3.255, 3.155, 5.709, 4.044, 5.431]"
9,FOXO1,ENSG00000150907.7,Brain_Anterior_cingulate_cortex_BA24,60-69,female,"[3.738, 4.635, 2.893, 2.986, 6.016, 2.993, 4.482, 7.279, 9.064, 4.843, 2.802, 4.077, 4.217, 3.687, 6.496, 6.428, 3.334, 3.515, 2.074, 6.688, 11.95, 6.449, 8.922, 19.5, 3.255, 3.255, 4.17]"
10,FOXO1,ENSG00000150907.7,Brain_Anterior_cingulate_cortex_BA24,70-79,male,"[2.699, 3.639, 5.893, 4.342, 3.679, 4.278, 3.186, 2.826, 3.859, 4.278, 11.45, 4.321]"
11,FOXO1,ENSG00000150907.7,Brain_Anterior_cingulate_cortex_BA24,70-79,female,"[5.344, 6.12]"
