,gene,gencodeId,tissue,age,gender,TPMs
0,FOXO4,ENSG00000184481.16,Liver,20-29,male,"[5.175, 3.245, 8.413, 8.255]"
1,FOXO4,ENSG00000184481.16,Liver,20-29,female,"[4.442, 4.28, 7.006]"
2,FOXO4,ENSG00000184481.16,Liver,30-39,male,"[6.701, 3.556, 4.227, 8.401, 4.957, 9.724, 3.231, 5.041, 2.679, 1.365, 6.485, 6.524, 3.644, 6.307]"
3,FOXO4,ENSG00000184481.16,Liver,30-39,female,"[3.231, 5.841, 4.995, 4.068]"
4,FOXO4,ENSG00000184481.16,Liver,40-49,male,"[5.817, 5.96, 6.884, 3.715, 5.571, 3.327, 5.433, 1.763, 4.122, 6.281, 3.359, 1.559, 4.546, 4.331, 3.045, 7.821, 5.62, 4.302, 5.007, 6.018, 2.22, 5.603, 6.144, 4.889]"
5,FOXO4,ENSG00000184481.16,Liver,40-49,female,"[3.327, 13.49, 3.841, 6.48, 7.139, 4.757, 6.477, 4.169, 9.441, 6.989, 5.407, 5.561]"
6,FOXO4,ENSG00000184481.16,Liver,50-59,male,"[6.341, 3.799, 3.766, 4.504, 4.222, 4.2, 4.509, 7.182, 5.22, 11.94, 6.317, 0.9868, 3.941, 2.375, 3.713, 2.745, 6.363, 4.237, 4.504, 4.674, 5.268, 9.397, 4.744, 8.04, 4.661, 10.28, 3.483, 3.885, 3.985, 2.877, 4.95, 4.841, 2.112, 5.913, 4.312, 4.453, 5.18, 6.415, 2.932, 3.684, 4.844, 5.676, 5.344, 3.231, 4.306, 5.944, 9.732, 9.943, 5.574, 4.336, 3.863, 4.238, 8.001, 2.723, 4.195, 7.914, 5.945, 3.391, 3.388, 6.945, 10.79, 6.624, 5.19]"
7,FOXO4,ENSG00000184481.16,Liver,50-59,female,"[3.985, 6.189, 8.688, 4.373, 5.228, 9.583, 5.218, 7.469, 3.231, 3.633, 5.193, 5.802, 5.644, 4.715, 6.577, 4.631, 14.99, 5.415, 6.947, 7.256, 6.691, 2.795, 6.55]"
8,FOXO4,ENSG00000184481.16,Liver,60-69,male,"[5.068, 3.5, 3.92, 0.9463, 4.278, 4.076, 3.78, 4.504, 3.984, 1.667, 4.724, 5.065, 5.409, 4.851, 4.916, 5.237, 1.493, 3.658, 6.232, 5.98, 3.278, 4.504, 2.78, 3.327, 3.985, 2.951, 6.059, 3.746, 6.508, 3.068, 5.947, 2.774, 6.654, 3.755, 3.446, 3.417, 4.046, 3.203, 2.87, 1.682, 2.954, 4.011, 5.37, 4.556, 4.424, 6.291, 4.511, 2.433, 2.413, 6.548, 6.075, 6.74, 6.205, 5.1, 11.73, 5.922, 6.263, 3.676]"
9,FOXO4,ENSG00000184481.16,Liver,60-69,female,"[1.783, 4.805, 3.985, 2.788, 4.7, 6.014, 5.324, 1.564, 3.813, 3.327, 3.314, 6.82, 5.564, 5.404, 4.145, 6.411, 6.523, 5.932, 3.516, 6.796, 6.833, 6.179, 5.339, 5.523]"
10,FOXO4,ENSG00000184481.16,Liver,70-79,male,"[5.887, 9.436, 6.113]"
11,FOXO4,ENSG00000184481.16,Liver,70-79,female,"[3.918, 5.699]"
