,gene,gencodeId,tissue,age,gender,TPMs
0,GCLC,ENSG00000001084.10,Spleen,20-29,male,"[21.75, 30.05, 29.8, 34.55, 17.19, 19.19, 33.58, 22.74, 45.09, 52.97, 19.79, 22.63, 15.06]"
1,GCLC,ENSG00000001084.10,Spleen,20-29,female,"[45.42, 58.59, 15.25, 28.92, 17.36, 30.07, 14.53, 30.7, 33.03]"
2,GCLC,ENSG00000001084.10,Spleen,30-39,male,"[64.05, 43.58, 69.73, 32.76, 35.16, 19.55, 30.67, 27.09, 17.21, 40.59, 34.04, 11.99, 21.05, 8.348, 27.41, 16.96, 26.52, 40.78, 35.42, 24.26, 15.46]"
3,GCLC,ENSG00000001084.10,Spleen,30-39,female,"[30.18, 37.25, 38.64, 37.86, 28.58, 33.83, 23.56, 29.25, 11.65, 28.58]"
4,GCLC,ENSG00000001084.10,Spleen,40-49,male,"[46.93, 22.97, 27.6, 18.63, 20.99, 21.97, 17.63, 28.12, 49.17, 17.05, 23.04, 9.584, 26.58, 32.14, 27.63, 20.31, 25.09, 39.07, 14.89, 38.25, 48.32, 15.93, 26.54, 51.61, 46.02, 27.9, 40.1, 24.09, 35.12]"
5,GCLC,ENSG00000001084.10,Spleen,40-49,female,"[58.85, 30.55, 28.77, 12.59, 12.96, 36.79, 19.66, 41.59, 37.68, 42.25, 21.14, 15.57, 11.85, 43.43, 21.95, 17.27, 41.13, 26.05, 47.2, 33.71]"
6,GCLC,ENSG00000001084.10,Spleen,50-59,male,"[30.36, 29.65, 28.1, 15.36, 41.44, 19.88, 35.46, 20.26, 34.35, 31.63, 17.37, 38.31, 23.53, 24.92, 69.46, 13.17, 22.72, 13.11, 51.12, 20.21, 23.96, 6.048, 62.37, 29.04, 15.98, 48.28, 10.37, 11.74, 44.6, 33.18, 6.598, 11.74, 16.0, 43.91, 16.65, 17.59, 35.53, 47.52, 29.01, 41.07, 12.38, 26.35, 40.7, 22.34, 23.16, 23.47, 65.17, 8.537, 29.58, 44.04, 38.35, 18.42, 38.86, 26.99, 50.01, 19.98, 24.22, 19.61, 31.82, 53.88]"
7,GCLC,ENSG00000001084.10,Spleen,50-59,female,"[13.03, 25.97, 35.75, 16.19, 36.41, 37.64, 14.42, 28.58, 50.86, 36.74, 59.2, 15.83, 15.29, 26.21, 9.359, 39.87, 24.01, 41.0, 28.58, 43.53, 57.87, 64.13, 23.87, 8.746, 18.68, 24.18, 23.69, 48.63]"
8,GCLC,ENSG00000001084.10,Spleen,60-69,male,"[9.891, 18.25, 30.88, 23.93, 11.22, 44.5, 71.96, 13.31, 34.3, 19.9, 17.47, 8.723, 30.28, 32.1, 8.318, 11.74, 5.82, 25.65, 11.36, 41.77, 11.74, 49.96, 9.796, 38.57, 19.52, 33.69, 53.69, 38.27, 33.52, 43.88]"
9,GCLC,ENSG00000001084.10,Spleen,60-69,female,"[39.14, 37.82, 45.86, 14.66, 20.58, 56.03, 48.7, 25.18, 40.93, 28.2, 62.83, 24.63, 16.25, 8.885, 14.17, 39.39, 27.2, 10.64, 45.51, 33.91, 26.6]"
10,GCLC,ENSG00000001084.10,Spleen,70-79,male,"[20.1, 20.56, 11.8]"
11,GCLC,ENSG00000001084.10,Spleen,70-79,female,[28.9]
