,gene,gencodeId,tissue,age,gender,TPMs
0,GPX1,ENSG00000233276.3,Brain_Putamen_basal_ganglia,20-29,male,"[16.46, 61.21, 76.66, 88.61]"
1,GPX1,ENSG00000233276.3,Brain_Putamen_basal_ganglia,20-29,female,[48.68]
2,GPX1,ENSG00000233276.3,Brain_Putamen_basal_ganglia,30-39,male,"[122.4, 39.16, 31.57]"
3,GPX1,ENSG00000233276.3,Brain_Putamen_basal_ganglia,30-39,female,"[50.85, 42.13]"
4,GPX1,ENSG00000233276.3,Brain_Putamen_basal_ganglia,40-49,male,"[38.07, 59.14, 56.84, 87.36, 45.15, 49.32, 28.92, 61.34, 96.15, 121.7, 114.0, 46.23, 80.93, 48.75]"
5,GPX1,ENSG00000233276.3,Brain_Putamen_basal_ganglia,40-49,female,"[60.8, 70.91, 104.5, 45.5, 55.95]"
6,GPX1,ENSG00000233276.3,Brain_Putamen_basal_ganglia,50-59,male,"[111.9, 86.8, 58.34, 90.61, 75.27, 83.58, 62.88, 54.7, 35.22, 60.42, 58.08, 50.61, 59.93, 43.69, 61.62, 70.16, 68.66, 52.9, 66.36, 38.76, 67.21, 63.0, 41.06, 135.7, 92.14, 100.3, 48.21, 74.11, 35.42, 60.98, 37.8, 27.4, 34.26, 79.49, 60.85, 60.85, 59.21, 42.35, 48.5, 22.1, 121.3, 72.85, 48.37, 65.73, 62.1, 38.37, 75.28, 37.48, 60.22, 75.84, 57.21, 46.78, 70.3, 60.02]"
7,GPX1,ENSG00000233276.3,Brain_Putamen_basal_ganglia,50-59,female,"[58.83, 177.0, 56.12, 69.93, 73.65, 111.8, 60.85, 60.85, 94.49, 73.98, 33.22, 30.13, 119.2, 44.53, 50.16]"
8,GPX1,ENSG00000233276.3,Brain_Putamen_basal_ganglia,60-69,male,"[61.79, 64.9, 56.0, 55.56, 60.73, 33.66, 91.42, 61.04, 61.2, 53.36, 193.8, 28.13, 87.02, 101.9, 101.9, 69.38, 71.64, 56.8, 68.92, 125.4, 270.6, 57.78, 47.65, 101.9, 101.9, 66.92, 59.32, 37.35, 55.17, 50.99, 124.5, 68.46, 105.8, 74.14, 59.41, 118.2, 47.29, 56.88, 55.73, 62.14, 151.6, 81.66, 74.81, 49.74, 67.19, 73.15, 39.1, 54.86, 75.77, 59.77, 42.23, 47.82, 108.0, 72.3, 71.51, 75.82, 58.89, 57.99, 115.2, 78.04, 125.4, 71.9, 58.81, 104.2, 53.48, 77.18, 92.85, 92.08, 35.34, 49.39, 37.18, 109.2, 40.67, 42.51, 59.05, 88.44, 60.53, 43.76]"
9,GPX1,ENSG00000233276.3,Brain_Putamen_basal_ganglia,60-69,female,"[59.2, 105.3, 52.63, 115.8, 55.71, 107.1, 43.64, 70.22, 69.06, 53.41, 59.06, 68.48, 42.31, 50.15, 130.5, 69.43, 23.99, 61.8, 73.93, 76.86, 69.11, 72.37, 46.04, 31.18, 67.46]"
10,GPX1,ENSG00000233276.3,Brain_Putamen_basal_ganglia,70-79,male,"[68.9, 125.4, 61.23, 68.19, 84.37, 147.1, 125.4, 82.01]"
11,GPX1,ENSG00000233276.3,Brain_Putamen_basal_ganglia,70-79,female,"[69.81, 70.8]"
