,gene,gencodeId,tissue,age,gender,TPMs
0,GPX4,ENSG00000167468.16,Heart_Left_Ventricle,20-29,male,"[106.4, 177.9, 178.4, 111.5, 96.65, 184.9, 116.6, 173.1, 77.76, 76.94, 95.97, 174.9, 177.9, 103.9, 178.4, 111.5]"
1,GPX4,ENSG00000167468.16,Heart_Left_Ventricle,20-29,female,"[70.58, 128.2, 150.2, 118.9, 111.5, 128.2, 115.1, 130.7, 117.1, 37.2, 116.6, 125.3]"
2,GPX4,ENSG00000167468.16,Heart_Left_Ventricle,30-39,male,"[108.3, 189.4, 147.3, 112.9, 177.8, 126.9, 207.4, 173.5, 38.94, 180.7, 38.84, 126.2, 68.52, 99.6, 165.1, 156.0, 115.7, 32.53]"
3,GPX4,ENSG00000167468.16,Heart_Left_Ventricle,30-39,female,"[144.0, 190.6, 191.1, 141.3, 318.1, 161.6, 156.0, 58.18, 127.4]"
4,GPX4,ENSG00000167468.16,Heart_Left_Ventricle,40-49,male,"[107.9, 86.87, 116.3, 107.0, 107.8, 124.8, 17.53, 151.7, 21.56, 149.5, 166.6, 144.5, 76.41, 98.85, 144.7, 136.0, 37.4, 134.2, 203.4, 133.3, 133.3, 156.9, 105.4, 23.51, 122.9, 85.47, 313.2, 101.5, 94.57, 136.0, 164.1, 170.4, 91.99, 111.4, 63.19, 114.1, 139.9, 192.0, 75.45, 126.1, 220.6, 142.3, 124.1, 107.8, 105.4, 135.2, 125.6, 111.4, 128.6, 143.6, 23.44]"
5,GPX4,ENSG00000167468.16,Heart_Left_Ventricle,40-49,female,"[145.9, 105.4, 141.0, 145.5, 113.5, 113.5, 113.5, 113.5, 49.79, 153.3, 124.1, 142.9, 163.8, 113.5, 113.5, 116.4, 160.8, 132.7, 133.0, 99.67, 89.54, 133.3, 133.3, 149.5, 78.3, 164.7, 37.9, 107.0, 93.82, 124.8]"
6,GPX4,ENSG00000167468.16,Heart_Left_Ventricle,50-59,male,"[121.9, 59.36, 109.7, 208.8, 235.3, 107.0, 105.0, 180.2, 161.2, 69.2, 107.8, 119.9, 119.9, 18.97, 149.7, 139.4, 71.59, 115.9, 219.2, 91.51, 124.0, 97.02, 53.94, 21.4, 100.5, 200.5, 149.5, 35.37, 162.5, 76.36, 135.3, 114.7, 116.7, 184.2, 97.52, 327.0, 114.8, 56.78, 141.1, 127.9, 134.1, 136.0, 95.44, 115.9, 146.3, 31.22, 160.2, 104.3, 18.63, 112.7, 93.93, 129.8, 232.1, 180.4, 54.49, 27.05, 134.9, 122.0, 39.59, 135.4, 89.58, 177.9, 105.4, 125.4, 153.9, 178.4, 120.6, 76.82, 33.78, 121.9, 32.29, 370.0, 124.7, 217.1, 140.6, 165.5, 35.59, 155.2, 171.1, 171.1, 136.0, 137.5, 137.5, 65.85, 114.3, 131.4, 137.5, 137.5, 89.38, 124.4, 111.4, 127.0, 92.72, 142.2, 120.4, 126.4, 126.4, 45.07, 74.59, 77.16, 196.7, 131.8, 127.3, 99.02, 197.8, 33.21, 143.0, 146.3, 122.3, 177.9, 23.09, 43.77, 119.1, 119.1, 104.8, 178.4, 124.1, 107.8, 105.0, 105.4, 119.1, 119.1, 126.8, 126.8, 146.9, 127.0, 111.4, 154.2, 129.2, 126.6, 142.0, 119.9, 119.9]"
7,GPX4,ENSG00000167468.16,Heart_Left_Ventricle,50-59,female,"[128.2, 85.6, 192.9, 134.9, 110.0, 115.9, 108.1, 105.4, 139.0, 143.3, 171.9, 113.5, 172.5, 13.64, 12.04, 103.3, 113.5, 127.3, 127.9, 275.8, 114.8, 113.9, 108.1, 141.2, 124.1, 103.3, 103.4, 43.77, 113.5, 111.6, 106.1, 216.9, 153.8, 82.52, 126.8, 126.8, 128.2, 135.9, 203.0, 88.44, 86.22, 120.9, 122.8, 125.4, 118.3, 85.43, 146.0, 34.82, 79.39, 179.3, 89.73, 149.5, 126.4, 126.4, 171.1, 171.1, 124.7, 37.6, 107.0, 132.6, 136.1]"
8,GPX4,ENSG00000167468.16,Heart_Left_Ventricle,60-69,male,"[149.3, 121.9, 46.72, 75.63, 120.2, 142.7, 88.24, 120.1, 114.2, 114.2, 86.6, 105.0, 127.6, 223.9, 127.1, 18.07, 77.56, 77.56, 124.8, 79.34, 33.67, 109.4, 161.9, 115.9, 39.39, 51.04, 98.2, 131.1, 46.52, 96.13, 54.1, 139.2, 37.07, 15.74, 118.1, 18.83, 155.8, 29.45, 125.0, 124.5, 114.8, 223.4, 87.94, 153.4, 140.3, 40.92, 133.5, 87.36, 156.8, 127.9, 90.27, 161.1, 115.9, 146.3, 121.8, 121.8, 133.1, 121.8, 121.8, 148.3, 55.34, 38.39, 192.1, 211.8, 166.0, 77.56, 77.56, 111.3, 48.49, 39.82, 128.8, 106.9, 82.73, 34.86, 134.9, 53.61, 163.1, 76.89, 28.38, 140.7, 69.32, 49.61, 119.7, 79.28, 105.4, 125.4, 154.3, 14.02, 158.2, 92.67, 121.9, 178.9, 111.5, 111.5, 38.23, 27.44, 124.7, 138.2, 101.6, 131.1, 173.0, 141.6, 206.3, 178.8, 138.1, 119.3, 113.1, 113.1, 117.6, 127.0, 116.6, 114.2, 114.2, 92.38, 127.3, 80.75, 146.3, 43.77, 123.8, 105.0, 111.5, 111.5, 105.4, 155.3, 127.0, 156.0, 90.16]"
9,GPX4,ENSG00000167468.16,Heart_Left_Ventricle,60-69,female,"[114.4, 117.5, 113.1, 113.1, 59.55, 107.7, 44.1, 151.3, 134.9, 115.9, 108.1, 136.4, 105.4, 104.9, 123.9, 120.7, 86.43, 117.8, 109.1, 103.3, 127.3, 127.9, 120.0, 114.8, 146.8, 61.79, 111.5, 111.5, 45.06, 57.86, 108.1, 103.3, 43.77, 84.04, 83.12, 105.2, 172.3, 155.1, 28.16, 61.83, 125.0, 156.0, 183.5, 35.97, 130.8, 72.76, 36.46, 48.4, 85.76, 125.4, 62.56, 83.26, 108.4, 116.6, 124.7, 138.6, 124.8]"
