,gene,gencodeId,tissue,age,gender,TPMs
0,GRB2,ENSG00000177885.13,Brain_Hypothalamus,20-29,male,"[57.75, 115.7, 87.24]"
1,GRB2,ENSG00000177885.13,Brain_Hypothalamus,20-29,female,[76.93]
2,GRB2,ENSG00000177885.13,Brain_Hypothalamus,30-39,male,"[66.83, 110.6, 77.21]"
3,GRB2,ENSG00000177885.13,Brain_Hypothalamus,30-39,female,"[58.76, 36.84]"
4,GRB2,ENSG00000177885.13,Brain_Hypothalamus,40-49,male,"[76.08, 80.29, 9.343, 75.54, 56.11, 92.8, 65.76, 105.8, 73.92, 89.15, 54.43, 44.26]"
5,GRB2,ENSG00000177885.13,Brain_Hypothalamus,40-49,female,"[71.01, 77.04, 52.11, 43.71, 75.54]"
6,GRB2,ENSG00000177885.13,Brain_Hypothalamus,50-59,male,"[120.0, 72.38, 65.26, 21.56, 20.22, 72.18, 88.31, 50.69, 48.47, 74.38, 97.64, 35.64, 90.7, 78.22, 46.98, 35.55, 59.77, 44.74, 33.94, 29.31, 97.32, 64.73, 85.5, 66.06, 31.84, 24.72, 12.44, 55.89, 29.95, 37.06, 37.87, 103.4, 20.04, 35.28, 109.2, 66.69, 70.0, 16.87, 102.6, 66.58, 63.61, 28.78, 70.33, 161.1, 70.89]"
7,GRB2,ENSG00000177885.13,Brain_Hypothalamus,50-59,female,"[62.74, 16.77, 44.0, 40.77, 68.36, 52.82, 46.88, 88.1, 72.76, 72.55, 69.97, 21.18, 46.28, 69.65, 44.18]"
8,GRB2,ENSG00000177885.13,Brain_Hypothalamus,60-69,male,"[78.78, 35.65, 17.51, 78.08, 53.45, 51.5, 49.37, 46.43, 37.18, 73.72, 20.7, 56.14, 84.86, 42.19, 47.68, 56.47, 40.28, 20.31, 24.22, 86.14, 86.93, 53.56, 39.7, 7.321, 31.7, 75.77, 105.9, 67.76, 43.7, 43.7, 73.16, 39.65, 45.12, 25.25, 64.16, 61.43, 45.04, 41.24, 80.13, 87.59, 29.71, 71.99, 96.45, 62.26, 26.01, 40.33, 74.79, 29.82, 59.35, 54.8, 81.93, 51.19, 16.37, 36.19, 89.43, 75.54, 11.82, 107.9, 52.41, 43.52, 52.6, 46.41, 38.49, 45.31, 83.22, 74.4, 69.81, 53.32, 19.31, 86.93, 10.66, 88.65, 98.18, 26.02, 36.43, 51.07, 21.81, 28.37]"
9,GRB2,ENSG00000177885.13,Brain_Hypothalamus,60-69,female,"[16.06, 38.72, 43.7, 43.7, 27.52, 17.02, 42.02, 74.0, 27.31, 125.0, 73.37, 23.74, 42.06, 23.23, 41.3, 58.96, 41.26, 37.3, 50.08, 25.64, 46.83, 96.16, 21.91, 86.82, 65.37, 101.1, 55.35, 116.5, 75.54, 39.74, 33.91]"
10,GRB2,ENSG00000177885.13,Brain_Hypothalamus,70-79,male,"[34.27, 77.36, 60.49, 86.93, 49.84, 34.3, 65.73, 47.16, 68.91, 86.93]"
11,GRB2,ENSG00000177885.13,Brain_Hypothalamus,70-79,female,"[72.07, 45.15, 22.22]"
