,gene,gencodeId,tissue,age,gender,TPMs
0,GRN,ENSG00000030582.17,Brain_Cortex,20-29,male,"[22.37, 22.37, 18.95, 27.74, 40.69]"
1,GRN,ENSG00000030582.17,Brain_Cortex,20-29,female,"[18.53, 18.95, 18.53, 19.06]"
2,GRN,ENSG00000030582.17,Brain_Cortex,30-39,male,"[19.29, 20.97, 22.36, 39.73, 23.11, 32.0, 23.02]"
3,GRN,ENSG00000030582.17,Brain_Cortex,30-39,female,"[22.4, 21.23]"
4,GRN,ENSG00000030582.17,Brain_Cortex,40-49,male,"[30.12, 21.07, 17.51, 24.54, 21.63, 17.81, 21.39, 22.0, 24.54, 44.31, 14.07, 17.81, 15.85, 26.3, 22.8, 19.75, 22.8, 15.85, 25.63, 35.14, 55.32, 19.24, 34.41, 22.8, 21.68]"
5,GRN,ENSG00000030582.17,Brain_Cortex,40-49,female,"[26.19, 20.68, 23.44, 27.54, 9.444, 17.98, 34.2, 21.39, 30.12]"
6,GRN,ENSG00000030582.17,Brain_Cortex,50-59,male,"[45.14, 27.79, 21.03, 24.54, 22.37, 20.28, 23.73, 15.86, 21.61, 22.37, 24.32, 24.32, 26.52, 21.43, 25.86, 28.08, 17.09, 17.81, 30.28, 13.77, 41.56, 20.28, 24.32, 24.32, 21.71, 22.66, 21.13, 28.46, 24.54, 29.07, 29.05, 27.14, 27.12, 17.81, 27.29, 5.381, 11.52, 18.31, 20.02, 21.4, 15.85, 29.38, 24.98, 16.07, 25.22, 26.65, 22.8, 24.06, 24.07, 24.5, 22.8, 15.85, 8.53, 25.22, 18.48, 24.63, 13.37, 39.27, 15.27, 29.97, 25.86, 28.23, 23.74, 57.42, 22.8, 20.21, 30.95, 31.0]"
7,GRN,ENSG00000030582.17,Brain_Cortex,50-59,female,"[18.48, 25.25, 16.67, 33.03, 33.52, 16.35, 24.61, 25.65, 22.51, 36.57, 20.89, 13.82, 23.73, 23.95, 36.14, 18.03, 20.59, 21.45, 30.91, 26.68, 26.03, 17.17]"
8,GRN,ENSG00000030582.17,Brain_Cortex,60-69,male,"[26.62, 26.62, 30.12, 33.31, 25.56, 25.96, 24.71, 11.41, 20.38, 26.04, 42.85, 20.28, 23.73, 34.9, 19.96, 44.27, 26.83, 30.83, 33.5, 31.05, 33.8, 35.75, 38.59, 38.16, 21.39, 20.28, 10.36, 25.78, 33.93, 27.69, 27.01, 27.01, 15.74, 33.13, 25.98, 22.68, 34.01, 19.42, 17.73, 20.16, 24.83, 19.79, 40.89, 20.93, 40.45, 30.77, 12.55, 18.37, 24.95, 25.22, 10.86, 18.04, 18.2, 21.8, 23.6, 17.31, 25.82, 25.15, 19.08, 19.35, 14.94, 18.97, 18.15, 18.95, 21.95, 9.882, 9.979, 30.03, 23.51, 21.94, 25.22, 23.05, 21.87, 18.48, 23.33, 22.59, 14.32, 19.09, 19.09, 22.94, 30.05, 26.62, 26.62, 27.01, 27.01, 14.48, 17.66, 32.48, 12.4, 29.55, 19.57, 20.4, 21.56, 24.94, 20.67]"
9,GRN,ENSG00000030582.17,Brain_Cortex,60-69,female,"[19.09, 19.09, 21.78, 18.53, 22.14, 18.48, 20.27, 23.63, 18.36, 23.81, 18.57, 21.0, 32.14, 37.78, 36.01, 33.84, 18.95, 20.5, 23.45, 13.98, 25.0, 18.53, 13.13, 32.56, 12.83, 23.73, 28.62, 22.33, 19.93, 40.94, 29.59, 21.46, 27.1, 16.68, 21.39, 29.28, 32.58, 28.64, 30.12, 26.18, 47.85]"
10,GRN,ENSG00000030582.17,Brain_Cortex,70-79,male,"[22.83, 26.37, 25.86, 20.66, 22.8, 33.68, 22.8, 24.02, 24.18, 12.71, 36.04, 25.86, 22.8]"
11,GRN,ENSG00000030582.17,Brain_Cortex,70-79,female,"[30.27, 14.09, 23.38, 17.65]"
