,gene,gencodeId,tissue,age,gender,TPMs
0,GRN,ENSG00000030582.17,Spleen,20-29,male,"[425.8, 653.9, 284.4, 476.0, 471.9, 375.1, 471.2, 477.9, 348.2, 463.2, 661.6, 329.7, 209.4]"
1,GRN,ENSG00000030582.17,Spleen,20-29,female,"[243.5, 531.3, 238.3, 294.6, 291.8, 432.2, 287.6, 813.5, 401.3]"
2,GRN,ENSG00000030582.17,Spleen,30-39,male,"[570.4, 422.5, 431.9, 272.3, 433.3, 292.5, 461.1, 306.9, 224.4, 524.9, 414.4, 263.5, 201.0, 422.5, 240.3, 230.0, 323.0, 629.2, 586.3, 451.3, 531.6, 369.3]"
3,GRN,ENSG00000030582.17,Spleen,30-39,female,"[443.8, 513.1, 346.5, 365.7, 263.9, 243.7, 352.2, 292.2, 604.2]"
4,GRN,ENSG00000030582.17,Spleen,40-49,male,"[433.2, 275.2, 473.7, 461.8, 367.4, 485.3, 404.0, 502.8, 382.1, 528.8, 383.3, 380.2, 214.2, 364.3, 384.4, 248.1, 461.8, 385.5, 477.1, 759.2, 232.8, 577.6, 359.9, 387.9, 575.9, 470.2, 487.7, 469.9, 379.7, 398.0, 382.3, 382.3, 415.6]"
5,GRN,ENSG00000030582.17,Spleen,40-49,female,"[482.5, 520.8, 567.8, 186.9, 223.1, 501.7, 413.1, 359.9, 398.0, 385.5, 542.9, 429.3, 297.0, 297.0, 309.3, 316.0, 297.0, 297.0, 382.3, 382.3, 309.3, 400.7, 383.3, 423.9, 387.9, 453.3, 484.5]"
6,GRN,ENSG00000030582.17,Spleen,50-59,male,"[362.5, 252.2, 422.5, 440.1, 285.6, 408.5, 421.5, 642.2, 397.3, 407.9, 461.8, 238.1, 264.2, 321.3, 401.5, 516.0, 562.3, 308.0, 336.8, 236.6, 348.7, 329.6, 345.9, 219.0, 370.6, 377.1, 294.5, 312.2, 458.8, 150.7, 316.1, 383.3, 422.5, 238.9, 349.0, 485.2, 221.0, 464.7, 307.7, 461.8, 385.5, 464.1, 583.0, 247.3, 444.2, 654.6, 461.6, 800.9, 359.9, 497.0, 211.9, 325.3, 615.5, 303.7, 292.6, 458.9, 398.0, 532.1, 287.0, 360.7, 546.2, 165.0, 376.3, 555.5]"
7,GRN,ENSG00000030582.17,Spleen,50-59,female,"[244.7, 611.4, 365.6, 300.8, 580.7, 436.3, 373.3, 453.6, 359.9, 398.0, 385.5, 309.3, 377.3, 287.8, 255.0, 285.3, 422.2, 357.4, 437.7, 928.8, 536.0, 562.1, 309.3, 345.1, 151.9, 383.3, 294.5, 345.2, 366.6, 510.0]"
8,GRN,ENSG00000030582.17,Spleen,60-69,male,"[194.2, 406.3, 423.0, 422.0, 225.1, 446.6, 378.8, 236.4, 355.2, 510.4, 450.6, 145.4, 429.9, 294.5, 206.4, 236.3, 396.3, 267.0, 455.2, 213.8, 611.9, 211.8, 410.5, 302.9, 443.3, 476.9, 599.4, 598.6, 387.9, 670.7]"
9,GRN,ENSG00000030582.17,Spleen,60-69,female,"[459.8, 314.5, 359.0, 294.7, 418.4, 350.6, 447.1, 385.4, 426.6, 268.5, 299.0, 206.0, 273.0, 292.8, 425.9, 341.0, 309.0, 215.7, 294.5, 478.1, 387.9, 414.7]"
10,GRN,ENSG00000030582.17,Spleen,70-79,male,"[450.5, 263.7, 175.3]"
11,GRN,ENSG00000030582.17,Spleen,70-79,female,[405.2]
