,gene,gencodeId,tissue,age,gender,TPMs
0,GSK3A,ENSG00000105723.11,Brain_Anterior_cingulate_cortex_BA24,20-29,male,[75.85]
1,GSK3A,ENSG00000105723.11,Brain_Anterior_cingulate_cortex_BA24,20-29,female,"[63.13, 62.99, 82.38]"
2,GSK3A,ENSG00000105723.11,Brain_Anterior_cingulate_cortex_BA24,30-39,male,"[80.84, 70.3, 113.0]"
3,GSK3A,ENSG00000105723.11,Brain_Anterior_cingulate_cortex_BA24,30-39,female,[50.9]
4,GSK3A,ENSG00000105723.11,Brain_Anterior_cingulate_cortex_BA24,40-49,male,"[59.7, 46.54, 15.25, 67.84, 42.25, 36.24, 74.08, 16.99, 67.84, 15.76, 90.41, 42.53, 61.22, 69.76, 89.6, 95.52, 88.23, 47.64]"
5,GSK3A,ENSG00000105723.11,Brain_Anterior_cingulate_cortex_BA24,40-49,female,"[23.72, 60.96, 61.64, 40.85, 66.48, 114.9, 119.8]"
6,GSK3A,ENSG00000105723.11,Brain_Anterior_cingulate_cortex_BA24,50-59,male,"[78.35, 30.66, 73.62, 20.56, 44.93, 101.4, 34.39, 49.73, 78.42, 65.84, 26.14, 23.39, 83.55, 67.84, 66.06, 55.06, 42.03, 116.9, 50.16, 97.99, 76.73, 58.8, 59.48, 53.87, 45.93, 71.41, 92.34, 67.84, 35.72, 62.57, 118.1, 108.3, 81.37]"
7,GSK3A,ENSG00000105723.11,Brain_Anterior_cingulate_cortex_BA24,50-59,female,"[9.102, 77.63, 78.14, 59.23, 47.41, 90.71, 74.7, 73.04, 92.98]"
8,GSK3A,ENSG00000105723.11,Brain_Anterior_cingulate_cortex_BA24,60-69,male,"[89.14, 16.21, 49.91, 75.43, 48.71, 25.7, 56.48, 64.25, 66.66, 45.73, 32.36, 51.79, 72.14, 53.24, 60.46, 56.92, 58.12, 19.38, 13.34, 59.72, 40.56, 91.6, 23.6, 17.82, 43.01, 95.67, 89.53, 52.96, 74.26, 43.03, 10.62, 84.01, 25.62, 63.33, 62.41, 84.12, 79.83, 35.25, 35.25, 67.31, 27.61, 23.11, 44.29, 62.94, 51.74, 37.94, 94.81, 49.91, 61.97, 77.02, 61.14, 48.04, 80.41, 93.84, 67.73, 61.12, 49.47, 84.59, 25.48, 85.97, 41.45, 60.77, 70.75, 66.79, 41.62, 33.26]"
9,GSK3A,ENSG00000105723.11,Brain_Anterior_cingulate_cortex_BA24,60-69,female,"[25.38, 21.42, 35.25, 35.25, 87.08, 67.46, 14.18, 64.05, 52.3, 84.89, 68.04, 100.4, 40.06, 20.64, 40.38, 72.29, 36.08, 16.71, 55.42, 15.56, 59.97, 53.44, 37.39, 73.8, 42.04, 25.12, 45.35]"
10,GSK3A,ENSG00000105723.11,Brain_Anterior_cingulate_cortex_BA24,70-79,male,"[49.91, 16.37, 96.12, 53.17, 44.42, 18.84, 31.05, 13.91, 42.68, 57.42, 109.8, 49.91]"
11,GSK3A,ENSG00000105723.11,Brain_Anterior_cingulate_cortex_BA24,70-79,female,"[34.37, 53.16]"
