,gene,gencodeId,tissue,age,gender,TPMs
0,HDAC1,ENSG00000116478.11,Brain_Spinal_cord_cervical_c-1,20-29,male,"[32.97, 36.81, 43.37]"
1,HDAC1,ENSG00000116478.11,Brain_Spinal_cord_cervical_c-1,20-29,female,[44.68]
2,HDAC1,ENSG00000116478.11,Brain_Spinal_cord_cervical_c-1,30-39,male,[26.05]
3,HDAC1,ENSG00000116478.11,Brain_Spinal_cord_cervical_c-1,30-39,female,[36.16]
4,HDAC1,ENSG00000116478.11,Brain_Spinal_cord_cervical_c-1,40-49,male,"[13.73, 20.44, 24.95, 19.72, 24.95, 33.06, 23.5, 46.63, 39.92]"
5,HDAC1,ENSG00000116478.11,Brain_Spinal_cord_cervical_c-1,40-49,female,"[24.37, 37.01, 13.56, 24.23, 13.73, 57.63, 34.17, 14.97, 41.69]"
6,HDAC1,ENSG00000116478.11,Brain_Spinal_cord_cervical_c-1,50-59,male,"[38.54, 35.39, 35.39, 44.02, 13.73, 28.86, 44.94, 23.44, 24.67, 40.83, 31.58, 20.82, 35.74, 35.56, 50.13, 51.16, 44.18, 35.39, 35.39, 41.01, 54.27, 26.5, 31.02, 37.36, 31.44, 27.37, 24.61, 36.53, 17.9, 41.82, 23.45, 20.28, 38.4]"
7,HDAC1,ENSG00000116478.11,Brain_Spinal_cord_cervical_c-1,50-59,female,"[18.21, 34.31, 34.18, 31.82, 32.16, 30.48, 43.03, 24.18, 17.76, 30.8, 39.99, 56.88, 34.76, 13.73, 15.88, 46.49, 14.4, 31.82]"
8,HDAC1,ENSG00000116478.11,Brain_Spinal_cord_cervical_c-1,60-69,male,"[21.57, 44.93, 23.93, 50.09, 39.07, 32.91, 8.457, 42.63, 42.45, 23.2, 44.34, 24.95, 33.79, 42.22, 61.16, 45.22, 51.84, 44.19, 32.13, 28.83, 16.87, 24.58, 28.18, 24.95, 38.34, 41.44, 8.788, 12.67, 27.23, 37.78, 11.43, 24.13, 20.31, 28.13, 6.94, 13.69, 27.55, 29.89, 11.43, 42.09, 28.22, 17.14, 23.89, 50.25, 28.37, 10.62, 32.94, 16.47, 52.92, 46.18, 49.09, 30.61]"
9,HDAC1,ENSG00000116478.11,Brain_Spinal_cord_cervical_c-1,60-69,female,"[29.19, 24.79, 21.02, 24.32, 31.08, 31.82, 42.26, 26.91, 22.06, 33.98, 41.59, 11.27, 34.52, 38.1, 44.16, 26.79, 22.61, 20.32, 33.76, 37.34, 43.32, 31.91, 37.6, 26.43, 40.13, 25.45, 33.25, 19.88, 31.82]"
10,HDAC1,ENSG00000116478.11,Brain_Spinal_cord_cervical_c-1,70-79,male,"[39.41, 27.57, 21.0, 29.98, 40.58, 27.86, 11.43, 33.43, 35.99, 11.43, 40.14]"
11,HDAC1,ENSG00000116478.11,Brain_Spinal_cord_cervical_c-1,70-79,female,"[44.77, 34.16]"
