,gene,gencodeId,tissue,age,gender,TPMs
0,HELLS,ENSG00000119969.14,Lung,20-29,male,"[0.7414, 1.226, 2.134, 1.834, 1.028, 12.22, 2.352, 2.42, 0.9509, 2.61, 12.01, 3.212, 1.322, 1.862, 1.118, 1.366, 1.619, 1.489, 1.442, 3.037, 1.868]"
1,HELLS,ENSG00000119969.14,Lung,20-29,female,"[1.331, 1.606, 1.258, 1.028, 1.366, 1.141, 1.465, 2.922, 2.001, 1.366, 4.081, 7.554, 1.434, 1.036, 0.8658]"
2,HELLS,ENSG00000119969.14,Lung,30-39,male,"[0.7472, 1.255, 0.8591, 0.9994, 7.034, 1.193, 5.672, 7.763, 1.032, 1.529, 1.277, 1.046, 1.481, 0.7994, 2.72, 0.9114, 0.7168, 2.443, 1.16, 0.8902, 1.453, 2.612, 3.744, 0.9972, 5.097, 2.801, 0.8421, 0.9604, 4.07, 1.627]"
3,HELLS,ENSG00000119969.14,Lung,30-39,female,"[5.302, 0.8169, 1.026, 2.266, 1.3, 1.38, 2.288, 0.8529, 3.238, 2.451, 1.453, 1.193]"
4,HELLS,ENSG00000119969.14,Lung,40-49,male,"[0.6962, 0.9056, 0.8358, 0.7768, 0.6435, 1.246, 1.229, 0.678, 1.074, 1.774, 0.9499, 3.202, 1.555, 0.9272, 1.028, 4.516, 1.027, 1.472, 3.277, 1.171, 0.5736, 4.151, 3.034, 1.267, 1.885, 4.52, 1.88, 0.5469, 0.9321, 1.421, 2.15, 4.097, 1.375, 0.8206, 1.453, 3.045, 1.191, 1.873, 1.113, 1.027, 1.194, 0.9854, 1.775, 3.058, 1.309, 2.675, 1.003, 1.073, 4.185, 1.129, 9.731, 4.322, 2.505, 1.049, 2.582, 2.67, 2.305, 1.666, 1.285, 0.9992, 1.265, 3.926, 1.323, 11.28, 2.454]"
5,HELLS,ENSG00000119969.14,Lung,40-49,female,"[0.6811, 3.211, 1.775, 1.246, 1.525, 0.9779, 2.165, 1.221, 1.028, 1.358, 1.358, 0.5947, 1.179, 5.399, 2.849, 1.358, 1.358, 1.26, 4.281, 2.032, 1.191, 2.032, 2.85, 0.8035, 4.28, 2.62, 0.819, 2.314, 1.098, 0.9475, 0.9272, 4.899, 11.66, 3.544, 1.179, 1.453, 1.301, 1.959, 1.389]"
6,HELLS,ENSG00000119969.14,Lung,50-59,male,"[0.7077, 2.649, 0.8352, 7.622, 1.48, 1.433, 2.491, 1.124, 0.7364, 0.7894, 1.447, 1.273, 0.9526, 0.9324, 1.828, 0.6171, 2.714, 4.641, 1.065, 0.7594, 2.174, 0.8462, 0.7847, 0.9886, 0.9886, 3.21, 1.078, 1.347, 1.347, 3.084, 1.365, 0.9739, 5.592, 2.257, 0.7024, 2.296, 1.193, 0.9153, 1.328, 2.013, 2.013, 1.36, 0.3531, 0.583, 2.855, 1.105, 1.75, 2.026, 3.01, 3.01, 0.9792, 2.901, 1.045, 2.988, 3.14, 1.104, 2.022, 2.058, 1.155, 1.062, 1.404, 2.286, 2.477, 1.299, 1.162, 1.464, 0.5606, 0.7459, 1.329, 1.664, 1.155, 1.372, 1.23, 2.82, 7.138, 2.332, 1.349, 5.376, 1.262, 0.9886, 0.9886, 2.235, 1.543, 0.4882, 3.052, 1.451, 2.01, 1.515, 1.515, 1.299, 1.305, 2.28, 1.054, 1.054, 1.28, 2.175, 3.449, 1.09, 1.997, 0.8772, 1.347, 1.347, 5.037, 1.62, 0.8043, 1.524, 0.9216, 0.3759, 0.5149, 1.168, 1.134, 1.083, 0.8502, 1.73, 1.483, 3.586, 1.121, 1.121, 1.451, 0.8634, 1.696, 5.065, 1.699, 0.7292, 0.8393, 1.435, 0.9021, 2.746, 2.058, 1.329, 0.9592, 1.366, 1.366, 0.7742, 1.94, 1.971, 1.515, 1.515, 0.626, 1.695, 1.011, 1.457, 0.9275, 2.002, 1.455, 2.022, 1.49, 2.516, 0.537, 2.318, 0.6394, 1.043, 1.951, 3.044, 0.5997, 1.235, 0.9175, 0.8271, 3.01, 3.01, 1.429, 1.353, 1.353, 3.473, 3.576, 0.9287]"
7,HELLS,ENSG00000119969.14,Lung,50-59,female,"[1.134, 1.152, 0.6747, 1.083, 1.693, 1.121, 1.121, 1.827, 0.9345, 2.848, 2.706, 1.875, 2.252, 1.407, 1.054, 1.054, 1.366, 1.366, 1.135, 3.993, 2.287, 0.6485, 1.482, 0.9863, 0.9724, 4.117, 1.28, 1.203, 15.17, 4.857, 0.7795, 1.162, 1.214, 0.8998, 1.353, 1.353, 7.744, 1.295, 2.187, 1.366, 1.366, 0.7957, 0.3949, 1.793, 1.015, 0.6625, 2.209, 1.214, 1.106, 0.7239, 1.025, 0.9351, 1.075, 0.9364, 0.7667, 2.432, 1.133, 2.013, 2.013, 0.8664, 1.961, 1.752, 2.453, 1.193, 1.451, 1.938, 1.34]"
8,HELLS,ENSG00000119969.14,Lung,60-69,male,"[1.728, 1.441, 0.5402, 1.167, 0.5061, 0.7029, 2.149, 1.936, 2.878, 1.7, 0.6187, 0.8347, 2.343, 0.5988, 1.703, 0.7987, 1.204, 1.204, 0.9544, 1.993, 2.543, 0.5214, 2.535, 0.6632, 1.048, 1.84, 1.246, 0.8913, 0.9139, 1.185, 2.605, 1.183, 1.183, 0.8669, 0.8534, 1.626, 2.378, 2.972, 1.677, 1.279, 1.112, 0.7614, 3.731, 1.211, 0.9272, 1.08, 19.13, 2.745, 1.739, 0.501, 1.369, 1.027, 0.5543, 8.061, 2.022, 2.058, 1.155, 0.72, 3.448, 2.634, 0.3697, 0.6698, 0.9553, 0.9962, 1.299, 0.5587, 1.162, 0.9335, 11.03, 2.742, 2.498, 1.122, 1.329, 0.6232, 1.155, 1.462, 2.366, 1.521, 0.7423, 1.669, 1.564, 1.11, 1.584, 2.32, 1.183, 1.183, 1.86, 2.099, 3.757, 1.513, 1.771, 0.576, 1.183, 1.183, 2.596, 1.451, 1.451, 0.8155, 1.299, 1.086, 5.346, 1.28, 1.954, 1.835, 2.747, 0.9631, 1.539, 0.858, 1.42, 1.191, 0.7331, 1.414, 1.156, 1.027, 1.134, 1.147, 1.083, 1.775, 1.312, 2.584, 2.03, 1.451, 1.451, 0.6579, 1.476, 2.058, 1.329, 1.605, 0.9383, 1.411, 2.022, 3.517, 1.315, 1.546, 2.043, 1.783, 0.6161, 1.32, 2.245, 1.071, 1.406]"
9,HELLS,ENSG00000119969.14,Lung,60-69,female,"[0.729, 0.9813, 0.6624, 0.2905, 1.134, 1.142, 3.206, 1.083, 0.4479, 5.477, 1.495, 1.775, 1.499, 1.246, 0.6068, 1.597, 0.9375, 1.66, 1.087, 2.469, 1.734, 2.881, 2.75, 2.75, 0.7151, 1.058, 1.663, 1.22, 2.295, 2.75, 2.75, 1.58, 1.179, 1.28, 1.387, 1.162, 1.214, 0.6416, 0.9022, 4.686, 1.018, 2.324, 2.032, 1.899, 2.034, 1.283, 1.392, 0.9486, 2.517, 2.231, 1.716, 1.383, 1.846, 1.191, 2.032, 1.214, 1.204, 1.204, 1.562, 1.424, 0.9272, 4.896, 3.574, 1.022, 1.622, 1.038, 1.327, 1.179, 1.596, 1.297, 0.5573, 0.8607, 1.451, 1.451, 0.784, 1.057, 1.311, 0.4875]"
