,gene,gencodeId,tissue,age,gender,TPMs
0,HESX1,ENSG00000163666.8,Liver,20-29,male,"[0.4182, 0.1949, 0.9839, 1.176]"
1,HESX1,ENSG00000163666.8,Liver,20-29,female,"[2.562, 1.77, 0.8466]"
2,HESX1,ENSG00000163666.8,Liver,30-39,male,"[0.9642, 1.191, 1.332, 0.9622, 0.424, 1.816, 2.428, 1.549, 0.7603, 0.1571, 1.683, 0.8609, 0.1438, 1.437]"
3,HESX1,ENSG00000163666.8,Liver,30-39,female,"[0.451, 1.008, 0.8719]"
4,HESX1,ENSG00000163666.8,Liver,40-49,male,"[1.077, 0.4114, 2.106, 1.3, 0.3801, 0.9195, 0.4734, 2.263, 1.286, 0.755, 0.6821, 2.221, 1.077, 1.202, 1.007, 0.6023, 0.7418, 0.6222, 1.886, 0.9312, 0.8065, 0.7873, 0.3481, 2.153, 1.193]"
5,HESX1,ENSG00000163666.8,Liver,40-49,female,"[2.377, 1.784, 0.6762, 0.6278, 1.101, 0.7471, 2.46, 0.7952, 1.407, 0.7056, 1.42]"
6,HESX1,ENSG00000163666.8,Liver,50-59,male,"[1.823, 0.7717, 1.217, 0.7888, 0.5979, 1.522, 0.4612, 1.077, 0.524, 1.703, 1.268, 2.323, 0.1101, 1.559, 0.9348, 1.18, 1.607, 1.322, 1.647, 1.285, 0.5532, 0.8178, 1.195, 0.2599, 0.515, 1.153, 1.823, 1.941, 0.4105, 1.484, 1.233, 1.064, 0.639, 2.132, 1.933, 0.5219, 1.295, 0.8554, 1.371, 0.8054, 1.576, 1.177, 1.077, 0.8513, 0.5649, 0.4225, 0.7367, 0.8364, 2.894, 1.705, 3.26, 0.7666, 0.1936, 0.5701, 0.7793, 0.6369, 0.2536, 0.7367, 0.8255, 0.4054, 1.235, 0.6616, 0.4356, 0.7379]"
7,HESX1,ENSG00000163666.8,Liver,50-59,female,"[1.705, 1.667, 0.5803, 2.006, 1.301, 0.5942, 1.812, 1.88, 0.5408, 2.281, 1.201, 3.248, 1.642, 0.6231, 0.6148, 2.422, 0.6833, 3.631, 0.9939, 0.9904, 1.038, 0.5013, 0.3624]"
8,HESX1,ENSG00000163666.8,Liver,60-69,male,"[1.823, 1.49, 2.494, 0.3587, 1.643, 1.388, 0.81, 1.424, 0.8317, 1.669, 1.73, 2.03, 1.029, 1.516, 1.152, 0.5819, 0.9551, 0.6471, 1.525, 0.953, 0.3511, 1.258, 1.823, 0.5269, 1.149, 1.062, 1.868, 0.8171, 1.616, 1.481, 1.175, 1.163, 0.8907, 1.314, 1.351, 1.028, 1.132, 0.7833, 0.3241, 2.874, 1.222, 1.406, 1.372, 1.62, 1.005, 1.628, 1.998, 0.2222, 1.493, 1.756, 0.7367, 2.081, 0.3763, 1.705, 1.629, 0.3826, 0.7367, 2.118]"
9,HESX1,ENSG00000163666.8,Liver,60-69,female,"[2.462, 1.9, 1.705, 1.972, 1.352, 0.8947, 1.928, 0.209, 0.7262, 1.23, 1.017, 2.386, 0.2865, 2.025, 1.635, 0.912, 0.2856, 2.082, 0.6382, 1.548, 2.185, 0.7192, 2.994, 0.8764]"
10,HESX1,ENSG00000163666.8,Liver,70-79,male,"[1.775, 1.805, 1.902]"
11,HESX1,ENSG00000163666.8,Liver,70-79,female,"[2.242, 1.731]"
