,gene,gencodeId,tissue,age,gender,TPMs
0,HIF1A,ENSG00000100644.16,Brain_Cortex,20-29,male,"[15.88, 15.93, 36.88]"
1,HIF1A,ENSG00000100644.16,Brain_Cortex,20-29,female,"[17.6, 22.06, 12.93, 17.6]"
2,HIF1A,ENSG00000100644.16,Brain_Cortex,30-39,male,"[12.63, 20.06, 16.03, 30.63, 16.21, 17.71, 33.91]"
3,HIF1A,ENSG00000100644.16,Brain_Cortex,30-39,female,"[21.64, 23.35]"
4,HIF1A,ENSG00000100644.16,Brain_Cortex,40-49,male,"[13.85, 16.71, 28.29, 13.85, 25.42, 17.38, 46.1, 14.73, 10.18, 19.35, 26.62, 16.91, 14.36, 19.85, 25.96, 14.32, 24.42, 25.29, 25.38, 20.25]"
5,HIF1A,ENSG00000100644.16,Brain_Cortex,40-49,female,"[18.24, 18.77, 19.85, 20.74, 17.36, 23.61, 31.78, 14.53, 21.42]"
6,HIF1A,ENSG00000100644.16,Brain_Cortex,50-59,male,"[23.97, 24.68, 18.1, 54.54, 13.6, 18.56, 20.43, 16.81, 16.22, 29.19, 16.86, 22.88, 22.52, 22.19, 16.54, 15.32, 40.41, 18.74, 17.01, 16.9, 16.57, 24.38, 24.83, 17.27, 20.51, 27.16, 19.56, 17.0, 12.01, 11.74, 19.76, 20.11, 14.23, 26.8, 18.45, 24.31, 21.46, 29.01, 13.69, 31.74, 17.18, 29.1, 13.11, 14.99, 11.9, 23.05, 19.7, 8.639, 26.72, 26.59, 37.64, 14.41, 15.08, 17.14, 53.25, 11.69, 11.31, 22.57, 23.39]"
7,HIF1A,ENSG00000100644.16,Brain_Cortex,50-59,female,"[13.69, 26.81, 45.56, 21.46, 14.1, 30.02, 15.12, 18.75, 20.84, 15.32, 14.99, 24.05, 30.38, 15.19, 38.72, 27.86, 18.75, 21.4, 20.67, 30.88, 15.3, 25.55, 15.44]"
8,HIF1A,ENSG00000100644.16,Brain_Cortex,60-69,male,"[23.25, 13.85, 18.73, 19.71, 19.71, 13.03, 22.08, 10.26, 50.25, 28.85, 19.9, 19.9, 17.25, 16.63, 24.93, 36.31, 17.9, 25.19, 34.69, 17.49, 29.4, 13.85, 37.24, 31.64, 18.98, 29.46, 13.18, 25.65, 45.4, 15.85, 23.22, 19.02, 26.05, 20.88, 16.4, 33.77, 18.39, 17.81, 15.59, 17.75, 17.13, 42.21, 7.055, 19.26, 13.67, 11.57, 18.21, 21.12, 21.46, 13.28, 14.8, 14.8, 25.09, 28.01, 28.01, 26.91, 13.69, 12.61, 15.58, 15.0, 13.53, 15.99, 15.72, 13.32, 14.93, 19.82, 11.23, 14.99, 19.85, 19.14, 20.59, 25.66, 34.73, 14.8, 14.8, 21.75, 17.58, 9.1, 19.98, 17.09, 11.59, 18.86, 20.54, 12.78, 26.53, 27.37, 14.28, 27.08, 17.46, 13.76, 18.25, 19.89, 22.26]"
9,HIF1A,ENSG00000100644.16,Brain_Cortex,60-69,female,"[14.97, 24.29, 18.92, 20.36, 28.01, 28.01, 20.14, 13.69, 17.6, 20.12, 19.85, 21.46, 23.1, 24.54, 22.47, 30.61, 22.82, 18.75, 16.51, 14.99, 31.07, 18.53, 35.65, 15.61, 25.46, 12.53, 50.46, 31.15, 31.72, 19.71, 19.71, 18.75, 34.21, 17.73, 26.32, 49.04, 19.11, 20.85, 26.79, 17.6, 29.81, 19.9, 19.9, 28.95]"
10,HIF1A,ENSG00000100644.16,Brain_Cortex,70-79,male,"[19.18, 20.82, 23.66, 15.32, 18.46, 23.49, 33.57, 38.81, 26.6, 11.35, 50.65]"
11,HIF1A,ENSG00000100644.16,Brain_Cortex,70-79,female,"[16.65, 15.32, 26.12, 16.04]"
