,gene,gencodeId,tissue,age,gender,TPMs
0,HOXC4,ENSG00000198353.7,Brain_Spinal_cord_cervical_c-1,20-29,male,"[6.198, 26.88, 5.601]"
1,HOXC4,ENSG00000198353.7,Brain_Spinal_cord_cervical_c-1,20-29,female,[6.72]
2,HOXC4,ENSG00000198353.7,Brain_Spinal_cord_cervical_c-1,30-39,male,"[4.657, 6.553]"
3,HOXC4,ENSG00000198353.7,Brain_Spinal_cord_cervical_c-1,30-39,female,[6.553]
4,HOXC4,ENSG00000198353.7,Brain_Spinal_cord_cervical_c-1,40-49,male,"[7.223, 1.8, 1.552, 3.763, 9.739, 5.638, 4.761, 4.605]"
5,HOXC4,ENSG00000198353.7,Brain_Spinal_cord_cervical_c-1,40-49,female,"[2.647, 5.638, 0.9669, 1.815, 0.8181, 6.926, 4.909, 1.678, 4.953]"
6,HOXC4,ENSG00000198353.7,Brain_Spinal_cord_cervical_c-1,50-59,male,"[10.67, 8.182, 3.42, 1.877, 10.18, 4.977, 2.359, 6.628, 5.996, 6.553, 2.023, 8.147, 4.526, 8.41, 4.708, 8.484, 5.998, 8.211, 6.884, 4.454, 10.98, 6.075, 2.734, 3.515, 3.39, 4.439, 5.638, 8.9, 2.991, 2.705, 0.4363]"
7,HOXC4,ENSG00000198353.7,Brain_Spinal_cord_cervical_c-1,50-59,female,"[1.792, 4.856, 2.876, 5.638, 4.592, 4.867, 3.798, 7.624, 4.457, 2.177, 2.856, 10.74, 6.61, 3.588, 3.46, 6.553, 11.8, 1.571]"
8,HOXC4,ENSG00000198353.7,Brain_Spinal_cord_cervical_c-1,60-69,male,"[2.657, 4.169, 2.422, 9.32, 13.66, 4.85, 0.9419, 3.933, 3.933, 5.875, 2.383, 5.44, 7.697, 5.907, 6.681, 3.335, 6.453, 7.21, 3.399, 4.173, 1.377, 2.973, 5.516, 3.82, 8.767, 5.642, 0.6493, 1.661, 10.05, 2.815, 2.107, 3.867, 7.563, 0.809, 2.096, 3.875, 3.933, 3.933, 0.9344, 8.549, 12.1, 1.918, 21.23, 8.022, 5.119, 0.8313, 8.962, 3.102, 6.957, 2.853, 5.775, 3.398]"
9,HOXC4,ENSG00000198353.7,Brain_Spinal_cord_cervical_c-1,60-69,female,"[4.422, 7.42, 3.736, 2.42, 5.042, 3.904, 3.027, 1.352, 10.04, 4.261, 1.368, 3.659, 3.932, 6.662, 2.759, 3.123, 2.595, 4.328, 4.947, 5.469, 3.726, 2.513, 1.642, 5.471, 11.9, 4.565, 2.924, 4.557]"
10,HOXC4,ENSG00000198353.7,Brain_Spinal_cord_cervical_c-1,70-79,male,"[2.99, 3.242, 2.579, 4.832, 3.089, 3.857, 1.038, 9.034, 6.891, 5.98]"
11,HOXC4,ENSG00000198353.7,Brain_Spinal_cord_cervical_c-1,70-79,female,"[3.17, 5.55]"
