,gene,gencodeId,tissue,age,gender,TPMs
0,HRAS,ENSG00000174775.16,Brain_Spinal_cord_cervical_c-1,20-29,male,"[57.84, 68.81, 70.35]"
1,HRAS,ENSG00000174775.16,Brain_Spinal_cord_cervical_c-1,20-29,female,[55.04]
2,HRAS,ENSG00000174775.16,Brain_Spinal_cord_cervical_c-1,30-39,male,[67.41]
3,HRAS,ENSG00000174775.16,Brain_Spinal_cord_cervical_c-1,30-39,female,[65.19]
4,HRAS,ENSG00000174775.16,Brain_Spinal_cord_cervical_c-1,40-49,male,"[55.91, 69.38, 30.01, 49.58, 47.76, 54.2, 71.09, 54.2]"
5,HRAS,ENSG00000174775.16,Brain_Spinal_cord_cervical_c-1,40-49,female,"[61.36, 74.76, 17.29, 41.55, 31.4, 88.55, 49.07, 28.88, 58.29]"
6,HRAS,ENSG00000174775.16,Brain_Spinal_cord_cervical_c-1,50-59,male,"[66.68, 44.58, 93.41, 37.98, 43.9, 78.07, 30.81, 50.22, 58.62, 58.06, 44.68, 55.37, 63.2, 75.67, 65.42, 63.25, 42.02, 41.69, 57.66, 59.36, 75.77, 64.3, 52.02, 48.7, 49.95, 60.25, 49.14, 69.19, 55.99, 47.04, 54.64]"
7,HRAS,ENSG00000174775.16,Brain_Spinal_cord_cervical_c-1,50-59,female,"[44.41, 75.53, 61.58, 59.6, 64.84, 52.36, 73.03, 48.84, 24.75, 53.5, 67.54, 84.6, 46.89, 29.97, 44.91, 26.37]"
8,HRAS,ENSG00000174775.16,Brain_Spinal_cord_cervical_c-1,60-69,male,"[43.21, 80.74, 46.06, 85.56, 80.52, 48.02, 16.5, 47.92, 64.06, 54.3, 60.38, 69.89, 57.07, 51.25, 49.81, 46.97, 82.73, 70.82, 45.87, 23.27, 42.49, 82.83, 47.18, 72.75, 69.65, 13.1, 27.84, 74.06, 67.92, 28.53, 36.96, 67.66, 17.41, 23.14, 45.06, 58.25, 24.31, 41.83, 73.35, 54.2, 50.37, 91.24, 44.33, 34.89, 64.76, 34.92, 74.93, 69.03, 54.2, 87.61, 41.41]"
9,HRAS,ENSG00000174775.16,Brain_Spinal_cord_cervical_c-1,60-69,female,"[53.9, 55.43, 44.59, 57.94, 70.73, 71.95, 35.19, 30.37, 65.73, 50.25, 23.66, 40.87, 54.05, 49.04, 42.5, 48.19, 54.7, 68.6, 116.1, 56.91, 45.34, 37.9, 26.3, 73.17, 70.76, 68.72, 43.86, 62.77]"
10,HRAS,ENSG00000174775.16,Brain_Spinal_cord_cervical_c-1,70-79,male,"[75.45, 48.38, 56.94, 67.43, 50.71, 52.49, 24.28, 62.16, 67.1, 75.73]"
11,HRAS,ENSG00000174775.16,Brain_Spinal_cord_cervical_c-1,70-79,female,"[51.42, 59.78]"
