,gene,gencodeId,tissue,age,gender,TPMs
0,HRAS,ENSG00000174775.16,Heart_Left_Ventricle,20-29,male,"[23.8, 33.89, 14.9, 43.7, 15.82, 24.43, 12.85, 18.66, 23.75, 22.21, 17.86, 24.82]"
1,HRAS,ENSG00000174775.16,Heart_Left_Ventricle,20-29,female,"[27.39, 23.61, 22.11, 22.44, 27.11, 16.31, 29.83, 19.1, 8.502, 25.02]"
2,HRAS,ENSG00000174775.16,Heart_Left_Ventricle,30-39,male,"[23.12, 23.12, 24.41, 20.01, 15.16, 29.44, 34.51, 32.58, 24.35, 17.95, 20.13, 7.98, 26.58, 6.2, 21.39, 13.15, 17.8, 23.12, 23.12, 12.16, 6.102]"
3,HRAS,ENSG00000174775.16,Heart_Left_Ventricle,30-39,female,"[17.95, 25.66, 25.66, 28.79, 20.13, 46.44, 28.67, 19.27, 7.295, 33.47]"
4,HRAS,ENSG00000174775.16,Heart_Left_Ventricle,40-49,male,"[22.03, 22.03, 16.07, 22.87, 24.79, 17.07, 16.96, 13.76, 3.491, 19.98, 7.693, 24.81, 23.95, 20.84, 22.03, 22.03, 18.67, 21.47, 8.243, 21.28, 25.34, 25.73, 42.14, 8.211, 32.92, 18.52, 41.06, 15.65, 16.47, 34.33, 30.84, 28.93, 24.14, 19.29, 26.08, 11.34, 16.36, 24.75, 32.03, 13.76, 29.87, 26.93, 20.21, 17.73, 22.26, 24.03, 20.79, 19.19, 17.07, 6.196]"
5,HRAS,ENSG00000174775.16,Heart_Left_Ventricle,40-49,female,"[25.99, 27.41, 26.4, 19.53, 14.4, 30.6, 26.08, 22.31, 24.89, 30.03, 20.79, 35.21, 42.41, 24.03, 23.92, 23.92, 16.45, 29.63, 46.65, 22.34, 31.29, 8.321, 17.67, 41.39]"
6,HRAS,ENSG00000174775.16,Heart_Left_Ventricle,50-59,male,"[11.98, 16.37, 21.98, 16.39, 25.18, 17.46, 29.5, 34.29, 14.84, 16.39, 4.797, 27.35, 14.65, 15.61, 21.62, 32.65, 21.32, 21.38, 24.61, 9.961, 5.206, 21.12, 22.12, 22.12, 22.12, 4.417, 17.33, 13.67, 17.7, 21.59, 16.02, 24.7, 19.07, 39.42, 15.31, 11.86, 22.7, 23.51, 20.08, 14.8, 17.95, 19.66, 6.865, 31.82, 19.3, 4.667, 20.3, 16.28, 14.88, 15.35, 41.32, 30.1, 14.76, 5.766, 26.54, 5.377, 21.43, 21.43, 15.47, 26.74, 27.14, 19.13, 13.96, 11.07, 20.39, 4.826, 60.42, 32.84, 24.02, 24.02, 22.77, 8.387, 20.92, 19.35, 22.12, 22.12, 22.12, 13.73, 21.0, 30.43, 23.46, 22.12, 22.12, 22.12, 20.54, 26.08, 26.45, 24.69, 15.62, 15.62, 21.41, 9.65, 17.53, 31.79, 32.96, 24.29, 24.29, 21.33, 19.23, 25.75, 6.545, 25.16, 25.82, 24.29, 24.29, 6.227, 9.202, 13.1, 17.24, 18.17, 13.45, 23.37, 16.6, 33.64, 24.03, 22.92, 17.54, 16.91, 16.03, 24.1, 18.02, 15.99]"
7,HRAS,ENSG00000174775.16,Heart_Left_Ventricle,50-59,female,"[28.27, 19.11, 33.28, 24.02, 24.02, 24.65, 25.25, 17.95, 18.86, 15.62, 15.62, 25.6, 25.66, 34.23, 28.69, 34.32, 5.416, 3.824, 47.04, 27.22, 25.66, 20.95, 26.08, 18.36, 33.05, 21.43, 21.43, 22.83, 21.62, 20.72, 32.78, 42.55, 16.78, 23.19, 40.72, 18.34, 19.08, 23.01, 16.39, 22.28, 24.03, 28.32, 23.94, 23.92, 23.92, 9.592, 19.05, 29.04, 29.34, 21.43, 21.43, 20.44, 49.51, 24.36, 12.33, 16.28, 24.06]"
8,HRAS,ENSG00000174775.16,Heart_Left_Ventricle,60-69,male,"[21.79, 19.34, 9.559, 11.77, 29.41, 35.61, 22.27, 23.96, 23.96, 16.39, 16.39, 14.36, 19.82, 19.89, 31.06, 22.9, 3.522, 16.39, 16.39, 17.07, 11.92, 6.813, 37.09, 21.62, 22.95, 9.216, 12.31, 18.39, 26.59, 10.51, 23.42, 13.0, 19.4, 19.4, 7.418, 5.067, 23.7, 4.004, 28.73, 6.346, 38.64, 54.28, 19.59, 35.88, 40.77, 9.608, 31.78, 13.92, 24.0, 16.04, 22.94, 26.82, 27.56, 20.13, 25.0, 25.0, 13.2, 7.497, 24.85, 25.0, 25.0, 28.86, 16.28, 15.15, 9.122, 8.547, 16.46, 16.46, 23.82, 26.98, 8.478, 40.16, 21.43, 12.61, 25.24, 18.55, 5.718, 21.37, 18.9, 12.63, 18.01, 19.41, 18.15, 17.82, 30.97, 4.018, 18.97, 54.81, 31.23, 22.89, 7.392, 6.253, 24.66, 30.82, 20.98, 25.67, 17.68, 31.95, 38.14, 17.37, 17.64, 20.97, 47.07, 19.4, 19.4, 21.74, 11.39, 25.86, 16.46, 16.46, 21.18, 20.79, 20.87, 20.87, 21.58, 17.07, 20.68]"
9,HRAS,ENSG00000174775.16,Heart_Left_Ventricle,60-69,female,"[26.28, 23.85, 22.78, 12.38, 27.5, 27.5, 12.05, 27.75, 27.46, 21.76, 15.84, 34.34, 20.87, 20.87, 20.94, 22.04, 25.01, 23.38, 22.19, 19.44, 60.77, 22.23, 14.39, 9.687, 10.15, 37.77, 12.37, 21.43, 16.76, 21.62, 20.79, 26.97, 28.65, 30.79, 12.91, 17.97, 20.13, 20.25, 35.49, 4.639, 40.69, 12.75, 16.39, 16.39, 8.058, 27.5, 27.5, 18.57, 16.09, 21.43, 19.51, 15.66, 23.96, 23.96, 16.28, 19.61]"
