,gene,gencodeId,tissue,age,gender,TPMs
0,HSF1,ENSG00000185122.10,Brain_Frontal_Cortex_BA9,20-29,male,"[35.07, 43.01, 54.2, 39.25]"
1,HSF1,ENSG00000185122.10,Brain_Frontal_Cortex_BA9,20-29,female,[45.26]
2,HSF1,ENSG00000185122.10,Brain_Frontal_Cortex_BA9,30-39,male,"[35.58, 47.49]"
3,HSF1,ENSG00000185122.10,Brain_Frontal_Cortex_BA9,30-39,female,"[49.32, 49.0]"
4,HSF1,ENSG00000185122.10,Brain_Frontal_Cortex_BA9,40-49,male,"[36.84, 46.9, 58.77, 51.08, 57.3, 101.8, 25.95, 49.41, 46.91, 54.11, 28.17]"
5,HSF1,ENSG00000185122.10,Brain_Frontal_Cortex_BA9,40-49,female,"[60.09, 53.96, 39.35, 64.51, 57.79, 57.95]"
6,HSF1,ENSG00000185122.10,Brain_Frontal_Cortex_BA9,50-59,male,"[59.85, 59.64, 59.99, 45.87, 31.87, 48.58, 54.28, 28.74, 55.33, 48.36, 44.23, 49.36, 48.42, 45.14, 55.76, 49.68, 37.5, 31.63, 52.54, 47.93, 34.27, 52.38, 46.94, 46.74, 48.46, 36.61, 53.08, 33.77, 46.5, 61.52, 55.87, 47.67, 33.64, 72.96, 50.85, 53.21, 39.08, 45.79, 35.88, 31.8, 44.87, 51.16, 43.33, 48.9, 37.71, 80.97, 49.84]"
7,HSF1,ENSG00000185122.10,Brain_Frontal_Cortex_BA9,50-59,female,"[49.21, 16.08, 75.11, 59.38, 46.21, 42.04, 52.7, 37.77, 43.1, 45.25, 61.69, 59.15, 57.92, 33.77, 66.7, 40.84, 28.68]"
8,HSF1,ENSG00000185122.10,Brain_Frontal_Cortex_BA9,60-69,male,"[41.86, 44.4, 37.54, 41.69, 38.52, 33.33, 46.18, 45.41, 48.51, 57.93, 31.35, 51.96, 72.19, 32.25, 32.48, 40.2, 84.39, 98.78, 19.6, 41.04, 55.94, 42.37, 35.29, 20.07, 28.33, 53.55, 60.69, 46.27, 56.46, 33.32, 58.11, 64.56, 22.43, 57.68, 36.54, 59.18, 35.7, 30.56, 36.95, 33.02, 41.47, 33.77, 32.92, 48.13, 86.73, 39.53, 47.43, 47.43, 44.22, 48.32, 39.23, 56.29, 55.65, 15.5, 35.59, 54.61, 43.44, 39.81, 41.27, 49.01, 27.36, 31.66, 36.5, 41.49, 48.5, 49.85, 45.3, 45.8, 53.1, 53.1, 43.84, 72.27, 50.44, 66.96, 9.219, 53.02, 62.56, 44.72, 46.56, 47.66, 67.77, 29.06]"
9,HSF1,ENSG00000185122.10,Brain_Frontal_Cortex_BA9,60-69,female,"[45.03, 32.46, 43.08, 31.88, 40.19, 50.28, 47.43, 47.43, 53.1, 53.1, 53.6, 64.1, 40.25, 58.15, 50.71, 44.8, 55.84, 33.77, 35.37, 40.48, 37.01, 49.04, 59.34, 15.03, 24.29, 52.55, 31.23, 47.64, 116.4, 36.46, 47.84]"
10,HSF1,ENSG00000185122.10,Brain_Frontal_Cortex_BA9,70-79,male,"[57.07, 32.11, 63.16, 51.35, 52.09, 28.5, 66.78, 69.47, 57.56, 14.76]"
11,HSF1,ENSG00000185122.10,Brain_Frontal_Cortex_BA9,70-79,female,"[41.83, 20.96]"
