,gene,gencodeId,tissue,age,gender,TPMs
0,HSPA1A,ENSG00000204389.9,Lung,20-29,male,"[103.5, 65.16, 8580.0, 78.97, 69.49, 33.0, 61.39, 316.3, 21.55, 76.28, 19.73, 132.7, 11.04, 95.88, 123.1, 23.5, 18.41, 13.01, 20.22, 36.28]"
1,HSPA1A,ENSG00000204389.9,Lung,20-29,female,"[17.14, 63.18, 77.61, 32.82, 46.03, 89.21, 2654.0, 58.51, 76.28, 57.42, 57.22, 50.9, 140.8, 640.3]"
2,HSPA1A,ENSG00000204389.9,Lung,30-39,male,"[24.24, 19.89, 37.82, 156.3, 541.4, 26.26, 107.3, 318.0, 51.6, 33.01, 22.52, 15.76, 337.8, 25.55, 3901.0, 34.99, 50.51, 127.0, 215.0, 60.11, 22.93, 47.35, 41.85, 1183.0, 949.5, 189.2, 30.11, 30.13, 18.81, 771.8]"
3,HSPA1A,ENSG00000204389.9,Lung,30-39,female,"[153.6, 44.37, 35.86, 55.85, 2373.0, 27.37, 55.7, 82.75, 255.1, 26.48]"
4,HSPA1A,ENSG00000204389.9,Lung,40-49,male,"[1258.0, 396.0, 120.0, 52.05, 143.1, 757.2, 40.19, 1996.0, 54.3, 119.2, 637.1, 49.01, 230.1, 200.5, 258.5, 67.54, 30.22, 33.96, 1636.0, 101.8, 51.7, 2264.0, 7444.0, 408.8, 443.6, 33.14, 33.08, 15.23, 580.7, 36.86, 20.16, 1323.0, 394.5, 23.03, 3750.0, 17.13, 85.28, 66.65, 853.8, 52.01, 20.27, 83.91, 41.23, 35.74, 36.91, 105.9, 17.05, 57.68, 1050.0, 39.09, 36.81, 50.29, 56.94, 42.13, 35.04, 38.1, 301.3, 150.8, 128.5, 7312.0]"
5,HSPA1A,ENSG00000204389.9,Lung,40-49,female,"[27.61, 25.21, 30.94, 452.9, 1061.0, 18.98, 50.64, 29.54, 265.1, 39.21, 27.34, 468.1, 322.9, 132.3, 1326.0, 342.7, 143.2, 318.1, 1063.0, 228.8, 40.8, 27.61, 42.09, 28.22, 61.5, 249.6, 1030.0, 93.4, 999.4, 31.88, 7458.0, 872.9, 2494.0, 36.05]"
6,HSPA1A,ENSG00000204389.9,Lung,50-59,male,"[75.54, 469.3, 62.26, 33.24, 11.26, 65.95, 433.0, 67.59, 1045.0, 286.6, 86.84, 36.8, 55.52, 29.95, 377.2, 312.4, 28.99, 170.6, 509.4, 63.96, 3007.0, 33.41, 1580.0, 432.5, 1811.0, 48.0, 1120.0, 62.27, 1473.0, 190.7, 68.57, 135.9, 84.82, 547.1, 325.1, 525.7, 300.8, 1223.0, 58.42, 147.4, 1200.0, 130.5, 46.42, 42.72, 50.0, 32.8, 576.9, 310.8, 1130.0, 142.9, 80.26, 27.09, 25.79, 14.95, 620.8, 115.3, 30.33, 80.74, 135.8, 1823.0, 70.89, 2337.0, 41.16, 69.48, 571.0, 46.56, 21.33, 177.3, 1993.0, 214.0, 46.68, 64.81, 46.09, 55.11, 625.8, 716.0, 30.37, 1099.0, 442.4, 2277.0, 454.2, 625.8, 14.87, 874.9, 905.7, 1132.0, 7118.0, 89.73, 810.5, 1437.0, 59.37, 25.84, 76.28, 572.8, 367.9, 623.1, 123.7, 63.73, 80.79, 37.2, 739.1, 32.72, 12.59, 32.61, 153.8, 205.6, 553.1, 85.37, 367.4, 20.62, 24.44, 38.12, 1837.0, 93.31, 216.0, 112.8, 572.0, 38.18, 484.6, 103.1, 289.2, 69.69, 23.42, 1798.0, 573.9, 89.39, 21.72, 1530.0, 23.6, 2257.0, 869.8, 352.7, 43.02, 161.7, 262.1, 1112.0, 34.32, 30.81, 45.21, 724.6, 17.64, 73.96, 72.56, 42.14, 490.0, 61.03, 2591.0]"
7,HSPA1A,ENSG00000204389.9,Lung,50-59,female,"[56.66, 55.59, 154.1, 216.8, 254.4, 35.8, 59.01, 36.89, 182.1, 233.7, 75.7, 27.84, 59.65, 1709.0, 71.14, 174.9, 34.12, 89.14, 177.2, 777.9, 1831.0, 47.63, 64.73, 28.68, 2148.0, 35.85, 38.47, 45.33, 586.7, 812.0, 58.18, 27.11, 534.6, 76.28, 732.1, 38.53, 202.0, 29.4, 2976.0, 525.5, 95.76, 457.2, 21.53, 699.8, 31.22, 40.94, 270.5, 34.68, 22.1, 966.4, 79.7, 930.0, 27.85, 1272.0, 60.13]"
8,HSPA1A,ENSG00000204389.9,Lung,60-69,male,"[7050.0, 752.9, 34.02, 2606.0, 220.7, 940.4, 82.2, 1477.0, 74.23, 54.04, 49.97, 30.12, 1868.0, 33.63, 250.5, 75.34, 1241.0, 94.36, 821.7, 2661.0, 303.1, 706.7, 34.52, 478.6, 408.9, 35.48, 32.77, 839.8, 24.0, 248.3, 41.4, 2050.0, 45.58, 868.8, 72.02, 165.8, 110.3, 35.96, 900.5, 25.16, 480.1, 119.3, 38.78, 899.7, 1936.0, 509.0, 34.9, 774.7, 49.54, 61.18, 436.5, 37.78, 122.5, 26.15, 477.2, 18.62, 172.8, 832.4, 43.9, 25.24, 213.2, 1418.0, 370.5, 141.6, 300.5, 1242.0, 95.56, 89.97, 907.9, 2310.0, 464.1, 114.2, 1155.0, 227.8, 297.5, 56.67, 1452.0, 405.9, 531.7, 1151.0, 1202.0, 625.8, 75.43, 97.46, 2179.0, 747.9, 41.29, 1421.0, 625.8, 26.32, 1983.0, 1488.0, 54.55, 559.3, 864.7, 428.5, 178.4, 1320.0, 1626.0, 1055.0, 522.8, 111.4, 281.2, 54.07, 22.2, 557.0, 591.8, 1551.0, 1568.0, 1634.0, 18.43, 39.84, 358.8, 53.37, 12.21, 46.05, 44.6, 4168.0, 47.73, 60.18, 2007.0, 1434.0, 214.8]"
9,HSPA1A,ENSG00000204389.9,Lung,60-69,female,"[43.97, 151.3, 39.74, 72.63, 330.0, 163.6, 27.61, 29.07, 227.5, 310.3, 31.39, 568.7, 44.04, 11550.0, 79.96, 51.26, 11.46, 87.43, 33.9, 1462.0, 33.23, 431.2, 24.2, 2384.0, 67.33, 22.97, 49.53, 54.42, 314.2, 1160.0, 2703.0, 766.1, 2055.0, 5799.0, 782.5, 23.86, 37.73, 28.72, 895.2, 33.34, 414.7, 1467.0, 1432.0, 21.28, 33.54, 245.4, 35.95, 172.4, 646.5, 797.7, 2499.0, 30.38, 27.61, 61.1, 466.8, 180.5, 1097.0, 53.78, 581.8, 60.74, 1029.0, 27.67, 184.4, 41.21, 124.7, 71.57, 552.7, 28.2, 439.2]"
