,gene,gencodeId,tissue,age,gender,TPMs
0,HSPA1B,ENSG00000204388.6,Heart_Left_Ventricle,20-29,male,"[19.44, 44.65, 28.24, 29.42, 118.6, 66.97, 185.1, 21.51, 32.23, 26.18, 61.41, 26.7, 179.2]"
1,HSPA1B,ENSG00000204388.6,Heart_Left_Ventricle,20-29,female,"[20.03, 19.44, 32.75, 54.25, 9.627, 32.82, 24.79, 23.56, 16.22, 174.8]"
2,HSPA1B,ENSG00000204388.6,Heart_Left_Ventricle,30-39,male,"[23.06, 135.1, 166.0, 44.19, 86.87, 24.72, 98.42, 90.63, 24.72, 13.99, 35.68, 70.1, 81.93, 31.02, 44.41, 228.2, 8.885, 13.72]"
3,HSPA1B,ENSG00000204388.6,Heart_Left_Ventricle,30-39,female,"[27.09, 19.88, 22.67, 29.89, 267.1, 25.52, 37.15, 10.57, 24.87]"
4,HSPA1B,ENSG00000204388.6,Heart_Left_Ventricle,40-49,male,"[226.9, 645.6, 24.29, 53.76, 23.18, 2.21, 917.7, 28.96, 7.982, 51.93, 17.8, 23.28, 19.49, 40.6, 10.79, 23.28, 6.853, 32.51, 126.0, 93.5, 18.26, 4.287, 15.67, 4.184, 1601.0, 11.47, 14.94, 404.2, 7.551, 28.96, 247.9, 24.8, 15.77, 14.22, 18.82, 44.04, 9.046, 13.9, 159.5, 24.59, 37.02, 19.64, 56.84, 25.62, 31.99, 2.761]"
5,HSPA1B,ENSG00000204388.6,Heart_Left_Ventricle,40-49,female,"[170.3, 32.16, 20.94, 60.25, 28.69, 37.98, 174.0, 20.34, 26.62, 81.33, 35.3, 11.57, 10.79, 45.61, 27.38, 36.38, 11.69, 93.99, 268.3, 14.64, 170.3, 10.58, 14.4, 27.75]"
6,HSPA1B,ENSG00000204388.6,Heart_Left_Ventricle,50-59,male,"[396.5, 20.35, 23.81, 321.1, 69.76, 60.45, 111.9, 37.83, 111.0, 32.27, 463.7, 14.45, 106.8, 376.2, 13.67, 109.5, 15.12, 5.759, 4.789, 111.7, 98.01, 16.63, 10.98, 23.28, 37.97, 43.48, 11.5, 100.8, 77.98, 241.4, 47.76, 6.602, 24.82, 23.28, 16.27, 24.66, 16.55, 16.13, 51.23, 18.14, 48.52, 18.24, 75.32, 18.71, 29.31, 21.09, 11.41, 443.1, 544.2, 62.11, 3.683, 24.75, 5.56, 75.52, 18.97, 33.05, 163.5, 51.23, 222.3, 6.534, 108.3, 14.09, 41.82, 27.56, 16.05, 23.01, 2.716, 42.68, 85.96, 52.08, 19.01, 13.62, 46.74, 19.06, 125.5, 30.1, 54.21, 41.98, 57.62, 31.45, 146.1, 59.82, 181.4, 306.3, 372.7, 21.62, 24.71, 20.26, 77.12, 36.33, 35.84, 12.94, 30.81, 29.61, 22.55, 21.7, 13.03, 77.19, 72.03, 12.31, 13.11, 17.43, 154.5, 13.83, 57.35, 43.69, 24.25, 30.87, 27.39]"
7,HSPA1B,ENSG00000204388.6,Heart_Left_Ventricle,50-59,female,"[31.93, 130.3, 66.8, 33.11, 37.58, 675.1, 16.89, 33.12, 36.55, 43.95, 124.1, 13.0, 78.45, 7.44, 5.685, 246.3, 1535.0, 21.61, 83.29, 17.69, 22.43, 25.93, 10.98, 15.1, 48.36, 61.71, 21.05, 44.8, 189.4, 20.06, 13.12, 191.0, 273.1, 252.3, 796.8, 55.23, 24.88, 7.138, 157.0, 61.93, 11.59, 20.1, 35.85, 160.1, 26.36, 8.15, 11.86, 23.64]"
8,HSPA1B,ENSG00000204388.6,Heart_Left_Ventricle,60-69,male,"[173.1, 17.92, 5.366, 114.4, 19.44, 64.91, 68.38, 36.72, 19.35, 12.4, 381.7, 28.49, 44.27, 38.39, 1.899, 31.24, 147.2, 14.57, 40.34, 29.3, 13.36, 73.09, 84.78, 20.29, 110.0, 14.39, 24.72, 36.62, 20.17, 28.96, 6.909, 12.71, 25.87, 2.013, 59.64, 16.86, 16.86, 73.99, 10.79, 43.7, 127.2, 25.04, 98.4, 83.76, 40.21, 21.24, 24.72, 99.2, 31.25, 17.25, 17.25, 46.47, 55.43, 37.82, 37.82, 49.45, 352.5, 46.51, 174.7, 38.04, 239.0, 363.9, 306.5, 87.28, 1065.0, 10.0, 28.63, 8.894, 854.1, 19.9, 36.05, 29.91, 5.374, 141.2, 87.23, 29.07, 13.21, 35.57, 86.54, 43.87, 192.4, 1.79, 21.41, 266.1, 22.44, 38.78, 14.58, 7.272, 16.98, 19.89, 473.0, 79.63, 19.26, 40.64, 140.3, 27.92, 25.96, 28.96, 34.29, 37.74, 17.25, 17.25, 53.2, 40.61, 20.66, 25.75, 30.71, 42.28, 18.19, 66.79, 60.97]"
9,HSPA1B,ENSG00000204388.6,Heart_Left_Ventricle,60-69,female,"[24.74, 30.31, 71.54, 602.6, 25.7, 170.3, 18.76, 36.9, 16.95, 14.53, 19.44, 21.82, 14.21, 15.89, 6.761, 24.03, 37.82, 37.82, 16.76, 29.38, 16.86, 16.86, 35.09, 14.67, 10.54, 195.0, 96.06, 225.5, 52.13, 72.9, 17.07, 38.72, 18.2, 25.42, 22.42, 17.31, 20.55, 17.62, 144.1, 10.79, 602.2, 27.45, 28.76, 56.75, 16.9, 144.7, 170.3, 14.56, 26.38, 15.92]"
